2024-10-08 19:26:57,098 INFO    MainThread:110456 [wandb_setup.py:_flush():79] Current SDK version is 0.18.2
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_setup.py:_flush():79] Configure stats pid to 110456
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_setup.py:_flush():79] Loading settings from /home/mananchichra/.config/wandb/settings
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_setup.py:_flush():79] Loading settings from /home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/settings
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'assignments/3/q3.py', 'program_abspath': '/home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/q3.py', 'program': 'q3.py'}
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_init.py:_log_setup():532] Logging user logs to /home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/run-20241008_192657-zdw7szk9/logs/debug.log
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_init.py:_log_setup():533] Logging internal logs to /home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/run-20241008_192657-zdw7szk9/logs/debug-internal.log
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_init.py:init():616] calling init triggers
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_init.py:init():666] starting backend
2024-10-08 19:26:57,099 INFO    MainThread:110456 [wandb_init.py:init():670] sending inform_init request
2024-10-08 19:26:57,100 INFO    MainThread:110456 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-08 19:26:57,101 INFO    MainThread:110456 [wandb_init.py:init():683] backend started and connected
2024-10-08 19:26:57,103 INFO    MainThread:110456 [wandb_init.py:init():778] updated telemetry
2024-10-08 19:26:57,117 INFO    MainThread:110456 [wandb_init.py:init():811] communicating run to backend with 90.0 second timeout
2024-10-08 19:26:57,511 INFO    MainThread:110456 [wandb_init.py:init():862] starting run threads in backend
2024-10-08 19:26:57,595 INFO    MainThread:110456 [wandb_run.py:_console_start():2464] atexit reg
2024-10-08 19:26:57,595 INFO    MainThread:110456 [wandb_run.py:_redirect():2312] redirect: wrap_raw
2024-10-08 19:26:57,595 INFO    MainThread:110456 [wandb_run.py:_redirect():2377] Wrapping output streams.
2024-10-08 19:26:57,595 INFO    MainThread:110456 [wandb_run.py:_redirect():2402] Redirects installed.
2024-10-08 19:26:57,596 INFO    MainThread:110456 [wandb_init.py:init():906] run started, returning control to user process
2024-10-08 19:26:57,644 INFO    MainThread:110456 [wandb_run.py:_finish():2163] finishing run manan-chichra-iiit-hyderabad/binary_classification_mse_vs_bce/zdw7szk9
2024-10-08 19:26:57,644 INFO    MainThread:110456 [wandb_run.py:_atexit_cleanup():2427] got exitcode: 0
2024-10-08 19:26:57,645 INFO    MainThread:110456 [wandb_run.py:_restore():2409] restore
2024-10-08 19:26:57,645 INFO    MainThread:110456 [wandb_run.py:_restore():2415] restore done
2024-10-08 19:27:01,432 INFO    MainThread:110456 [wandb_run.py:_footer_history_summary_info():4042] rendering history
2024-10-08 19:27:01,434 INFO    MainThread:110456 [wandb_run.py:_footer_history_summary_info():4074] rendering summary
2024-10-08 19:27:01,439 INFO    MainThread:110456 [wandb_run.py:_footer_sync_info():4001] logging synced files
