Epoch 0, Validation Loss: 258.96547141157663
Epoch 10, Validation Loss: 68.35442683274837
Epoch 20, Validation Loss: 71.73764864509437
Epoch 30, Validation Loss: 58.054502538372596
Epoch 40, Validation Loss: 69.36192245451944
Epoch 50, Validation Loss: 66.88134818936473
Epoch 60, Validation Loss: 26.161558206268086
Epoch 70, Validation Loss: 27.09275590097323
Epoch 80, Validation Loss: 23.07743372133148
Epoch 90, Validation Loss: 32.496953359923914
Epoch 100, Validation Loss: 25.219323104080143
Epoch 110, Validation Loss: 21.52665854792296
Epoch 120, Validation Loss: 34.30264676273028
Epoch 130, Validation Loss: 36.43571399049234
Epoch 140, Validation Loss: 18.43988906203025
Epoch 150, Validation Loss: 19.418554581663475
Epoch 160, Validation Loss: 24.777440699410473
Epoch 170, Validation Loss: 22.598141812556673
Epoch 180, Validation Loss: 25.320878557469975
Epoch 190, Validation Loss: 20.93255261704804
Epoch 200, Validation Loss: 16.85146012364934
Epoch 210, Validation Loss: 19.333274777665096
Epoch 220, Validation Loss: 15.69670548159278
Epoch 230, Validation Loss: 19.79711023068695
Epoch 240, Validation Loss: 14.440843776038685
Epoch 250, Validation Loss: 14.508332977739123
Epoch 260, Validation Loss: 35.64681607816971
Epoch 270, Validation Loss: 16.05971747354944
Epoch 280, Validation Loss: 22.341339128494052
Epoch 290, Validation Loss: 22.41361498840535
Epoch 300, Validation Loss: 33.281020577814374
Epoch 310, Validation Loss: 18.649678809192476
Epoch 320, Validation Loss: 18.083644678058544
Epoch 330, Validation Loss: 15.602717377919987
Epoch 340, Validation Loss: 18.067691597315264
Epoch 350, Validation Loss: 16.52458765076808
Epoch 360, Validation Loss: 35.462267423885976
Epoch 370, Validation Loss: 15.736116818187218
Epoch 380, Validation Loss: 23.367562005329454
Epoch 390, Validation Loss: 23.338595526851655
Epoch 400, Validation Loss: 20.91381957230768
Epoch 410, Validation Loss: 42.58103837735263
Epoch 420, Validation Loss: 18.57554777681606
Epoch 430, Validation Loss: 19.703338503843487
Epoch 440, Validation Loss: 18.209187634699653
Epoch 450, Validation Loss: 17.71767259536118
Epoch 460, Validation Loss: 20.629904273238598
Epoch 470, Validation Loss: 16.98074169431482
Epoch 480, Validation Loss: 18.5859916783811
Epoch 490, Validation Loss: 17.27155390589103
