Epoch 0, Validation Loss: 72.82905355432656
Epoch 10, Validation Loss: 47.08014331916875
Epoch 20, Validation Loss: 36.214626633271365
Epoch 30, Validation Loss: 22.73110980459767
Epoch 40, Validation Loss: 14.67388815556302
Epoch 50, Validation Loss: 13.0903562393255
Epoch 60, Validation Loss: 12.252412762726163
Epoch 70, Validation Loss: 11.476847941710995
Epoch 80, Validation Loss: 10.784284013572579
Epoch 90, Validation Loss: 10.225842124637452
Epoch 100, Validation Loss: 9.8138698201448
Epoch 110, Validation Loss: 9.534839166725831
Epoch 120, Validation Loss: 9.365465835117035
Epoch 130, Validation Loss: 9.281546310652816
Epoch 140, Validation Loss: 9.261333029374446
Epoch 150, Validation Loss: 9.286197364411954
Epoch 160, Validation Loss: 9.340561067864227
Epoch 170, Validation Loss: 9.4115764682643
Epoch 180, Validation Loss: 9.488340656692216
Epoch 190, Validation Loss: 9.560724336123265
Epoch 200, Validation Loss: 9.619221948405594
Epoch 210, Validation Loss: 9.657176190965513
Epoch 220, Validation Loss: 9.671293165027391
Epoch 230, Validation Loss: 9.658551560016752
Epoch 240, Validation Loss: 9.61486341191749
Epoch 250, Validation Loss: 9.535330979262696
Epoch 260, Validation Loss: 9.415129124482913
Epoch 270, Validation Loss: 9.251402254237926
Epoch 280, Validation Loss: 9.046607291088304
Epoch 290, Validation Loss: 8.816467800014237
Epoch 300, Validation Loss: 8.595085158949445
Epoch 310, Validation Loss: 8.41395959565905
Epoch 320, Validation Loss: 8.278703781886989
Epoch 330, Validation Loss: 8.180678273437886
Epoch 340, Validation Loss: 8.113554520756672
Epoch 350, Validation Loss: 8.072198210026535
Epoch 360, Validation Loss: 8.046064032656293
Epoch 370, Validation Loss: 8.017251003459378
Epoch 380, Validation Loss: 7.95719926365868
Epoch 390, Validation Loss: 7.827209524741356
Epoch 400, Validation Loss: 7.621645922918032
Epoch 410, Validation Loss: 7.3985626412662775
Epoch 420, Validation Loss: 7.211479589721062
Epoch 430, Validation Loss: 7.0738057398480345
Epoch 440, Validation Loss: 6.978127350559284
Epoch 450, Validation Loss: 6.913570113126474
Epoch 460, Validation Loss: 6.871091782431126
Epoch 470, Validation Loss: 6.843621043762841
Epoch 480, Validation Loss: 6.825431621711984
Epoch 490, Validation Loss: 6.811725177267083
Epoch 500, Validation Loss: 6.79846714670706
Epoch 510, Validation Loss: 6.782425582765097
Epoch 520, Validation Loss: 6.761358278290101
Epoch 530, Validation Loss: 6.734224926734015
Epoch 540, Validation Loss: 6.701690886914094
Epoch 550, Validation Loss: 6.824132876737065
Epoch 560, Validation Loss: 6.7964889381556866
Epoch 570, Validation Loss: 6.573740307961785
Epoch 580, Validation Loss: 6.529203291914029
Epoch 590, Validation Loss: 6.489946825893129
Epoch 600, Validation Loss: 6.451931617851886
Epoch 610, Validation Loss: 6.416246327225736
Epoch 620, Validation Loss: 6.384064559154029
Epoch 630, Validation Loss: 6.3561709694400985
Epoch 640, Validation Loss: 6.3320851425678315
Epoch 650, Validation Loss: 6.3089940190555
Epoch 660, Validation Loss: 6.283482238060067
Epoch 670, Validation Loss: 6.256362434588138
Epoch 680, Validation Loss: 6.232000811757034
Epoch 690, Validation Loss: 6.2129512737756185
Epoch 700, Validation Loss: 6.19902635540263
Epoch 710, Validation Loss: 6.189198972998035
Epoch 720, Validation Loss: 6.182663994674473
Epoch 730, Validation Loss: 6.178956491640947
Epoch 740, Validation Loss: 6.177811692831578
Epoch 750, Validation Loss: 6.179054410889268
Epoch 760, Validation Loss: 6.182547985948787
Epoch 770, Validation Loss: 6.188173134421542
Epoch 780, Validation Loss: 6.195814231827563
Epoch 790, Validation Loss: 6.20534202103074
Epoch 800, Validation Loss: 6.216577990425796
Epoch 810, Validation Loss: 6.22916041581684
Epoch 820, Validation Loss: 6.2417568953132205
Epoch 830, Validation Loss: 6.247607366273091
Epoch 840, Validation Loss: 6.290698641424696
Epoch 850, Validation Loss: 6.282168150688908
Epoch 860, Validation Loss: 6.312430143531536
Epoch 870, Validation Loss: 6.328532143940255
Epoch 880, Validation Loss: 6.330734806343081
Epoch 890, Validation Loss: 6.330940742802395
Epoch 900, Validation Loss: 6.347490369168786
Epoch 910, Validation Loss: 6.358892334197636
Epoch 920, Validation Loss: 6.374151570689916
Epoch 930, Validation Loss: 6.375300455849838
Epoch 940, Validation Loss: 6.380794021369996
Epoch 950, Validation Loss: 6.3875433661001075
Epoch 960, Validation Loss: 6.401202688793119
Epoch 970, Validation Loss: 6.408132400863173
Epoch 980, Validation Loss: 6.410601385727889
Epoch 990, Validation Loss: 6.416721033873284
