Epoch 0, Validation Loss: 446.163807426353
Epoch 10, Validation Loss: 69.45393422319478
Epoch 20, Validation Loss: 68.49070891349919
Epoch 30, Validation Loss: 67.16741843688588
Epoch 40, Validation Loss: 65.71179090378587
Epoch 50, Validation Loss: 64.30602248728258
Epoch 60, Validation Loss: 62.95784633623015
Epoch 70, Validation Loss: 61.667931480495746
Epoch 80, Validation Loss: 60.43635636810507
Epoch 90, Validation Loss: 59.26266596778424
Epoch 100, Validation Loss: 58.14579475807786
Epoch 110, Validation Loss: 57.08407858698673
Epoch 120, Validation Loss: 56.07533165881779
Epoch 130, Validation Loss: 55.11695635934034
Epoch 140, Validation Loss: 54.20606085058355
Epoch 150, Validation Loss: 53.339568496749344
Epoch 160, Validation Loss: 52.51431092411526
Epoch 170, Validation Loss: 51.72710192334626
Epoch 180, Validation Loss: 50.9747926447893
Epoch 190, Validation Loss: 50.254310179610606
Epoch 200, Validation Loss: 49.562682234167454
Epoch 210, Validation Loss: 48.89705063261593
Epoch 220, Validation Loss: 48.25467611760808
Epoch 230, Validation Loss: 47.632936538782
Epoch 240, Validation Loss: 47.02932012211934
Epoch 250, Validation Loss: 46.44141514960971
Epoch 260, Validation Loss: 45.86689706933942
Epoch 270, Validation Loss: 45.30351380753301
Epoch 280, Validation Loss: 44.749069865737596
Epoch 290, Validation Loss: 44.20140965554589
Epoch 300, Validation Loss: 43.65840044775475
Epoch 310, Validation Loss: 43.11791529236132
Epoch 320, Validation Loss: 42.577816302724706
Epoch 330, Validation Loss: 42.03593879679649
Epoch 340, Validation Loss: 41.49007695791126
Epoch 350, Validation Loss: 40.937971924803534
Epoch 360, Validation Loss: 40.37730354916263
Epoch 370, Validation Loss: 39.805687462541485
Epoch 380, Validation Loss: 39.22067954520068
Epoch 390, Validation Loss: 38.61979032514112
Epoch 400, Validation Loss: 38.00051214513547
Epoch 410, Validation Loss: 37.36036195371554
Epoch 420, Validation Loss: 36.69694210096694
Epoch 430, Validation Loss: 36.008020373076704
Epoch 440, Validation Loss: 35.29162863727885
Epoch 450, Validation Loss: 34.54617712241037
Epoch 460, Validation Loss: 33.77057912370054
Epoch 470, Validation Loss: 32.964379659135965
Epoch 480, Validation Loss: 32.127882088434276
Epoch 490, Validation Loss: 31.262269023412134
Epoch 500, Validation Loss: 30.369716902303043
Epoch 510, Validation Loss: 29.45350503200563
Epoch 520, Validation Loss: 28.518116897200144
Epoch 530, Validation Loss: 27.56932224963673
Epoch 540, Validation Loss: 26.614213777295834
Epoch 550, Validation Loss: 25.661156730189003
Epoch 560, Validation Loss: 24.71960199943965
Epoch 570, Validation Loss: 23.7997220001877
Epoch 580, Validation Loss: 22.911859678134658
Epoch 590, Validation Loss: 22.065830469877884
Epoch 600, Validation Loss: 21.270170438537832
Epoch 610, Validation Loss: 20.53145945836095
Epoch 620, Validation Loss: 19.85384784734223
Epoch 630, Validation Loss: 19.238873968140037
Epoch 640, Validation Loss: 18.685592756334948
Epoch 650, Validation Loss: 18.190965932009576
Epoch 660, Validation Loss: 17.75041717987551
Epoch 670, Validation Loss: 17.358441002979124
Epoch 680, Validation Loss: 17.00916900644496
Epoch 690, Validation Loss: 16.696829698973975
Epoch 700, Validation Loss: 16.416073736904014
Epoch 710, Validation Loss: 16.16216605630375
Epoch 720, Validation Loss: 15.931065268975077
Epoch 730, Validation Loss: 15.71941920091586
Epoch 740, Validation Loss: 15.524506070648876
Epoch 750, Validation Loss: 15.344146691522763
Epoch 760, Validation Loss: 15.176606943821227
Epoch 770, Validation Loss: 15.02050346514219
Epoch 780, Validation Loss: 14.874720090342013
Epoch 790, Validation Loss: 14.738338445566097
Epoch 800, Validation Loss: 14.610583276687557
Epoch 810, Validation Loss: 14.490781377518413
Epoch 820, Validation Loss: 14.378332111206655
Epoch 830, Validation Loss: 14.272687227861075
Epoch 840, Validation Loss: 14.173337753265187
Epoch 850, Validation Loss: 14.079805991712892
Epoch 860, Validation Loss: 13.991641035655032
Epoch 870, Validation Loss: 13.90841653324922
Epoch 880, Validation Loss: 13.829729790973994
Epoch 890, Validation Loss: 13.755201563099439
Epoch 900, Validation Loss: 13.684476097985085
Epoch 910, Validation Loss: 13.617221176071308
Epoch 920, Validation Loss: 13.553127993299025
Epoch 930, Validation Loss: 13.491910825215149
Epoch 940, Validation Loss: 13.433306459737592
Epoch 950, Validation Loss: 13.377073418030017
Epoch 960, Validation Loss: 13.32299099943742
Epoch 970, Validation Loss: 13.270858192879544
Epoch 980, Validation Loss: 13.220492497186507
Epoch 990, Validation Loss: 13.171728689255767
