Epoch 0, Validation Loss: 116.97562674736498
Epoch 10, Validation Loss: 13.711007326139438
Epoch 20, Validation Loss: 14.605438010341066
Epoch 30, Validation Loss: 13.263202808000125
Epoch 40, Validation Loss: 11.905799729137252
Epoch 50, Validation Loss: 9.699997935120855
Epoch 60, Validation Loss: 8.471042498023492
Epoch 70, Validation Loss: 8.271361752688012
Epoch 80, Validation Loss: 8.16920524663709
Epoch 90, Validation Loss: 7.947727707291958
Epoch 100, Validation Loss: 7.8189862397218866
Epoch 110, Validation Loss: 7.6601298376728115
Epoch 120, Validation Loss: 7.498960287494865
Epoch 130, Validation Loss: 7.330048050543854
Epoch 140, Validation Loss: 7.116267475299241
Epoch 150, Validation Loss: 6.855491121115482
Epoch 160, Validation Loss: 6.543457760053955
Epoch 170, Validation Loss: 6.247132319516572
Epoch 180, Validation Loss: 6.0267242735387825
Epoch 190, Validation Loss: 5.837186659180153
Epoch 200, Validation Loss: 5.612216116117411
Epoch 210, Validation Loss: 11.558626502359157
Epoch 220, Validation Loss: 6.131695805963991
Epoch 230, Validation Loss: 7.329645923367288
Epoch 240, Validation Loss: 5.5729578586245045
Epoch 250, Validation Loss: 5.5072843411997745
Epoch 260, Validation Loss: 5.646813445603226
Epoch 270, Validation Loss: 5.8104165949576885
Epoch 280, Validation Loss: 6.00273410875592
Epoch 290, Validation Loss: 6.360508083690228
Epoch 300, Validation Loss: 6.557548126515544
Epoch 310, Validation Loss: 6.687484831097042
Epoch 320, Validation Loss: 6.172572721009711
Epoch 330, Validation Loss: 6.302874021400051
Epoch 340, Validation Loss: 6.232068655137839
Epoch 350, Validation Loss: 6.303655399604649
Epoch 360, Validation Loss: 6.537992645950369
Epoch 370, Validation Loss: 6.372869798284752
Epoch 380, Validation Loss: 6.7591090751527165
Epoch 390, Validation Loss: 6.425606588792597
Epoch 400, Validation Loss: 6.789224001818536
Epoch 410, Validation Loss: 6.548764598317827
Epoch 420, Validation Loss: 8.100051104627486
Epoch 430, Validation Loss: 7.261024775097381
Epoch 440, Validation Loss: 6.347796156508383
Epoch 450, Validation Loss: 6.091351161207533
Epoch 460, Validation Loss: 7.123832498364653
Epoch 470, Validation Loss: 7.721732913151894
Epoch 480, Validation Loss: 7.552208745253866
Epoch 490, Validation Loss: 6.820680189270877
Epoch 500, Validation Loss: 6.375028681049535
Epoch 510, Validation Loss: 6.728101045526087
Epoch 520, Validation Loss: 7.392081796209162
Epoch 530, Validation Loss: 7.832184258741982
Epoch 540, Validation Loss: 8.08448003522758
Epoch 550, Validation Loss: 8.265161136135143
Epoch 560, Validation Loss: 8.355066723545509
Epoch 570, Validation Loss: 8.425537679303156
Epoch 580, Validation Loss: 8.526718409088017
Epoch 590, Validation Loss: 8.645523916644077
Epoch 600, Validation Loss: 8.719754555384958
Epoch 610, Validation Loss: 8.678686738322055
Epoch 620, Validation Loss: 8.549491320169162
Epoch 630, Validation Loss: 8.408942841267347
Epoch 640, Validation Loss: 8.175188555013946
Epoch 650, Validation Loss: 7.819064681951167
Epoch 660, Validation Loss: 8.082504960887862
Epoch 670, Validation Loss: 9.185932761498737
Epoch 680, Validation Loss: 9.01375938448202
Epoch 690, Validation Loss: 8.636478078002868
Epoch 700, Validation Loss: 8.48191188437625
Epoch 710, Validation Loss: 9.336471522368793
Epoch 720, Validation Loss: 8.743791545251646
Epoch 730, Validation Loss: 9.580081988587017
Epoch 740, Validation Loss: 9.000332961694905
Epoch 750, Validation Loss: 9.71683779637544
Epoch 760, Validation Loss: 8.82403395997099
Epoch 770, Validation Loss: 9.037654367799334
Epoch 780, Validation Loss: 9.391870565325666
Epoch 790, Validation Loss: 9.978472412856902
Epoch 800, Validation Loss: 10.077337050242992
Epoch 810, Validation Loss: 9.558107520729575
Epoch 820, Validation Loss: 9.448910250645975
Epoch 830, Validation Loss: 9.443999181597903
Epoch 840, Validation Loss: 9.426579824326286
Epoch 850, Validation Loss: 9.338848565806556
Epoch 860, Validation Loss: 9.381610304893252
Epoch 870, Validation Loss: 10.57984837718453
Epoch 880, Validation Loss: 9.720319763206854
Epoch 890, Validation Loss: 9.423062214819145
Epoch 900, Validation Loss: 9.403674319449609
Epoch 910, Validation Loss: 9.648281991888187
Epoch 920, Validation Loss: 9.579226960558037
Epoch 930, Validation Loss: 9.553417636356928
Epoch 940, Validation Loss: 9.371576585681591
Epoch 950, Validation Loss: 9.532206867229048
Epoch 960, Validation Loss: 9.553524690781336
Epoch 970, Validation Loss: 9.523148186746555
Epoch 980, Validation Loss: 9.554121166114607
Epoch 990, Validation Loss: 9.588663944899794
