Epoch 0, Validation Loss: 483.6455554521912
Epoch 10, Validation Loss: 10.8603179444324
Epoch 20, Validation Loss: 9.620700988844149
Epoch 30, Validation Loss: 8.823624800990629
Epoch 40, Validation Loss: 8.177192929587605
Epoch 50, Validation Loss: 7.482294190886202
Epoch 60, Validation Loss: 7.103307529578764
Epoch 70, Validation Loss: 6.940215206178395
Epoch 80, Validation Loss: 6.815537655267572
Epoch 90, Validation Loss: 6.763886751560117
Epoch 100, Validation Loss: 6.721455816663155
Epoch 110, Validation Loss: 6.618766884576229
Epoch 120, Validation Loss: 6.579111078570492
Epoch 130, Validation Loss: 6.5753092179359935
Epoch 140, Validation Loss: 6.4878700822495645
Epoch 150, Validation Loss: 6.475597060420025
Epoch 160, Validation Loss: 6.427203423012318
Epoch 170, Validation Loss: 6.359271091277599
Epoch 180, Validation Loss: 6.271083599956655
Epoch 190, Validation Loss: 6.254618045150572
Epoch 200, Validation Loss: 6.193006833935797
Epoch 210, Validation Loss: 6.221346318287557
Epoch 220, Validation Loss: 6.186929183808908
Epoch 230, Validation Loss: 6.132421751239708
Epoch 240, Validation Loss: 6.1245587081626365
Epoch 250, Validation Loss: 6.101004767449003
Epoch 260, Validation Loss: 6.028222109812804
Epoch 270, Validation Loss: 6.098135563085448
Epoch 280, Validation Loss: 6.031435570358876
Epoch 290, Validation Loss: 6.02242960634508
Epoch 300, Validation Loss: 5.950953598408955
Epoch 310, Validation Loss: 5.984246184379364
Epoch 320, Validation Loss: 5.981391717299021
Epoch 330, Validation Loss: 6.0563859085204
Epoch 340, Validation Loss: 6.0341830886558645
Epoch 350, Validation Loss: 5.990685355609389
Epoch 360, Validation Loss: 5.955640125985325
Epoch 370, Validation Loss: 5.955517988152118
Epoch 380, Validation Loss: 5.950510241825659
Epoch 390, Validation Loss: 6.125596766371336
Epoch 400, Validation Loss: 6.010807204322692
Epoch 410, Validation Loss: 5.933880600232822
Epoch 420, Validation Loss: 5.877980913013081
Epoch 430, Validation Loss: 6.10764436740772
Epoch 440, Validation Loss: 6.003546536780668
Epoch 450, Validation Loss: 5.678171785560498
Epoch 460, Validation Loss: 5.982160328212507
Epoch 470, Validation Loss: 6.1600525022046435
Epoch 480, Validation Loss: 5.934696122441785
Epoch 490, Validation Loss: 5.729544911117953
Epoch 500, Validation Loss: 5.894057968436673
Epoch 510, Validation Loss: 6.208567864738865
Epoch 520, Validation Loss: 5.567233652428174
Epoch 530, Validation Loss: 5.7246663869228005
Epoch 540, Validation Loss: 5.894171098858595
Epoch 550, Validation Loss: 6.299613093388857
Epoch 560, Validation Loss: 5.830070222284676
Epoch 570, Validation Loss: 5.627809753917704
Epoch 580, Validation Loss: 6.220117367201089
Epoch 590, Validation Loss: 5.660653114173503
Epoch 600, Validation Loss: 5.480578394204046
Epoch 610, Validation Loss: 5.912102464594247
Epoch 620, Validation Loss: 6.023434406545249
Epoch 630, Validation Loss: 5.65652921477369
Epoch 640, Validation Loss: 5.326882989187077
Epoch 650, Validation Loss: 6.119415423257933
Epoch 660, Validation Loss: 5.291893306683795
Epoch 670, Validation Loss: 5.310401599516939
Epoch 680, Validation Loss: 5.5348435700750125
Epoch 690, Validation Loss: 6.0149063191468946
Epoch 700, Validation Loss: 6.0457200714527115
Epoch 710, Validation Loss: 5.619520858151032
Epoch 720, Validation Loss: 5.553295932868757
Epoch 730, Validation Loss: 5.454150297806954
Epoch 740, Validation Loss: 5.245932018774911
Epoch 750, Validation Loss: 5.661108066513954
Epoch 760, Validation Loss: 5.241667519916622
Epoch 770, Validation Loss: 5.684021291905942
Epoch 780, Validation Loss: 5.9601037945982
Epoch 790, Validation Loss: 5.314218482088475
Epoch 800, Validation Loss: 5.423039568022471
Epoch 810, Validation Loss: 5.376031082685702
Epoch 820, Validation Loss: 5.4710653955100215
Epoch 830, Validation Loss: 5.301534849125955
Epoch 840, Validation Loss: 5.8503138324709765
Epoch 850, Validation Loss: 5.711411053112699
Epoch 860, Validation Loss: 5.138918637292078
Epoch 870, Validation Loss: 5.260765663603647
Epoch 880, Validation Loss: 6.03540374448811
Epoch 890, Validation Loss: 5.683955470369082
Epoch 900, Validation Loss: 5.6273829812768446
Epoch 910, Validation Loss: 5.185813907565899
Epoch 920, Validation Loss: 5.903043793925659
Epoch 930, Validation Loss: 5.40291246270151
Epoch 940, Validation Loss: 5.743616264390709
Epoch 950, Validation Loss: 5.241005234062948
Epoch 960, Validation Loss: 5.997940568361725
Epoch 970, Validation Loss: 5.388663761735181
Epoch 980, Validation Loss: 5.652204770206982
Epoch 990, Validation Loss: 5.671970782989823
