Epoch 0, Validation Loss: 483.14278509882433
Epoch 10, Validation Loss: 24.87002596935509
Epoch 20, Validation Loss: 22.51103884189419
Epoch 30, Validation Loss: 24.156655343751726
Epoch 40, Validation Loss: 24.65120481811979
Epoch 50, Validation Loss: 21.01816530219176
Epoch 60, Validation Loss: 18.15562471006921
Epoch 70, Validation Loss: 16.45443233928505
Epoch 80, Validation Loss: 14.753816911032695
Epoch 90, Validation Loss: 13.188749625364293
Epoch 100, Validation Loss: 11.412485419131855
Epoch 110, Validation Loss: 9.544020890806367
Epoch 120, Validation Loss: 12.835185598278251
Epoch 130, Validation Loss: 8.899915694713783
Epoch 140, Validation Loss: 8.579240800490895
Epoch 150, Validation Loss: 8.366312361055243
Epoch 160, Validation Loss: 8.35855275849575
Epoch 170, Validation Loss: 8.59598479447994
Epoch 180, Validation Loss: 8.488285283040781
Epoch 190, Validation Loss: 8.163787355379979
Epoch 200, Validation Loss: 7.843368229534738
Epoch 210, Validation Loss: 7.573506553137951
Epoch 220, Validation Loss: 7.179817564304109
Epoch 230, Validation Loss: 7.030268115410908
Epoch 240, Validation Loss: 6.857905903268724
Epoch 250, Validation Loss: 6.7607498815320595
Epoch 260, Validation Loss: 6.738134844940095
Epoch 270, Validation Loss: 6.780154568302827
Epoch 280, Validation Loss: 6.826325435856424
Epoch 290, Validation Loss: 6.792857469640412
Epoch 300, Validation Loss: 6.722175851399965
Epoch 310, Validation Loss: 6.6982149241870745
Epoch 320, Validation Loss: 6.718858372699581
Epoch 330, Validation Loss: 6.749044085752035
Epoch 340, Validation Loss: 6.774934220400308
Epoch 350, Validation Loss: 6.791503502555481
Epoch 360, Validation Loss: 6.795223257319831
Epoch 370, Validation Loss: 6.783877945473364
Epoch 380, Validation Loss: 6.757010098316137
Epoch 390, Validation Loss: 6.715719132383611
Epoch 400, Validation Loss: 6.662311306674802
Epoch 410, Validation Loss: 6.599842629787818
Epoch 420, Validation Loss: 6.531228853570436
Epoch 430, Validation Loss: 6.458620948812429
Epoch 440, Validation Loss: 6.383215378441446
Epoch 450, Validation Loss: 6.304903715596604
Epoch 460, Validation Loss: 6.223158106903654
Epoch 470, Validation Loss: 6.137278417356713
Epoch 480, Validation Loss: 6.048331105265868
Epoch 490, Validation Loss: 5.959986272356108
Epoch 500, Validation Loss: 5.873753134587167
Epoch 510, Validation Loss: 5.788459072015692
Epoch 520, Validation Loss: 5.703538853754016
Epoch 530, Validation Loss: 5.619551665964171
Epoch 540, Validation Loss: 5.537870446792929
Epoch 550, Validation Loss: 5.461236039155845
Epoch 560, Validation Loss: 5.394484097873087
Epoch 570, Validation Loss: 5.344722728267413
Epoch 580, Validation Loss: 5.320631435103119
Epoch 590, Validation Loss: 5.326720062007712
Epoch 600, Validation Loss: 5.353741883669357
Epoch 610, Validation Loss: 5.3958569829151
Epoch 620, Validation Loss: 5.453982410075813
Epoch 630, Validation Loss: 5.520620345619527
Epoch 640, Validation Loss: 5.7365402000337795
Epoch 650, Validation Loss: 5.6192549437825035
Epoch 660, Validation Loss: 5.686774086211025
Epoch 670, Validation Loss: 5.790560661562982
Epoch 680, Validation Loss: 5.828828261387247
Epoch 690, Validation Loss: 5.8378100864132305
Epoch 700, Validation Loss: 5.920961598084834
Epoch 710, Validation Loss: 5.935552552555272
Epoch 720, Validation Loss: 5.9941336589260565
Epoch 730, Validation Loss: 6.031848310051551
Epoch 740, Validation Loss: 6.074511590575446
Epoch 750, Validation Loss: 6.120308882430973
Epoch 760, Validation Loss: 6.168527406062312
Epoch 770, Validation Loss: 6.221611500176513
Epoch 780, Validation Loss: 6.280126354296904
Epoch 790, Validation Loss: 6.344558333041491
Epoch 800, Validation Loss: 6.414977488691624
Epoch 810, Validation Loss: 6.491083063076959
Epoch 820, Validation Loss: 6.57228453746001
Epoch 830, Validation Loss: 6.65778096066692
Epoch 840, Validation Loss: 6.746643613986195
Epoch 850, Validation Loss: 6.837875209158399
Epoch 860, Validation Loss: 6.930433274489915
Epoch 870, Validation Loss: 7.023215198115712
Epoch 880, Validation Loss: 7.115031404341605
Epoch 890, Validation Loss: 7.204723737850525
Epoch 900, Validation Loss: 7.295646096194767
Epoch 910, Validation Loss: 7.386267080985546
Epoch 920, Validation Loss: 7.32417922792085
Epoch 930, Validation Loss: 7.528719249975937
Epoch 940, Validation Loss: 7.502675005163662
Epoch 950, Validation Loss: 7.630018820227732
Epoch 960, Validation Loss: 7.602963953134259
Epoch 970, Validation Loss: 7.726290017560971
Epoch 980, Validation Loss: 7.6536276270203585
Epoch 990, Validation Loss: 7.838842243735428
