Epoch 0, Validation Loss: 435.10549601090304
Epoch 10, Validation Loss: 9.87772295583538
Epoch 20, Validation Loss: 9.22946507755329
Epoch 30, Validation Loss: 9.013468640239022
Epoch 40, Validation Loss: 9.09946106136258
Epoch 50, Validation Loss: 9.281388555407966
Epoch 60, Validation Loss: 9.132230996341246
Epoch 70, Validation Loss: 8.8675567616488
Epoch 80, Validation Loss: 8.7909748215409
Epoch 90, Validation Loss: 8.748093190757762
Epoch 100, Validation Loss: 8.448739602757989
Epoch 110, Validation Loss: 8.16232829390043
Epoch 120, Validation Loss: 8.246202024646912
Epoch 130, Validation Loss: 8.11237236933793
Epoch 140, Validation Loss: 7.954477213053466
Epoch 150, Validation Loss: 7.857979212598951
Epoch 160, Validation Loss: 7.87979661630029
Epoch 170, Validation Loss: 7.680037784117813
Epoch 180, Validation Loss: 7.500821516749651
Epoch 190, Validation Loss: 7.5386574158364565
Epoch 200, Validation Loss: 7.569073704791123
Epoch 210, Validation Loss: 7.352890771222043
Epoch 220, Validation Loss: 7.411045748637867
Epoch 230, Validation Loss: 7.288981875957467
Epoch 240, Validation Loss: 7.409686040399075
Epoch 250, Validation Loss: 7.173661281069208
Epoch 260, Validation Loss: 7.128242120717223
Epoch 270, Validation Loss: 7.297212311931084
Epoch 280, Validation Loss: 7.457803563120017
Epoch 290, Validation Loss: 7.2972838103028
Epoch 300, Validation Loss: 7.328056992031372
Epoch 310, Validation Loss: 7.630816940996476
Epoch 320, Validation Loss: 8.07523147287954
Epoch 330, Validation Loss: 12.153046786698622
Epoch 340, Validation Loss: 9.337627979137286
Epoch 350, Validation Loss: 7.602277002208424
Epoch 360, Validation Loss: 7.422101534547395
Epoch 370, Validation Loss: 7.683322053799436
Epoch 380, Validation Loss: 7.876475027890459
Epoch 390, Validation Loss: 8.946964458037112
Epoch 400, Validation Loss: 7.35461688546278
Epoch 410, Validation Loss: 7.427523562636699
Epoch 420, Validation Loss: 7.527563978372338
Epoch 430, Validation Loss: 7.566397570871035
Epoch 440, Validation Loss: 7.5949528094476415
Epoch 450, Validation Loss: 7.939910163847773
Epoch 460, Validation Loss: 9.225884908869341
Epoch 470, Validation Loss: 7.354520473029035
Epoch 480, Validation Loss: 7.4539342512569835
Epoch 490, Validation Loss: 7.477618178801779
