Epoch 0, Validation Loss: 67.64322391407006
Epoch 10, Validation Loss: 69.41217519494027
Epoch 20, Validation Loss: 70.85002683548737
Epoch 30, Validation Loss: 70.85625094804912
Epoch 40, Validation Loss: 70.85626214459884
Epoch 50, Validation Loss: 70.85626216471923
Epoch 60, Validation Loss: 70.85626216475536
Epoch 70, Validation Loss: 70.8562621647554
Epoch 80, Validation Loss: 70.8562621647554
Epoch 90, Validation Loss: 70.8562621647554
Epoch 100, Validation Loss: 70.8562621647554
Epoch 110, Validation Loss: 70.8562621647554
Epoch 120, Validation Loss: 70.8562621647554
Epoch 130, Validation Loss: 70.8562621647554
Epoch 140, Validation Loss: 70.8562621647554
Epoch 150, Validation Loss: 70.8562621647554
Epoch 160, Validation Loss: 70.8562621647554
Epoch 170, Validation Loss: 70.8562621647554
Epoch 180, Validation Loss: 70.8562621647554
Epoch 190, Validation Loss: 70.8562621647554
Epoch 200, Validation Loss: 70.8562621647554
Epoch 210, Validation Loss: 70.8562621647554
Epoch 220, Validation Loss: 70.8562621647554
Epoch 230, Validation Loss: 70.8562621647554
Epoch 240, Validation Loss: 70.8562621647554
Epoch 250, Validation Loss: 70.8562621647554
Epoch 260, Validation Loss: 70.8562621647554
Epoch 270, Validation Loss: 70.8562621647554
Epoch 280, Validation Loss: 70.8562621647554
Epoch 290, Validation Loss: 70.8562621647554
Epoch 300, Validation Loss: 70.8562621647554
Epoch 310, Validation Loss: 70.8562621647554
Epoch 320, Validation Loss: 70.8562621647554
Epoch 330, Validation Loss: 70.8562621647554
Epoch 340, Validation Loss: 70.8562621647554
Epoch 350, Validation Loss: 70.8562621647554
Epoch 360, Validation Loss: 70.8562621647554
Epoch 370, Validation Loss: 70.8562621647554
Epoch 380, Validation Loss: 70.8562621647554
Epoch 390, Validation Loss: 70.8562621647554
Epoch 400, Validation Loss: 70.8562621647554
Epoch 410, Validation Loss: 70.8562621647554
Epoch 420, Validation Loss: 70.8562621647554
Epoch 430, Validation Loss: 70.8562621647554
Epoch 440, Validation Loss: 70.8562621647554
Epoch 450, Validation Loss: 70.8562621647554
Epoch 460, Validation Loss: 70.8562621647554
Epoch 470, Validation Loss: 70.8562621647554
Epoch 480, Validation Loss: 70.8562621647554
Epoch 490, Validation Loss: 70.8562621647554
