Epoch 0, Validation Loss: 534.4959764132597
Epoch 10, Validation Loss: 477.6274292124122
Epoch 20, Validation Loss: 415.66743487592316
Epoch 30, Validation Loss: 282.958151704243
Epoch 40, Validation Loss: 64.3751507321129
Epoch 50, Validation Loss: 36.68085800686258
Epoch 60, Validation Loss: 33.03505099648156
Epoch 70, Validation Loss: 30.18451839087145
Epoch 80, Validation Loss: 28.021577738375054
Epoch 90, Validation Loss: 26.277508812418287
Epoch 100, Validation Loss: 24.88379989759877
Epoch 110, Validation Loss: 23.785660544597825
Epoch 120, Validation Loss: 22.91314597362008
Epoch 130, Validation Loss: 22.197791051417273
Epoch 140, Validation Loss: 21.586231722514004
Epoch 150, Validation Loss: 21.04093976561953
Epoch 160, Validation Loss: 20.53540804887845
Epoch 170, Validation Loss: 20.049411165732213
Epoch 180, Validation Loss: 19.565661426853342
Epoch 190, Validation Loss: 19.06761770197549
Epoch 200, Validation Loss: 18.538248460382516
Epoch 210, Validation Loss: 17.96010076600547
Epoch 220, Validation Loss: 17.317476423129474
Epoch 230, Validation Loss: 16.60111081231477
Epoch 240, Validation Loss: 15.814026560084825
Epoch 250, Validation Loss: 14.97531375905379
Epoch 260, Validation Loss: 14.11875092933907
Epoch 270, Validation Loss: 13.286088927175372
Epoch 280, Validation Loss: 12.518195495529184
Epoch 290, Validation Loss: 11.84783240700878
Epoch 300, Validation Loss: 11.295117428051627
Epoch 310, Validation Loss: 10.864930345815322
Epoch 320, Validation Loss: 10.547217340019612
Epoch 330, Validation Loss: 10.32154636389717
Epoch 340, Validation Loss: 10.16397103618912
Epoch 350, Validation Loss: 10.052388701618952
Epoch 360, Validation Loss: 9.96847865629288
Epoch 370, Validation Loss: 9.896856768091874
Epoch 380, Validation Loss: 9.82310278317885
Epoch 390, Validation Loss: 9.73245536855091
Epoch 400, Validation Loss: 9.61096048038983
Epoch 410, Validation Loss: 9.449374934261845
Epoch 420, Validation Loss: 9.24667313078149
Epoch 430, Validation Loss: 9.009808738856913
Epoch 440, Validation Loss: 8.7509518598228
Epoch 450, Validation Loss: 8.484570320080802
Epoch 460, Validation Loss: 8.22424759508092
Epoch 470, Validation Loss: 7.979703877646647
Epoch 480, Validation Loss: 7.75585727190359
Epoch 490, Validation Loss: 7.553968585513767
Epoch 500, Validation Loss: 7.373284168927491
Epoch 510, Validation Loss: 7.212168997234342
Epoch 520, Validation Loss: 7.0686750776447385
Epoch 530, Validation Loss: 6.940796897057219
Epoch 540, Validation Loss: 6.826599421739111
Epoch 550, Validation Loss: 6.724294515827356
Epoch 560, Validation Loss: 6.63228430238669
Epoch 570, Validation Loss: 6.549174457377429
Epoch 580, Validation Loss: 6.473761746989037
Epoch 590, Validation Loss: 6.40500390323601
Epoch 600, Validation Loss: 6.341981348516299
Epoch 610, Validation Loss: 6.2838589754151135
Epoch 620, Validation Loss: 6.229853214948359
Epoch 630, Validation Loss: 6.1792062369504155
Epoch 640, Validation Loss: 6.131166342565543
Epoch 650, Validation Loss: 6.084972055464006
Epoch 660, Validation Loss: 6.039837423747637
Epoch 670, Validation Loss: 5.994938159227562
Epoch 680, Validation Loss: 5.94940444063686
Epoch 690, Validation Loss: 5.902342482373576
Epoch 700, Validation Loss: 5.852948185555364
Epoch 710, Validation Loss: 5.800867717247807
Epoch 720, Validation Loss: 5.747087683509436
Epoch 730, Validation Loss: 5.695503740807271
Epoch 740, Validation Loss: 5.654219632754879
Epoch 750, Validation Loss: 5.634014423150984
Epoch 760, Validation Loss: 5.639870890612388
Epoch 770, Validation Loss: 5.664953830156328
Epoch 780, Validation Loss: 5.701718934428581
Epoch 790, Validation Loss: 5.74366898732484
Epoch 800, Validation Loss: 5.787082832208361
Epoch 810, Validation Loss: 5.830696150845517
Epoch 820, Validation Loss: 5.874103905874916
Epoch 830, Validation Loss: 5.917003475325849
Epoch 840, Validation Loss: 5.958990784614285
Epoch 850, Validation Loss: 5.999533654453395
Epoch 860, Validation Loss: 6.037988159614031
Epoch 870, Validation Loss: 6.073628583584114
Epoch 880, Validation Loss: 6.105690396399791
Epoch 890, Validation Loss: 6.133430727755222
Epoch 900, Validation Loss: 6.15620748481117
Epoch 910, Validation Loss: 6.173569614344963
Epoch 920, Validation Loss: 6.1853401700561434
Epoch 930, Validation Loss: 6.1916673405356155
Epoch 940, Validation Loss: 6.19302310450147
Epoch 950, Validation Loss: 6.19014522072416
Epoch 960, Validation Loss: 6.183937762545585
Epoch 970, Validation Loss: 6.17535744402187
Epoch 980, Validation Loss: 6.165312397269087
Epoch 990, Validation Loss: 6.1545901329060495
