Epoch 0, Validation Loss: 442.9847094300339
Epoch 10, Validation Loss: 66.62222691365491
Epoch 20, Validation Loss: 61.97834767558962
Epoch 30, Validation Loss: 57.942940108867965
Epoch 40, Validation Loss: 54.637918680206
Epoch 50, Validation Loss: 51.98604767842861
Epoch 60, Validation Loss: 49.83772086483515
Epoch 70, Validation Loss: 48.05964847025526
Epoch 80, Validation Loss: 46.550624894601924
Epoch 90, Validation Loss: 45.237830420238495
Epoch 100, Validation Loss: 44.069357133867804
Epoch 110, Validation Loss: 43.00784814408269
Epoch 120, Validation Loss: 42.02596521884491
Epoch 130, Validation Loss: 41.10332834915506
Epoch 140, Validation Loss: 40.224472313608054
Epoch 150, Validation Loss: 39.377474826490726
Epoch 160, Validation Loss: 38.553024504297184
Epoch 170, Validation Loss: 37.74377869502604
Epoch 180, Validation Loss: 36.94391476255634
Epoch 190, Validation Loss: 36.14881264542963
Epoch 200, Validation Loss: 35.354828498265526
Epoch 210, Validation Loss: 34.559133609615
Epoch 220, Validation Loss: 33.75960238711449
Epoch 230, Validation Loss: 32.95473962033462
Epoch 240, Validation Loss: 32.14364130566683
Epoch 250, Validation Loss: 31.32598537511579
Epoch 260, Validation Loss: 30.502048738041132
Epoch 270, Validation Loss: 29.67274503597627
Epoch 280, Validation Loss: 28.83967346999292
Epoch 290, Validation Loss: 28.00516348492862
Epoch 300, Validation Loss: 27.172294291463363
Epoch 310, Validation Loss: 26.344864492639886
Epoch 320, Validation Loss: 25.527288496892886
Epoch 330, Validation Loss: 24.724405617246937
Epoch 340, Validation Loss: 23.94120526900101
Epoch 350, Validation Loss: 23.18249414839964
Epoch 360, Validation Loss: 22.45255154111668
Epoch 370, Validation Loss: 21.754828649374854
Epoch 380, Validation Loss: 21.091741958292175
Epoch 390, Validation Loss: 20.46459062484725
Epoch 400, Validation Loss: 19.87360116254385
Epoch 410, Validation Loss: 19.318078806347604
Epoch 420, Validation Loss: 18.7966306407199
Epoch 430, Validation Loss: 18.307422447934815
Epoch 440, Validation Loss: 17.84843612219449
Epoch 450, Validation Loss: 17.41770140327017
Epoch 460, Validation Loss: 17.013478349830294
Epoch 470, Validation Loss: 16.634363470243077
Epoch 480, Validation Loss: 16.279292146728288
Epoch 490, Validation Loss: 15.947432310148114
Epoch 500, Validation Loss: 15.638012598050636
Epoch 510, Validation Loss: 15.350164422626378
Epoch 520, Validation Loss: 15.082839470370494
Epoch 530, Validation Loss: 14.834808939998595
Epoch 540, Validation Loss: 14.604711597854935
Epoch 550, Validation Loss: 14.391115203093577
Epoch 560, Validation Loss: 14.192571548476218
Epoch 570, Validation Loss: 14.007658972704041
Epoch 580, Validation Loss: 13.835012469778025
Epoch 590, Validation Loss: 13.673343343481358
Epoch 600, Validation Loss: 13.52145067307997
Epoch 610, Validation Loss: 13.37822677113191
Epoch 620, Validation Loss: 13.242658516565347
Epoch 630, Validation Loss: 13.11382600596776
Epoch 640, Validation Loss: 12.990899505023458
Epoch 650, Validation Loss: 12.873135307098119
Epoch 660, Validation Loss: 12.759870859752825
Epoch 670, Validation Loss: 12.65051938919752
Epoch 680, Validation Loss: 12.544564198912543
Epoch 690, Validation Loss: 12.44155280318467
Epoch 700, Validation Loss: 12.341091051726707
Epoch 710, Validation Loss: 12.242837393311424
Epoch 720, Validation Loss: 12.146497409580723
Epoch 730, Validation Loss: 12.051818725632852
Epoch 740, Validation Loss: 11.958586374729036
Epoch 750, Validation Loss: 11.866618663874611
Epoch 760, Validation Loss: 11.775763557824707
Epoch 770, Validation Loss: 11.685895573014283
Epoch 780, Validation Loss: 11.59691315097047
Epoch 790, Validation Loss: 11.508736463300346
Epoch 800, Validation Loss: 11.421305587370547
Epoch 810, Validation Loss: 11.334578983112825
Epoch 820, Validation Loss: 11.248532196704703
Epoch 830, Validation Loss: 11.163156715848297
Epoch 840, Validation Loss: 11.078458903685792
Epoch 850, Validation Loss: 10.994458943792988
Epoch 860, Validation Loss: 10.9111897370091
Epoch 870, Validation Loss: 10.828695701948286
Epoch 880, Validation Loss: 10.747031444673256
Epoch 890, Validation Loss: 10.66626027873671
Epoch 900, Validation Loss: 10.586452593806685
Epoch 910, Validation Loss: 10.507684088201657
Epoch 920, Validation Loss: 10.43003389642738
Epoch 930, Validation Loss: 10.353582655763667
Epoch 940, Validation Loss: 10.27841056490805
Epoch 950, Validation Loss: 10.204595491978601
Epoch 960, Validation Loss: 10.132211188783554
Epoch 970, Validation Loss: 10.06132566373687
Epoch 980, Validation Loss: 9.991999758080967
Epoch 990, Validation Loss: 9.924285960257686
