Epoch 0, Validation Loss: 295.7185486625718
Epoch 10, Validation Loss: 70.70756817408368
Epoch 20, Validation Loss: 70.85598817953134
Epoch 30, Validation Loss: 70.85625920591832
Epoch 40, Validation Loss: 70.85625629159892
Epoch 50, Validation Loss: 70.85625104432282
Epoch 60, Validation Loss: 70.85624516042715
Epoch 70, Validation Loss: 73.97080476775544
Epoch 80, Validation Loss: 52.90773069599098
Epoch 90, Validation Loss: 52.88977197622961
Epoch 100, Validation Loss: 52.96025998782887
Epoch 110, Validation Loss: 51.66256674901933
Epoch 120, Validation Loss: 51.71193507562483
Epoch 130, Validation Loss: 51.708401112186685
Epoch 140, Validation Loss: 51.30933955226103
Epoch 150, Validation Loss: 49.41661732895373
Epoch 160, Validation Loss: 55.82482802338179
Epoch 170, Validation Loss: 53.63734020866699
Epoch 180, Validation Loss: 51.51834324053399
Epoch 190, Validation Loss: 51.08626127313003
Epoch 200, Validation Loss: 50.367450225164454
Epoch 210, Validation Loss: 51.16599299443231
Epoch 220, Validation Loss: 50.301172387999834
Epoch 230, Validation Loss: 51.19716116295454
Epoch 240, Validation Loss: 58.04766827375346
Epoch 250, Validation Loss: 50.290978499130745
Epoch 260, Validation Loss: 50.181032881895014
Epoch 270, Validation Loss: 49.88193494076856
Epoch 280, Validation Loss: 49.65126211684289
Epoch 290, Validation Loss: 51.03171860154383
Epoch 300, Validation Loss: 49.90252260332877
Epoch 310, Validation Loss: 51.27867582784735
Epoch 320, Validation Loss: 50.671803085996295
Epoch 330, Validation Loss: 50.522254736091895
Epoch 340, Validation Loss: 51.546457630835306
Epoch 350, Validation Loss: 50.94351040577654
Epoch 360, Validation Loss: 51.6355301043736
Epoch 370, Validation Loss: 51.34226441455331
Epoch 380, Validation Loss: 52.941023433153276
Epoch 390, Validation Loss: 53.21875406950709
Epoch 400, Validation Loss: 50.375859376783765
Epoch 410, Validation Loss: 51.42641926881305
Epoch 420, Validation Loss: 50.75645269181129
Epoch 430, Validation Loss: 52.582165121261575
Epoch 440, Validation Loss: 51.711359767944394
Epoch 450, Validation Loss: 48.52093705300214
Epoch 460, Validation Loss: 52.47660750626794
Epoch 470, Validation Loss: 52.713729733282726
Epoch 480, Validation Loss: 50.69257537776999
Epoch 490, Validation Loss: 50.963315343113614
Epoch 500, Validation Loss: 52.41746666564529
Epoch 510, Validation Loss: 55.812711096593446
Epoch 520, Validation Loss: 52.36328597565984
Epoch 530, Validation Loss: 53.30222676945829
Epoch 540, Validation Loss: 53.21066451998978
Epoch 550, Validation Loss: 53.16848203591734
Epoch 560, Validation Loss: 52.31214478306968
Epoch 570, Validation Loss: 52.4719216520042
Epoch 580, Validation Loss: 53.2528338958083
Epoch 590, Validation Loss: 52.98865290092845
Epoch 600, Validation Loss: 53.158267742681176
Epoch 610, Validation Loss: 52.77727884325056
Epoch 620, Validation Loss: 53.002327237047865
Epoch 630, Validation Loss: 53.1627835632744
Epoch 640, Validation Loss: 52.84202546943096
Epoch 650, Validation Loss: 52.609965095894445
Epoch 660, Validation Loss: 52.909190606200184
Epoch 670, Validation Loss: 52.95196584974445
Epoch 680, Validation Loss: 52.999136947782034
Epoch 690, Validation Loss: 53.00872196265309
Epoch 700, Validation Loss: 52.73314563296608
Epoch 710, Validation Loss: 52.97455001160705
Epoch 720, Validation Loss: 53.020284098935775
Epoch 730, Validation Loss: 53.03652874295298
Epoch 740, Validation Loss: 53.047881511061604
Epoch 750, Validation Loss: 53.05571485088066
Epoch 760, Validation Loss: 53.06231981343695
Epoch 770, Validation Loss: 53.067633483796826
Epoch 780, Validation Loss: 53.07214797140256
Epoch 790, Validation Loss: 53.076055633413155
Epoch 800, Validation Loss: 53.079123491048875
Epoch 810, Validation Loss: 53.085041715522586
Epoch 820, Validation Loss: 53.07665440667441
Epoch 830, Validation Loss: 53.06471387475569
Epoch 840, Validation Loss: 52.980922447916534
Epoch 850, Validation Loss: 53.14885555618789
Epoch 860, Validation Loss: 52.84005352510153
Epoch 870, Validation Loss: 52.91341527703654
Epoch 880, Validation Loss: 53.06414308819634
Epoch 890, Validation Loss: 52.81802952130322
Epoch 900, Validation Loss: 52.88606330294475
Epoch 910, Validation Loss: 52.98975614781731
Epoch 920, Validation Loss: 52.985554832038495
Epoch 930, Validation Loss: 53.01904800833049
Epoch 940, Validation Loss: 53.0032573298334
Epoch 950, Validation Loss: 53.00967430274975
Epoch 960, Validation Loss: 53.040230898400836
Epoch 970, Validation Loss: 53.06407997983981
Epoch 980, Validation Loss: 53.0788519252765
Epoch 990, Validation Loss: 52.99737625953537
