Epoch 0, Validation Loss: 76.90016010338918
Epoch 10, Validation Loss: 76.3188451208347
Epoch 20, Validation Loss: 74.4906099977238
Epoch 30, Validation Loss: 61.58038174419636
Epoch 40, Validation Loss: 31.02432928802247
Epoch 50, Validation Loss: 12.215429225796212
Epoch 60, Validation Loss: 8.730183043380942
Epoch 70, Validation Loss: 8.411816221294982
Epoch 80, Validation Loss: 8.67832144902896
Epoch 90, Validation Loss: 8.963076301929052
Epoch 100, Validation Loss: 9.154707190947294
Epoch 110, Validation Loss: 9.25528771710525
Epoch 120, Validation Loss: 9.293226205705473
Epoch 130, Validation Loss: 9.296458535469503
Epoch 140, Validation Loss: 9.284795257561612
Epoch 150, Validation Loss: 9.270150309510313
Epoch 160, Validation Loss: 9.259207477736709
Epoch 170, Validation Loss: 9.255407804741733
Epoch 180, Validation Loss: 9.256431135205762
Epoch 190, Validation Loss: 9.241726366966848
Epoch 200, Validation Loss: 9.20766895533205
Epoch 210, Validation Loss: 9.192758069005476
Epoch 220, Validation Loss: 9.195963176162005
Epoch 230, Validation Loss: 9.227702943347644
Epoch 240, Validation Loss: 9.310243694525095
Epoch 250, Validation Loss: 9.44230226327717
Epoch 260, Validation Loss: 9.602304197385138
Epoch 270, Validation Loss: 9.770286073740964
Epoch 280, Validation Loss: 9.933590148005445
Epoch 290, Validation Loss: 10.082577795415261
Epoch 300, Validation Loss: 10.21127872881612
Epoch 310, Validation Loss: 10.319691541156963
Epoch 320, Validation Loss: 10.410930351519639
Epoch 330, Validation Loss: 10.487715199106413
Epoch 340, Validation Loss: 10.551478346723922
Epoch 350, Validation Loss: 10.602896222068765
Epoch 360, Validation Loss: 10.64257104345185
Epoch 370, Validation Loss: 10.671430502676648
Epoch 380, Validation Loss: 10.690807874887136
Epoch 390, Validation Loss: 10.70228735981315
Epoch 400, Validation Loss: 10.707452428753843
Epoch 410, Validation Loss: 10.70767072473634
Epoch 420, Validation Loss: 10.70396177108455
Epoch 430, Validation Loss: 10.696873107003611
Epoch 440, Validation Loss: 10.686188123518379
Epoch 450, Validation Loss: 10.670193497676976
Epoch 460, Validation Loss: 10.644277128694602
Epoch 470, Validation Loss: 10.599616380875096
Epoch 480, Validation Loss: 10.52552122348672
Epoch 490, Validation Loss: 10.420004063551351
Epoch 500, Validation Loss: 10.301693787718907
Epoch 510, Validation Loss: 10.19882198689317
Epoch 520, Validation Loss: 10.125019040735934
Epoch 530, Validation Loss: 10.076591309584646
Epoch 540, Validation Loss: 10.043712632567743
Epoch 550, Validation Loss: 10.017801373112308
Epoch 560, Validation Loss: 9.993861175320967
Epoch 570, Validation Loss: 9.970499314591848
Epoch 580, Validation Loss: 9.948288689429523
Epoch 590, Validation Loss: 9.92818011786121
Epoch 600, Validation Loss: 9.910829865745109
Epoch 610, Validation Loss: 9.896460996467694
Epoch 620, Validation Loss: 9.884945451180721
Epoch 630, Validation Loss: 9.875951676541447
Epoch 640, Validation Loss: 9.86906295732882
Epoch 650, Validation Loss: 9.863840695479135
Epoch 660, Validation Loss: 9.859847118328533
Epoch 670, Validation Loss: 9.856647480631578
Epoch 680, Validation Loss: 9.85380442469267
Epoch 690, Validation Loss: 9.850869851823209
Epoch 700, Validation Loss: 9.84737534201643
Epoch 710, Validation Loss: 9.842820236359769
Epoch 720, Validation Loss: 9.836656211254049
Epoch 730, Validation Loss: 9.828268389223677
Epoch 740, Validation Loss: 9.816956210556068
Epoch 750, Validation Loss: 9.801923093815867
Epoch 760, Validation Loss: 9.782291311983723
Epoch 770, Validation Loss: 9.757160465543313
Epoch 780, Validation Loss: 9.725711082750852
Epoch 790, Validation Loss: 9.68731805163209
Epoch 800, Validation Loss: 9.641616125239254
Epoch 810, Validation Loss: 9.588489122478922
Epoch 820, Validation Loss: 9.52801024820404
Epoch 830, Validation Loss: 9.460383419054487
Epoch 840, Validation Loss: 9.385915644310325
Epoch 850, Validation Loss: 9.305023004292275
Epoch 860, Validation Loss: 9.218258873025151
Epoch 870, Validation Loss: 9.126350927779924
Epoch 880, Validation Loss: 9.030236951063904
Epoch 890, Validation Loss: 8.931095139975257
Epoch 900, Validation Loss: 8.830364641854922
Epoch 910, Validation Loss: 8.729728516248269
Epoch 920, Validation Loss: 8.630984561700249
Epoch 930, Validation Loss: 8.535727140297409
Epoch 940, Validation Loss: 8.444894989373001
Epoch 950, Validation Loss: 8.358440130618543
Epoch 960, Validation Loss: 8.275393504905118
Epoch 970, Validation Loss: 8.194339844680439
Epoch 980, Validation Loss: 8.11402050553557
Epoch 990, Validation Loss: 8.033746335767717
