Epoch 0, Validation Loss: 483.50023322018666
Epoch 10, Validation Loss: 29.04523429755921
Epoch 20, Validation Loss: 23.08247425651377
Epoch 30, Validation Loss: 18.98347801714308
Epoch 40, Validation Loss: 15.686947974256817
Epoch 50, Validation Loss: 14.954891451797232
Epoch 60, Validation Loss: 13.967063336963367
Epoch 70, Validation Loss: 12.961026397826672
Epoch 80, Validation Loss: 11.63094697000332
Epoch 90, Validation Loss: 10.482918802902738
Epoch 100, Validation Loss: 9.716457589621669
Epoch 110, Validation Loss: 9.20636046752204
Epoch 120, Validation Loss: 8.868367307824272
Epoch 130, Validation Loss: 8.662232283655017
Epoch 140, Validation Loss: 8.565566268101326
Epoch 150, Validation Loss: 8.559191795375096
Epoch 160, Validation Loss: 8.617725658726329
Epoch 170, Validation Loss: 8.70521399485172
Epoch 180, Validation Loss: 8.77935183747329
Epoch 190, Validation Loss: 8.812246066085336
Epoch 200, Validation Loss: 8.792041456448331
Epoch 210, Validation Loss: 8.711449153727054
Epoch 220, Validation Loss: 8.562896978865405
Epoch 230, Validation Loss: 8.340160189571819
Epoch 240, Validation Loss: 8.047414156070708
Epoch 250, Validation Loss: 7.7129533690030865
Epoch 260, Validation Loss: 7.382838673121549
Epoch 270, Validation Loss: 7.088036883229087
Epoch 280, Validation Loss: 6.833864495540535
Epoch 290, Validation Loss: 6.617207221206747
Epoch 300, Validation Loss: 6.437870572415691
Epoch 310, Validation Loss: 6.298191713229267
Epoch 320, Validation Loss: 6.199469742015213
Epoch 330, Validation Loss: 6.139930670753574
Epoch 340, Validation Loss: 6.114346963185514
Epoch 350, Validation Loss: 6.11516432150636
Epoch 360, Validation Loss: 6.134393602974846
Epoch 370, Validation Loss: 6.164428248325533
Epoch 380, Validation Loss: 6.197925822214313
Epoch 390, Validation Loss: 6.228370975603395
Epoch 400, Validation Loss: 6.251296191698648
Epoch 410, Validation Loss: 6.264840949005276
Epoch 420, Validation Loss: 6.269289454093903
Epoch 430, Validation Loss: 6.266137936618205
Epoch 440, Validation Loss: 6.257214062159308
Epoch 450, Validation Loss: 6.244109745757804
Epoch 460, Validation Loss: 6.227971703824015
Epoch 470, Validation Loss: 6.209579860311619
Epoch 480, Validation Loss: 6.189621651879193
Epoch 490, Validation Loss: 6.1689954240104745
