Epoch 0, Validation Loss: 124.95736028510433
Epoch 10, Validation Loss: 51.66418172191441
Epoch 20, Validation Loss: 43.550985251729486
Epoch 30, Validation Loss: 38.377316778082374
Epoch 40, Validation Loss: 33.83405885565879
Epoch 50, Validation Loss: 29.259413005547696
Epoch 60, Validation Loss: 24.576747765368754
Epoch 70, Validation Loss: 20.3475525541962
Epoch 80, Validation Loss: 17.432665089271378
Epoch 90, Validation Loss: 15.580702698104494
Epoch 100, Validation Loss: 14.340897818881025
Epoch 110, Validation Loss: 13.49538419512003
Epoch 120, Validation Loss: 12.87464532972948
Epoch 130, Validation Loss: 12.365221332381436
Epoch 140, Validation Loss: 11.904012580666286
Epoch 150, Validation Loss: 11.462072960843606
Epoch 160, Validation Loss: 11.035370280527763
Epoch 170, Validation Loss: 10.6311725575629
Epoch 180, Validation Loss: 10.255335323101182
Epoch 190, Validation Loss: 9.908198906374862
Epoch 200, Validation Loss: 9.585166675242244
Epoch 210, Validation Loss: 9.277591595879631
Epoch 220, Validation Loss: 8.972744077336518
Epoch 230, Validation Loss: 8.657211311254281
Epoch 240, Validation Loss: 8.331678577455829
Epoch 250, Validation Loss: 8.020631942229803
Epoch 260, Validation Loss: 7.756218008167278
Epoch 270, Validation Loss: 7.557339769445517
Epoch 280, Validation Loss: 7.4248194522548525
Epoch 290, Validation Loss: 7.349087390700275
Epoch 300, Validation Loss: 7.318042129116096
Epoch 310, Validation Loss: 7.320526908342639
Epoch 320, Validation Loss: 7.347066578933613
Epoch 330, Validation Loss: 7.389765683259086
Epoch 340, Validation Loss: 7.442156821594909
Epoch 350, Validation Loss: 7.4991290698985855
Epoch 360, Validation Loss: 7.556845861038096
Epoch 370, Validation Loss: 7.6125889514616745
Epoch 380, Validation Loss: 7.66455434381378
Epoch 390, Validation Loss: 7.711652742565141
Epoch 400, Validation Loss: 7.753339155406611
Epoch 410, Validation Loss: 7.789471981892557
Epoch 420, Validation Loss: 7.820197555802567
Epoch 430, Validation Loss: 7.845856336800858
Epoch 440, Validation Loss: 7.8669037494532965
Epoch 450, Validation Loss: 7.883837306081926
Epoch 460, Validation Loss: 7.89712971200502
Epoch 470, Validation Loss: 7.907182963575387
Epoch 480, Validation Loss: 7.914322128776274
Epoch 490, Validation Loss: 7.918824883545598
Epoch 500, Validation Loss: 7.920956765963322
Epoch 510, Validation Loss: 7.920986164979325
Epoch 520, Validation Loss: 7.91917807205666
Epoch 530, Validation Loss: 7.9157802755526525
Epoch 540, Validation Loss: 7.911013032395154
Epoch 550, Validation Loss: 7.905065465121991
Epoch 560, Validation Loss: 7.898097311159474
Epoch 570, Validation Loss: 7.890243608913498
Epoch 580, Validation Loss: 7.881620430023685
Epoch 590, Validation Loss: 7.872330524026075
Epoch 600, Validation Loss: 7.8624682966289905
Epoch 610, Validation Loss: 7.852123877927957
Epoch 620, Validation Loss: 7.841386234090068
Epoch 630, Validation Loss: 7.83034540429993
Epoch 640, Validation Loss: 7.819094038859487
Epoch 650, Validation Loss: 7.807728480686095
Epoch 660, Validation Loss: 7.796349660473948
Epoch 670, Validation Loss: 7.785064049649604
Epoch 680, Validation Loss: 7.773984824183214
Epoch 690, Validation Loss: 7.7632332378623605
Epoch 700, Validation Loss: 7.752940003308649
Epoch 710, Validation Loss: 7.74324626702801
Epoch 720, Validation Loss: 7.734303590904051
Epoch 730, Validation Loss: 7.72627227827738
Epoch 740, Validation Loss: 7.719317471137684
Epoch 750, Validation Loss: 7.713602739494932
Epoch 760, Validation Loss: 7.7092813776734905
Epoch 770, Validation Loss: 7.706486229203398
Epoch 780, Validation Loss: 7.70531941517903
Epoch 790, Validation Loss: 7.705843636493069
Epoch 800, Validation Loss: 7.708076603443977
Epoch 810, Validation Loss: 7.711989599104501
Epoch 820, Validation Loss: 7.7175103569482175
Epoch 830, Validation Loss: 7.724529592586311
Epoch 840, Validation Loss: 7.732909930849313
Epoch 850, Validation Loss: 7.742495751440452
Epoch 860, Validation Loss: 7.753122621496278
Epoch 870, Validation Loss: 7.764625361651307
Epoch 880, Validation Loss: 7.776844242513669
Epoch 890, Validation Loss: 7.789629205152354
Epoch 900, Validation Loss: 7.802842278771377
Epoch 910, Validation Loss: 7.816358522498535
Epoch 920, Validation Loss: 7.830065869834656
Epoch 930, Validation Loss: 7.843864238321584
Epoch 940, Validation Loss: 7.857664215063406
Epoch 950, Validation Loss: 7.871385563974238
Epoch 960, Validation Loss: 7.88495573708481
Epoch 970, Validation Loss: 7.8983085168786
Epoch 980, Validation Loss: 7.911382871762157
Epoch 990, Validation Loss: 7.924122072134327
