Epoch 0, Validation Loss: 528.8938078199429
Epoch 10, Validation Loss: 422.0443902693618
Epoch 20, Validation Loss: 28.096213075476737
Epoch 30, Validation Loss: 9.3456807492082
Epoch 40, Validation Loss: 8.722414340343699
Epoch 50, Validation Loss: 8.591695077407095
Epoch 60, Validation Loss: 8.331716509430981
Epoch 70, Validation Loss: 8.036953735938983
Epoch 80, Validation Loss: 7.737140196927553
Epoch 90, Validation Loss: 7.467656637209748
Epoch 100, Validation Loss: 7.250464965950336
Epoch 110, Validation Loss: 7.04146715941729
Epoch 120, Validation Loss: 6.8794006510204895
Epoch 130, Validation Loss: 6.7542530257492235
Epoch 140, Validation Loss: 6.650997833514288
Epoch 150, Validation Loss: 6.573729345814028
Epoch 160, Validation Loss: 6.476312777634944
Epoch 170, Validation Loss: 6.375257810540608
Epoch 180, Validation Loss: 6.2958124713645205
Epoch 190, Validation Loss: 6.236391938436742
Epoch 200, Validation Loss: 6.16042571978975
Epoch 210, Validation Loss: 6.119616701199469
Epoch 220, Validation Loss: 6.079547058698481
Epoch 230, Validation Loss: 6.047538674890138
Epoch 240, Validation Loss: 6.016106356608796
Epoch 250, Validation Loss: 5.980807680515481
Epoch 260, Validation Loss: 5.940286582840417
Epoch 270, Validation Loss: 5.859354849985498
Epoch 280, Validation Loss: 5.804391226931039
Epoch 290, Validation Loss: 5.759173829876015
Epoch 300, Validation Loss: 5.729512413429449
Epoch 310, Validation Loss: 5.711448057459428
Epoch 320, Validation Loss: 5.703823519883232
Epoch 330, Validation Loss: 5.6841894147073875
Epoch 340, Validation Loss: 5.664361275849961
Epoch 350, Validation Loss: 5.651489824112856
Epoch 360, Validation Loss: 5.641420163862154
Epoch 370, Validation Loss: 5.629847485526781
Epoch 380, Validation Loss: 5.635549700425296
Epoch 390, Validation Loss: 5.633303279980446
Epoch 400, Validation Loss: 5.616423938854168
Epoch 410, Validation Loss: 5.615344412804554
Epoch 420, Validation Loss: 5.614422813674377
Epoch 430, Validation Loss: 5.622729893618163
Epoch 440, Validation Loss: 5.630728058494938
Epoch 450, Validation Loss: 5.638987077698883
Epoch 460, Validation Loss: 5.6505220931274645
Epoch 470, Validation Loss: 5.663311396283024
Epoch 480, Validation Loss: 5.665319927265881
Epoch 490, Validation Loss: 5.68020619755965
