Epoch 0, Validation Loss: 125.7143844967448
Epoch 10, Validation Loss: 51.57352940368827
Epoch 20, Validation Loss: 43.527740523232936
Epoch 30, Validation Loss: 38.391274991804
Epoch 40, Validation Loss: 33.919173983280594
Epoch 50, Validation Loss: 29.511359303900278
Epoch 60, Validation Loss: 25.164626723194996
Epoch 70, Validation Loss: 21.333085514049976
Epoch 80, Validation Loss: 18.41360083981563
Epoch 90, Validation Loss: 16.296283559258168
Epoch 100, Validation Loss: 14.77961465610071
Epoch 110, Validation Loss: 13.697022366297784
Epoch 120, Validation Loss: 12.897357144623454
Epoch 130, Validation Loss: 12.245709012501885
Epoch 140, Validation Loss: 11.653174270120738
Epoch 150, Validation Loss: 11.08432526230621
Epoch 160, Validation Loss: 10.547090947476951
Epoch 170, Validation Loss: 10.063332046184806
Epoch 180, Validation Loss: 9.644717786969913
Epoch 190, Validation Loss: 9.290083314910055
Epoch 200, Validation Loss: 8.991665863483991
Epoch 210, Validation Loss: 8.740053488264854
Epoch 220, Validation Loss: 8.527213040155065
Epoch 230, Validation Loss: 8.348601317794481
Epoch 240, Validation Loss: 8.203502958698897
Epoch 250, Validation Loss: 8.092274084774287
Epoch 260, Validation Loss: 8.012530149322732
Epoch 270, Validation Loss: 7.958222209288939
Epoch 280, Validation Loss: 7.921610534116413
Epoch 290, Validation Loss: 7.8952974224410575
Epoch 300, Validation Loss: 7.8729882401749745
Epoch 310, Validation Loss: 7.849431892540667
Epoch 320, Validation Loss: 7.82031292168804
Epoch 330, Validation Loss: 7.782447478108922
Epoch 340, Validation Loss: 7.734096900789174
Epoch 350, Validation Loss: 7.674984985703031
Epoch 360, Validation Loss: 7.605795046468109
Epoch 370, Validation Loss: 7.527369445691304
Epoch 380, Validation Loss: 7.441052950903228
Epoch 390, Validation Loss: 7.352040801904427
Epoch 400, Validation Loss: 7.268922245200439
Epoch 410, Validation Loss: 7.196989984287027
Epoch 420, Validation Loss: 7.137129799096123
Epoch 430, Validation Loss: 7.087818734318214
Epoch 440, Validation Loss: 7.046637894666407
Epoch 450, Validation Loss: 7.011157769737667
Epoch 460, Validation Loss: 6.979348974352324
Epoch 470, Validation Loss: 6.94970217391167
Epoch 480, Validation Loss: 6.921197352486239
Epoch 490, Validation Loss: 6.8932090477312045
Epoch 500, Validation Loss: 6.865399434370298
Epoch 510, Validation Loss: 6.837628533664254
Epoch 520, Validation Loss: 6.809896906026938
Epoch 530, Validation Loss: 6.782328745677391
Epoch 540, Validation Loss: 6.755197030470909
Epoch 550, Validation Loss: 6.728980334324601
Epoch 560, Validation Loss: 6.704419048907989
Epoch 570, Validation Loss: 6.6825144431893735
Epoch 580, Validation Loss: 6.664413522585478
Epoch 590, Validation Loss: 6.651175611895991
Epoch 600, Validation Loss: 6.643506707976774
Epoch 610, Validation Loss: 6.641594243110809
Epoch 620, Validation Loss: 6.64511780766881
Epoch 630, Validation Loss: 6.653401012782927
Epoch 640, Validation Loss: 6.665607271143019
Epoch 650, Validation Loss: 6.6808989650784225
Epoch 660, Validation Loss: 6.698530286157503
Epoch 670, Validation Loss: 6.717882145112031
Epoch 680, Validation Loss: 6.738460868622389
Epoch 690, Validation Loss: 6.759880136966278
Epoch 700, Validation Loss: 6.781838617863627
Epoch 710, Validation Loss: 6.804099577042647
Epoch 720, Validation Loss: 6.826474794921314
Epoch 730, Validation Loss: 6.848813046579573
Epoch 740, Validation Loss: 6.870992516662815
Epoch 750, Validation Loss: 6.892916264351271
Epoch 760, Validation Loss: 6.91450987299557
Epoch 770, Validation Loss: 6.935720521530993
Epoch 780, Validation Loss: 6.956516814806117
Epoch 790, Validation Loss: 6.9768887888435245
Epoch 800, Validation Loss: 6.996847581684569
Epoch 810, Validation Loss: 7.016424357466917
Epoch 820, Validation Loss: 7.0356682073583015
Epoch 830, Validation Loss: 7.0546429221655425
Epoch 840, Validation Loss: 7.073422714711687
Epoch 850, Validation Loss: 7.092087133251976
Epoch 860, Validation Loss: 7.110715522667142
Epoch 870, Validation Loss: 7.129381444600214
Epoch 880, Validation Loss: 7.148147463837456
Epoch 890, Validation Loss: 7.167060659709679
Epoch 900, Validation Loss: 7.1861491449009085
Epoch 910, Validation Loss: 7.205419784029509
Epoch 920, Validation Loss: 7.224857210583604
Epoch 930, Validation Loss: 7.244424149900556
Epoch 940, Validation Loss: 7.264062973083017
Epoch 950, Validation Loss: 7.283698336484517
Epoch 960, Validation Loss: 7.303240706777792
Epoch 970, Validation Loss: 7.322590533529843
Epoch 980, Validation Loss: 7.3416428083230985
Epoch 990, Validation Loss: 7.360291739494521
