2024-10-11 02:13:45,412 INFO    Thread-90 :178964 [wandb_setup.py:_flush():79] Current SDK version is 0.18.2
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_setup.py:_flush():79] Configure stats pid to 178964
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_setup.py:_flush():79] Loading settings from /home/mananchichra/.config/wandb/settings
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_setup.py:_flush():79] Loading settings from /home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/settings
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'Q3.3-Tuning', 'entity': 'manan-chichra-iiit-hyderabad', 'root_dir': '/home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3', 'run_id': 'o0gn10ki', 'sweep_param_path': '/home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/sweep-5uhhd4es/config-o0gn10ki.yaml', 'sweep_id': '5uhhd4es'}
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'assignments/3/q3.py', 'program_abspath': '/home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/q3.py', 'program': 'q3.py'}
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_init.py:_log_setup():532] Logging user logs to /home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/run-20241011_021345-o0gn10ki/logs/debug.log
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_init.py:_log_setup():533] Logging internal logs to /home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/run-20241011_021345-o0gn10ki/logs/debug-internal.log
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_init.py:init():616] calling init triggers
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_init.py:init():623] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 32, 'epochs': 500, 'hidden_layers': [256, 128, 64], 'learning_rate': 0.1, 'optimizer': 'sgd'}
config: {}
2024-10-11 02:13:45,413 INFO    Thread-90 :178964 [wandb_init.py:init():666] starting backend
2024-10-11 02:13:45,414 INFO    Thread-90 :178964 [wandb_init.py:init():670] sending inform_init request
2024-10-11 02:13:45,422 INFO    Thread-90 :178964 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-11 02:13:45,423 INFO    Thread-90 :178964 [wandb_init.py:init():683] backend started and connected
2024-10-11 02:13:45,439 INFO    Thread-90 :178964 [wandb_run.py:_config_callback():1393] config_cb None None {'activation': 'tanh', 'batch_size': 32, 'epochs': 500, 'hidden_layers': [256, 128, 64], 'learning_rate': 0.1, 'optimizer': 'sgd'}
2024-10-11 02:13:45,443 INFO    Thread-90 :178964 [wandb_init.py:init():778] updated telemetry
2024-10-11 02:13:45,473 INFO    Thread-90 :178964 [wandb_init.py:init():811] communicating run to backend with 90.0 second timeout
2024-10-11 02:13:45,880 INFO    Thread-90 :178964 [wandb_init.py:init():862] starting run threads in backend
2024-10-11 02:13:46,103 INFO    Thread-90 :178964 [wandb_run.py:_console_start():2464] atexit reg
2024-10-11 02:13:46,103 INFO    Thread-90 :178964 [wandb_run.py:_redirect():2312] redirect: wrap_raw
2024-10-11 02:13:46,103 INFO    Thread-90 :178964 [wandb_run.py:_redirect():2377] Wrapping output streams.
2024-10-11 02:13:46,103 INFO    Thread-90 :178964 [wandb_run.py:_redirect():2402] Redirects installed.
2024-10-11 02:13:46,104 INFO    Thread-90 :178964 [wandb_init.py:init():906] run started, returning control to user process
2024-10-11 02:13:46,976 INFO    Thread-90 :178964 [wandb_run.py:_finish():2163] finishing run manan-chichra-iiit-hyderabad/Q3.3-Tuning/o0gn10ki
2024-10-11 02:13:46,977 INFO    Thread-90 :178964 [wandb_run.py:_atexit_cleanup():2427] got exitcode: 1
2024-10-11 02:13:46,977 INFO    Thread-90 :178964 [wandb_run.py:_restore():2409] restore
2024-10-11 02:13:46,978 INFO    Thread-90 :178964 [wandb_run.py:_restore():2415] restore done
2024-10-11 02:13:53,531 INFO    Thread-90 :178964 [wandb_run.py:_footer_history_summary_info():4042] rendering history
2024-10-11 02:13:53,531 INFO    Thread-90 :178964 [wandb_run.py:_footer_history_summary_info():4074] rendering summary
2024-10-11 02:13:53,540 INFO    Thread-90 :178964 [wandb_run.py:_footer_sync_info():4001] logging synced files
