Epoch 0, Validation Loss: 483.174889360766
Epoch 10, Validation Loss: 25.046224253670328
Epoch 20, Validation Loss: 21.72477959168626
Epoch 30, Validation Loss: 19.750526233398446
Epoch 40, Validation Loss: 18.829484958213854
Epoch 50, Validation Loss: 21.681848330003817
Epoch 60, Validation Loss: 20.26885731751608
Epoch 70, Validation Loss: 17.391368548801665
Epoch 80, Validation Loss: 15.427752022920703
Epoch 90, Validation Loss: 14.338954308852308
Epoch 100, Validation Loss: 13.697759096991888
Epoch 110, Validation Loss: 13.216480974457752
Epoch 120, Validation Loss: 12.756398767301343
Epoch 130, Validation Loss: 12.243585203947356
Epoch 140, Validation Loss: 11.598714456146563
Epoch 150, Validation Loss: 10.853956050699011
Epoch 160, Validation Loss: 10.157644776361549
Epoch 170, Validation Loss: 9.612946521543135
Epoch 180, Validation Loss: 9.235344721044594
Epoch 190, Validation Loss: 8.980747748406907
Epoch 200, Validation Loss: 8.784222349010408
Epoch 210, Validation Loss: 8.595814066819754
Epoch 220, Validation Loss: 8.393053170879613
Epoch 230, Validation Loss: 8.175425982139165
Epoch 240, Validation Loss: 7.951770014408583
Epoch 250, Validation Loss: 7.7331659269347
Epoch 260, Validation Loss: 7.529349363565283
Epoch 270, Validation Loss: 7.345701935079697
Epoch 280, Validation Loss: 7.181703391568425
Epoch 290, Validation Loss: 7.032238188428651
Epoch 300, Validation Loss: 6.891433817546937
Epoch 310, Validation Loss: 6.756641587367522
Epoch 320, Validation Loss: 6.6321394990884315
Epoch 330, Validation Loss: 6.529860390638378
Epoch 340, Validation Loss: 6.459600461220671
Epoch 350, Validation Loss: 6.4192374051169265
Epoch 360, Validation Loss: 6.399316687184983
Epoch 370, Validation Loss: 6.396208426779314
Epoch 380, Validation Loss: 6.408415203359036
Epoch 390, Validation Loss: 6.433043264514406
Epoch 400, Validation Loss: 6.465846281668497
Epoch 410, Validation Loss: 6.502711268937394
Epoch 420, Validation Loss: 6.541123699898001
Epoch 430, Validation Loss: 6.58065214123653
Epoch 440, Validation Loss: 6.6221174687962625
Epoch 450, Validation Loss: 6.666184129612722
Epoch 460, Validation Loss: 6.712599360325156
Epoch 470, Validation Loss: 6.7604008676698895
Epoch 480, Validation Loss: 6.808510352025831
Epoch 490, Validation Loss: 6.856216913272195
Epoch 500, Validation Loss: 6.903405542918679
Epoch 510, Validation Loss: 6.95055049411285
Epoch 520, Validation Loss: 6.9985567882200534
Epoch 530, Validation Loss: 7.048545224078985
Epoch 540, Validation Loss: 7.101650425333564
Epoch 550, Validation Loss: 7.1588642795379265
Epoch 560, Validation Loss: 7.220927747986132
Epoch 570, Validation Loss: 7.288259820151673
Epoch 580, Validation Loss: 7.360913147250596
Epoch 590, Validation Loss: 7.438554943903584
Epoch 600, Validation Loss: 7.520478502728742
Epoch 610, Validation Loss: 7.60564720285092
Epoch 620, Validation Loss: 7.692759997848435
Epoch 630, Validation Loss: 7.780314696026666
Epoch 640, Validation Loss: 7.86664591093987
Epoch 650, Validation Loss: 7.949935909247367
Epoch 660, Validation Loss: 8.028230180713797
Epoch 670, Validation Loss: 8.099507974459977
Epoch 680, Validation Loss: 8.161835390020272
Epoch 690, Validation Loss: 8.213572849036094
Epoch 700, Validation Loss: 8.253563702257258
Epoch 710, Validation Loss: 8.28123492884793
Epoch 720, Validation Loss: 8.29658828207919
Epoch 730, Validation Loss: 8.300109529875886
Epoch 740, Validation Loss: 8.292643015184705
Epoch 750, Validation Loss: 8.275269797134628
Epoch 760, Validation Loss: 8.24920835447776
Epoch 770, Validation Loss: 8.215741067197209
Epoch 780, Validation Loss: 8.176161442259101
Epoch 790, Validation Loss: 8.131734909483582
Epoch 800, Validation Loss: 8.083667425814332
Epoch 810, Validation Loss: 8.03307893855711
Epoch 820, Validation Loss: 7.9809814289343395
Epoch 830, Validation Loss: 7.928262868488133
Epoch 840, Validation Loss: 7.875678689979741
Epoch 850, Validation Loss: 7.823851545473224
Epoch 860, Validation Loss: 7.773278747501328
Epoch 870, Validation Loss: 7.724345479444449
Epoch 880, Validation Loss: 7.6773410881569255
Epoch 890, Validation Loss: 7.632475725779166
Epoch 900, Validation Loss: 7.589895189877389
Epoch 910, Validation Loss: 7.549692741621571
Epoch 920, Validation Loss: 7.511917648018347
Epoch 930, Validation Loss: 7.476580959799749
Epoch 940, Validation Loss: 7.443659482387941
Epoch 950, Validation Loss: 7.4130990126808145
Epoch 960, Validation Loss: 7.38481776427826
Epoch 970, Validation Loss: 7.358710590223018
Epoch 980, Validation Loss: 7.334654239017278
Epoch 990, Validation Loss: 7.312513527686994
