Epoch 0, Validation Loss: 534.5274789745603
Epoch 10, Validation Loss: 478.5095828653137
Epoch 20, Validation Loss: 425.27317898533556
Epoch 30, Validation Loss: 345.7261572879044
Epoch 40, Validation Loss: 142.87329983541875
Epoch 50, Validation Loss: 27.666434921639603
Epoch 60, Validation Loss: 10.04526804018579
Epoch 70, Validation Loss: 7.9639800147712245
Epoch 80, Validation Loss: 7.5012430281711335
Epoch 90, Validation Loss: 7.352851420017659
Epoch 100, Validation Loss: 7.188161037850267
Epoch 110, Validation Loss: 7.022223555097139
Epoch 120, Validation Loss: 6.875613294820338
Epoch 130, Validation Loss: 6.733414917982882
Epoch 140, Validation Loss: 6.603866219969262
Epoch 150, Validation Loss: 6.534312503958972
Epoch 160, Validation Loss: 6.497145538190541
Epoch 170, Validation Loss: 6.489572620452102
Epoch 180, Validation Loss: 6.49561016355584
Epoch 190, Validation Loss: 6.514365903513561
Epoch 200, Validation Loss: 6.5397150981501255
Epoch 210, Validation Loss: 6.56136549554664
Epoch 220, Validation Loss: 6.572899109139333
Epoch 230, Validation Loss: 6.560113992404021
Epoch 240, Validation Loss: 6.528507039718386
Epoch 250, Validation Loss: 6.447157248280043
Epoch 260, Validation Loss: 6.346534849205983
Epoch 270, Validation Loss: 6.2458930042585905
Epoch 280, Validation Loss: 6.128191010408014
Epoch 290, Validation Loss: 6.0337553547665195
Epoch 300, Validation Loss: 5.973901936227374
Epoch 310, Validation Loss: 5.933483396068986
Epoch 320, Validation Loss: 5.912696954255469
Epoch 330, Validation Loss: 5.904072285557077
Epoch 340, Validation Loss: 5.89058148872584
Epoch 350, Validation Loss: 5.888615785887761
Epoch 360, Validation Loss: 5.88342135804498
Epoch 370, Validation Loss: 5.8886119508303265
Epoch 380, Validation Loss: 5.890201821086289
Epoch 390, Validation Loss: 5.900594284724349
Epoch 400, Validation Loss: 5.913131894427345
Epoch 410, Validation Loss: 5.920952673988023
Epoch 420, Validation Loss: 5.933544055531364
Epoch 430, Validation Loss: 5.947321496612994
Epoch 440, Validation Loss: 5.961073266955154
Epoch 450, Validation Loss: 5.959109857909141
Epoch 460, Validation Loss: 5.959919618978822
Epoch 470, Validation Loss: 5.960535236823599
Epoch 480, Validation Loss: 5.96863367643283
Epoch 490, Validation Loss: 5.975857559050042
