Epoch 0, Validation Loss: 69.79883274517901
Epoch 10, Validation Loss: 70.15765234806145
Epoch 20, Validation Loss: 69.94673340836316
Epoch 30, Validation Loss: 69.52727224484892
Epoch 40, Validation Loss: 68.78185600366862
Epoch 50, Validation Loss: 67.57596024051088
Epoch 60, Validation Loss: 65.55703246690604
Epoch 70, Validation Loss: 61.42232327452913
Epoch 80, Validation Loss: 51.578494076169605
Epoch 90, Validation Loss: 36.22068928521587
Epoch 100, Validation Loss: 19.924769325665316
Epoch 110, Validation Loss: 12.138330488281767
Epoch 120, Validation Loss: 10.0498402157641
Epoch 130, Validation Loss: 9.317833688329893
Epoch 140, Validation Loss: 9.167340164602713
Epoch 150, Validation Loss: 9.229970982781111
Epoch 160, Validation Loss: 9.347236378638478
Epoch 170, Validation Loss: 9.455865004069864
Epoch 180, Validation Loss: 9.53404315044357
Epoch 190, Validation Loss: 9.579566158911152
Epoch 200, Validation Loss: 9.598043382664493
Epoch 210, Validation Loss: 9.596324499767164
Epoch 220, Validation Loss: 9.580214644140655
Epoch 230, Validation Loss: 9.554062965027756
Epoch 240, Validation Loss: 9.520824812454608
Epoch 250, Validation Loss: 9.4822696349458
Epoch 260, Validation Loss: 9.439254718829718
Epoch 270, Validation Loss: 9.39206930917618
Epoch 280, Validation Loss: 9.340939113847318
Epoch 290, Validation Loss: 9.286747489580037
Epoch 300, Validation Loss: 9.231730412740186
Epoch 310, Validation Loss: 9.179636131076228
Epoch 320, Validation Loss: 9.135228556228226
Epoch 330, Validation Loss: 9.103519501502287
Epoch 340, Validation Loss: 9.08900078647005
Epoch 350, Validation Loss: 9.095060911324461
Epoch 360, Validation Loss: 9.123712858613132
Epoch 370, Validation Loss: 9.175506288149608
Epoch 380, Validation Loss: 9.249484257239361
Epoch 390, Validation Loss: 9.343216512034534
Epoch 400, Validation Loss: 9.453011950050588
Epoch 410, Validation Loss: 9.57434177087498
Epoch 420, Validation Loss: 9.702391028687678
Epoch 430, Validation Loss: 9.832606519640395
Epoch 440, Validation Loss: 9.961129417338414
Epoch 450, Validation Loss: 10.085044929232245
Epoch 460, Validation Loss: 10.202428414042359
Epoch 470, Validation Loss: 10.312216516061902
Epoch 480, Validation Loss: 10.413972456188828
Epoch 490, Validation Loss: 10.507629981176484
Epoch 500, Validation Loss: 10.59328541931628
Epoch 510, Validation Loss: 10.67107339352565
Epoch 520, Validation Loss: 10.741126127173729
Epoch 530, Validation Loss: 10.80359033297608
Epoch 540, Validation Loss: 10.858664365540312
Epoch 550, Validation Loss: 10.90662258253658
Epoch 560, Validation Loss: 10.94780903999792
Epoch 570, Validation Loss: 10.982599349202157
Epoch 580, Validation Loss: 11.01133983786128
Epoch 590, Validation Loss: 11.034274317593248
Epoch 600, Validation Loss: 11.051461016704906
Epoch 610, Validation Loss: 11.062666891035098
Epoch 620, Validation Loss: 11.067213598872955
Epoch 630, Validation Loss: 11.063820734872028
Epoch 640, Validation Loss: 11.051237907532315
Epoch 650, Validation Loss: 11.035434058585421
Epoch 660, Validation Loss: 11.068742059703498
Epoch 670, Validation Loss: 11.346053633299668
Epoch 680, Validation Loss: 12.126783183477583
Epoch 690, Validation Loss: 12.261247411390022
Epoch 700, Validation Loss: 11.609596274298802
Epoch 710, Validation Loss: 11.551462257654148
Epoch 720, Validation Loss: 11.79021502453956
Epoch 730, Validation Loss: 11.560259163934097
Epoch 740, Validation Loss: 10.878821576700082
Epoch 750, Validation Loss: 9.885490676884174
Epoch 760, Validation Loss: 9.576499054032734
Epoch 770, Validation Loss: 11.160309874486472
Epoch 780, Validation Loss: 12.748230629641006
Epoch 790, Validation Loss: 10.3816585483244
Epoch 800, Validation Loss: 9.463133383420901
Epoch 810, Validation Loss: 10.111153858657866
Epoch 820, Validation Loss: 9.89487946593913
Epoch 830, Validation Loss: 9.583419742212683
Epoch 840, Validation Loss: 9.870169546106576
Epoch 850, Validation Loss: 9.755655525741956
Epoch 860, Validation Loss: 9.608269686415893
Epoch 870, Validation Loss: 9.751476039595415
Epoch 880, Validation Loss: 9.624099789510767
Epoch 890, Validation Loss: 9.599191139226688
Epoch 900, Validation Loss: 9.59848155396306
Epoch 910, Validation Loss: 9.533684942444362
Epoch 920, Validation Loss: 9.511192106982724
Epoch 930, Validation Loss: 9.467435318330171
Epoch 940, Validation Loss: 9.425032177721283
Epoch 950, Validation Loss: 9.379443766737612
Epoch 960, Validation Loss: 9.329278321185102
Epoch 970, Validation Loss: 9.274924004784003
Epoch 980, Validation Loss: 9.215401912550178
Epoch 990, Validation Loss: 9.150211180687236
