Epoch 0, Validation Loss: 534.5201639173383
Epoch 10, Validation Loss: 478.2921113841113
Epoch 20, Validation Loss: 422.84303395110317
Epoch 30, Validation Loss: 325.792578370793
Epoch 40, Validation Loss: 85.33674909397955
Epoch 50, Validation Loss: 17.679106106084383
Epoch 60, Validation Loss: 8.889030619026862
Epoch 70, Validation Loss: 7.6481958133025
Epoch 80, Validation Loss: 7.365154175153012
Epoch 90, Validation Loss: 7.231021352131622
Epoch 100, Validation Loss: 7.10011194821593
Epoch 110, Validation Loss: 6.939050748634906
Epoch 120, Validation Loss: 6.815584058956242
Epoch 130, Validation Loss: 6.708425266013421
Epoch 140, Validation Loss: 6.629858419619903
Epoch 150, Validation Loss: 6.579510157578713
Epoch 160, Validation Loss: 6.555003323730785
Epoch 170, Validation Loss: 6.548856734738092
Epoch 180, Validation Loss: 6.549045813382714
Epoch 190, Validation Loss: 6.5527430215964095
Epoch 200, Validation Loss: 6.5728063638670795
Epoch 210, Validation Loss: 6.573234425176616
Epoch 220, Validation Loss: 6.5392498098372505
Epoch 230, Validation Loss: 6.4931619856542975
Epoch 240, Validation Loss: 6.4430209038471595
Epoch 250, Validation Loss: 6.398350297228985
Epoch 260, Validation Loss: 6.346906031473675
Epoch 270, Validation Loss: 6.317920014718163
Epoch 280, Validation Loss: 6.301361751996791
Epoch 290, Validation Loss: 6.229091401934018
Epoch 300, Validation Loss: 6.181969177017794
Epoch 310, Validation Loss: 6.163233661974063
Epoch 320, Validation Loss: 6.147985834526879
Epoch 330, Validation Loss: 6.142244228595428
Epoch 340, Validation Loss: 6.129602513223021
Epoch 350, Validation Loss: 6.107979223146836
Epoch 360, Validation Loss: 6.062390357196772
Epoch 370, Validation Loss: 6.010486125716807
Epoch 380, Validation Loss: 5.953434213190067
Epoch 390, Validation Loss: 5.93328866942005
Epoch 400, Validation Loss: 5.9288858385478145
Epoch 410, Validation Loss: 5.918603275710032
Epoch 420, Validation Loss: 5.916257234873375
Epoch 430, Validation Loss: 5.916447659759768
Epoch 440, Validation Loss: 5.943106161987086
Epoch 450, Validation Loss: 5.968417676846564
Epoch 460, Validation Loss: 5.995198828871124
Epoch 470, Validation Loss: 6.021019428171101
Epoch 480, Validation Loss: 6.028983985244636
Epoch 490, Validation Loss: 6.028860302019504
