Epoch 0, Validation Loss: 440.588208169685
Epoch 10, Validation Loss: 66.33009564666504
Epoch 20, Validation Loss: 61.74325498311981
Epoch 30, Validation Loss: 57.74646259981455
Epoch 40, Validation Loss: 54.474533816698006
Epoch 50, Validation Loss: 51.84866571658829
Epoch 60, Validation Loss: 49.719816559409196
Epoch 70, Validation Loss: 47.956060326947465
Epoch 80, Validation Loss: 46.45753176586608
Epoch 90, Validation Loss: 45.15246821808105
Epoch 100, Validation Loss: 43.98973308832551
Epoch 110, Validation Loss: 42.93251849068216
Epoch 120, Validation Loss: 41.95387610103633
Epoch 130, Validation Loss: 41.033705199025825
Epoch 140, Validation Loss: 40.15674357317344
Epoch 150, Validation Loss: 39.31121942317906
Epoch 160, Validation Loss: 38.48793575628767
Epoch 170, Validation Loss: 37.67963972955611
Epoch 180, Validation Loss: 36.88058218790197
Epoch 190, Validation Loss: 36.08620633130501
Epoch 200, Validation Loss: 35.29292606060333
Epoch 210, Validation Loss: 34.49796867971647
Epoch 220, Validation Loss: 33.699266040232274
Epoch 230, Validation Loss: 32.89538447681057
Epoch 240, Validation Loss: 32.085487805135415
Epoch 250, Validation Loss: 31.26932955405607
Epoch 260, Validation Loss: 30.447270510832073
Epoch 270, Validation Loss: 29.62031551909095
Epoch 280, Validation Loss: 28.790159395013838
Epoch 290, Validation Loss: 27.959226415795055
Epoch 300, Validation Loss: 27.130682493334508
Epoch 310, Validation Loss: 26.30839622163267
Epoch 320, Validation Loss: 25.49682737338239
Epoch 330, Validation Loss: 24.700831404596606
Epoch 340, Validation Loss: 23.9253860483518
Epoch 350, Validation Loss: 23.17526737673128
Epoch 360, Validation Loss: 22.454720706760956
Epoch 370, Validation Loss: 21.767178865818995
Epoch 380, Validation Loss: 21.115072667373205
Epoch 390, Validation Loss: 20.499758225844772
Epoch 400, Validation Loss: 19.921560381977304
Epoch 410, Validation Loss: 19.37990962381494
Epoch 420, Validation Loss: 18.873537194602548
Epoch 430, Validation Loss: 18.400690772273435
Epoch 440, Validation Loss: 17.9593388569424
Epoch 450, Validation Loss: 17.547342077477673
Epoch 460, Validation Loss: 17.16258059140188
Epoch 470, Validation Loss: 16.803036242233294
Epoch 480, Validation Loss: 16.46683494166095
Epoch 490, Validation Loss: 16.152258571627122
Epoch 500, Validation Loss: 15.857736893795492
Epoch 510, Validation Loss: 15.581829192011684
Epoch 520, Validation Loss: 15.323203424114428
Epoch 530, Validation Loss: 15.080618184757746
Epoch 540, Validation Loss: 14.852910240429352
Epoch 550, Validation Loss: 14.638988059447138
Epoch 560, Validation Loss: 14.437829802283623
Epoch 570, Validation Loss: 14.248482883993143
Epoch 580, Validation Loss: 14.070061785563443
Epoch 590, Validation Loss: 13.901741539851715
Epoch 600, Validation Loss: 13.74274617887014
Epoch 610, Validation Loss: 13.592333804179143
Epoch 620, Validation Loss: 13.449781854156154
Epoch 630, Validation Loss: 13.314376696606406
Epoch 640, Validation Loss: 13.18541055374142
Epoch 650, Validation Loss: 13.06218644407665
Epoch 660, Validation Loss: 12.94402935087295
Epoch 670, Validation Loss: 12.830300247628355
Epoch 680, Validation Loss: 12.720409413302331
Epoch 690, Validation Loss: 12.613826416938096
Epoch 700, Validation Loss: 12.510085582549797
Epoch 710, Validation Loss: 12.408787025677551
Epoch 720, Validation Loss: 12.309594147946791
Epoch 730, Validation Loss: 12.212228761636924
Epoch 740, Validation Loss: 12.116464943771625
Epoch 750, Validation Loss: 12.022122472873065
Epoch 760, Validation Loss: 11.929060420018995
Epoch 770, Validation Loss: 11.837171224308518
Epoch 780, Validation Loss: 11.746375406644981
Epoch 790, Validation Loss: 11.656616961957793
Epoch 800, Validation Loss: 11.567859404408651
Epoch 810, Validation Loss: 11.480082407189082
Epoch 820, Validation Loss: 11.393278965543082
Epoch 830, Validation Loss: 11.307453009827604
Epoch 840, Validation Loss: 11.222617399263774
Epoch 850, Validation Loss: 11.138792233406786
Epoch 860, Validation Loss: 11.056003425624834
Epoch 870, Validation Loss: 10.974281490215708
Epoch 880, Validation Loss: 10.89366050182567
Epoch 890, Validation Loss: 10.814177192396802
Epoch 900, Validation Loss: 10.73587015688424
Epoch 910, Validation Loss: 10.658779144429294
Epoch 920, Validation Loss: 10.582944416553769
Epoch 930, Validation Loss: 10.508406158273743
Epoch 940, Validation Loss: 10.435203931846662
Epoch 950, Validation Loss: 10.363376166188203
Epoch 960, Validation Loss: 10.292959677846012
Epoch 970, Validation Loss: 10.223989221806358
Epoch 980, Validation Loss: 10.156497072344445
Epoch 990, Validation Loss: 10.09051263561306
