Epoch 0, Validation Loss: 434.22070698155613
Epoch 10, Validation Loss: 13.033801193661796
Epoch 20, Validation Loss: 8.725634089487158
Epoch 30, Validation Loss: 7.550605591922986
Epoch 40, Validation Loss: 7.925985612164134
Epoch 50, Validation Loss: 8.25588899700026
Epoch 60, Validation Loss: 6.874062956786136
Epoch 70, Validation Loss: 7.1280353846830335
Epoch 80, Validation Loss: 6.676072084023963
Epoch 90, Validation Loss: 7.058725309168833
Epoch 100, Validation Loss: 7.076055689740611
Epoch 110, Validation Loss: 7.166770610880685
Epoch 120, Validation Loss: 7.086118168058109
Epoch 130, Validation Loss: 6.839737761195975
Epoch 140, Validation Loss: 6.601888158993573
Epoch 150, Validation Loss: 6.504770548636551
Epoch 160, Validation Loss: 6.4077966378266815
Epoch 170, Validation Loss: 6.254525667005902
Epoch 180, Validation Loss: 6.054404454990005
Epoch 190, Validation Loss: 5.973584259006615
Epoch 200, Validation Loss: 5.929849461294675
Epoch 210, Validation Loss: 5.85555037270031
Epoch 220, Validation Loss: 5.879797637038023
Epoch 230, Validation Loss: 5.8940506468131115
Epoch 240, Validation Loss: 5.856976723839886
Epoch 250, Validation Loss: 5.888799755026514
Epoch 260, Validation Loss: 5.988100386570958
Epoch 270, Validation Loss: 6.019380543221519
Epoch 280, Validation Loss: 5.985076010624173
Epoch 290, Validation Loss: 5.91431527283826
Epoch 300, Validation Loss: 5.836066120144465
Epoch 310, Validation Loss: 5.891144220205885
Epoch 320, Validation Loss: 6.093841856773899
Epoch 330, Validation Loss: 6.103313945572535
Epoch 340, Validation Loss: 6.093440300183784
Epoch 350, Validation Loss: 6.102385538380633
Epoch 360, Validation Loss: 5.994396558638977
Epoch 370, Validation Loss: 5.983999022772496
Epoch 380, Validation Loss: 6.0330037625490185
Epoch 390, Validation Loss: 6.097028478935188
Epoch 400, Validation Loss: 6.059331835063884
Epoch 410, Validation Loss: 6.015988668794665
Epoch 420, Validation Loss: 5.7000862673334565
Epoch 430, Validation Loss: 5.852518867813167
Epoch 440, Validation Loss: 6.043900345913563
Epoch 450, Validation Loss: 5.971057255616526
Epoch 460, Validation Loss: 6.269912611890213
Epoch 470, Validation Loss: 6.625454369952547
Epoch 480, Validation Loss: 6.43414430115026
Epoch 490, Validation Loss: 6.721982977935646
Epoch 500, Validation Loss: 6.959995566456015
Epoch 510, Validation Loss: 6.468379160069276
Epoch 520, Validation Loss: 6.585942166570217
Epoch 530, Validation Loss: 6.433713933493274
Epoch 540, Validation Loss: 6.712980738388152
Epoch 550, Validation Loss: 6.356322157746264
Epoch 560, Validation Loss: 6.51964082951184
Epoch 570, Validation Loss: 6.827684274165262
Epoch 580, Validation Loss: 7.545152039988051
Epoch 590, Validation Loss: 6.346866698918523
Epoch 600, Validation Loss: 6.156614171142526
Epoch 610, Validation Loss: 6.275943371135979
Epoch 620, Validation Loss: 6.822796938760545
Epoch 630, Validation Loss: 7.151433993125398
Epoch 640, Validation Loss: 6.674327055420572
Epoch 650, Validation Loss: 6.0878681412000155
Epoch 660, Validation Loss: 6.581311714383366
Epoch 670, Validation Loss: 6.888078651362527
Epoch 680, Validation Loss: 6.1558689359012355
Epoch 690, Validation Loss: 6.392907679509923
Epoch 700, Validation Loss: 6.220065161495637
Epoch 710, Validation Loss: 6.005236072252798
Epoch 720, Validation Loss: 6.951658351363818
Epoch 730, Validation Loss: 6.431738455554213
Epoch 740, Validation Loss: 6.018611881746857
Epoch 750, Validation Loss: 5.824552910784225
Epoch 760, Validation Loss: 5.700488592566283
Epoch 770, Validation Loss: 5.720171563130978
Epoch 780, Validation Loss: 5.8295780877627354
Epoch 790, Validation Loss: 6.0202663811515755
Epoch 800, Validation Loss: 5.730942436668583
Epoch 810, Validation Loss: 6.421678448484548
Epoch 820, Validation Loss: 6.041749682436413
Epoch 830, Validation Loss: 5.741408999125983
Epoch 840, Validation Loss: 6.397767647063114
Epoch 850, Validation Loss: 5.9422713308546085
Epoch 860, Validation Loss: 5.940876677997282
Epoch 870, Validation Loss: 5.968152303265027
Epoch 880, Validation Loss: 7.097060456031668
Epoch 890, Validation Loss: 5.864132904995272
Epoch 900, Validation Loss: 6.797371954152362
Epoch 910, Validation Loss: 6.264191137451629
Epoch 920, Validation Loss: 5.755755016049519
Epoch 930, Validation Loss: 6.72519468217605
Epoch 940, Validation Loss: 6.194421138261552
Epoch 950, Validation Loss: 6.289972046236169
Epoch 960, Validation Loss: 6.952334230192898
Epoch 970, Validation Loss: 7.529782072252087
Epoch 980, Validation Loss: 7.3325961142382114
Epoch 990, Validation Loss: 7.045461133626499
