Epoch 0, Validation Loss: 534.5293327872226
Epoch 10, Validation Loss: 478.5379248006681
Epoch 20, Validation Loss: 425.476914229662
Epoch 30, Validation Loss: 344.0063707035392
Epoch 40, Validation Loss: 28.90554552699014
Epoch 50, Validation Loss: 11.371650173402827
Epoch 60, Validation Loss: 9.775311696611215
Epoch 70, Validation Loss: 8.999259695714903
Epoch 80, Validation Loss: 8.67884882539364
Epoch 90, Validation Loss: 8.565491752730798
Epoch 100, Validation Loss: 8.429912814267439
Epoch 110, Validation Loss: 8.261172753345468
Epoch 120, Validation Loss: 8.103945453261906
Epoch 130, Validation Loss: 7.961335100302534
Epoch 140, Validation Loss: 7.855784424423678
Epoch 150, Validation Loss: 7.737352005226234
Epoch 160, Validation Loss: 7.656462976235188
Epoch 170, Validation Loss: 7.589191570551709
Epoch 180, Validation Loss: 7.5511397948097505
Epoch 190, Validation Loss: 7.564742205790627
Epoch 200, Validation Loss: 7.5841564092139935
Epoch 210, Validation Loss: 7.631947460683612
Epoch 220, Validation Loss: 7.638819936088004
Epoch 230, Validation Loss: 7.653100603396773
Epoch 240, Validation Loss: 7.643380449265291
Epoch 250, Validation Loss: 7.603403159098161
Epoch 260, Validation Loss: 7.577169441165687
Epoch 270, Validation Loss: 7.556543214011854
Epoch 280, Validation Loss: 7.497765137342784
Epoch 290, Validation Loss: 7.433871479651217
Epoch 300, Validation Loss: 7.366078809864282
Epoch 310, Validation Loss: 7.3244616519119345
Epoch 320, Validation Loss: 7.286066926051231
Epoch 330, Validation Loss: 7.266261060838708
Epoch 340, Validation Loss: 7.239017843989223
Epoch 350, Validation Loss: 7.206328662147526
Epoch 360, Validation Loss: 7.188691058198607
Epoch 370, Validation Loss: 7.165197970732547
Epoch 380, Validation Loss: 7.130652576883484
Epoch 390, Validation Loss: 7.10150908557069
Epoch 400, Validation Loss: 7.076493556592386
Epoch 410, Validation Loss: 7.045265287313083
Epoch 420, Validation Loss: 7.015336250698654
Epoch 430, Validation Loss: 6.979719829016364
Epoch 440, Validation Loss: 6.944686520340102
Epoch 450, Validation Loss: 6.906232063180478
Epoch 460, Validation Loss: 6.874036843471032
Epoch 470, Validation Loss: 6.839139736033767
Epoch 480, Validation Loss: 6.824024416083922
Epoch 490, Validation Loss: 6.813259756079151
