Epoch 0, Validation Loss: 483.73124227021407
Epoch 10, Validation Loss: 16.649566141143744
Epoch 20, Validation Loss: 13.779561442553458
Epoch 30, Validation Loss: 12.054910972405542
Epoch 40, Validation Loss: 9.779192297945983
Epoch 50, Validation Loss: 7.790349368930219
Epoch 60, Validation Loss: 6.908793453442998
Epoch 70, Validation Loss: 7.470756214553654
Epoch 80, Validation Loss: 7.2603266656518795
Epoch 90, Validation Loss: 6.7260760134460575
Epoch 100, Validation Loss: 7.4327034699418775
Epoch 110, Validation Loss: 6.1399016365237875
Epoch 120, Validation Loss: 8.10832688951605
Epoch 130, Validation Loss: 6.507801655455404
Epoch 140, Validation Loss: 7.684224279700352
Epoch 150, Validation Loss: 6.012862246716403
Epoch 160, Validation Loss: 6.0774959830992685
Epoch 170, Validation Loss: 5.997598324756106
Epoch 180, Validation Loss: 6.188889833992173
Epoch 190, Validation Loss: 6.0097864422813645
Epoch 200, Validation Loss: 7.433340255474025
Epoch 210, Validation Loss: 6.172341152864882
Epoch 220, Validation Loss: 9.328089631866739
Epoch 230, Validation Loss: 6.398595148103215
Epoch 240, Validation Loss: 7.752524511243684
Epoch 250, Validation Loss: 6.021622697429514
Epoch 260, Validation Loss: 5.908695510739139
Epoch 270, Validation Loss: 7.828228749619946
Epoch 280, Validation Loss: 6.167623000689832
Epoch 290, Validation Loss: 7.994986724869696
Epoch 300, Validation Loss: 5.993265147739143
Epoch 310, Validation Loss: 5.746793362306995
Epoch 320, Validation Loss: 7.887914526608859
Epoch 330, Validation Loss: 6.212179732476697
Epoch 340, Validation Loss: 7.005397531073929
Epoch 350, Validation Loss: 6.013048002999802
Epoch 360, Validation Loss: 5.846458845152431
Epoch 370, Validation Loss: 8.371670633393203
Epoch 380, Validation Loss: 5.924103668677738
Epoch 390, Validation Loss: 5.696216753920061
Epoch 400, Validation Loss: 8.32092993426571
Epoch 410, Validation Loss: 6.100327818112144
Epoch 420, Validation Loss: 5.786727350590455
Epoch 430, Validation Loss: 8.704985529061593
Epoch 440, Validation Loss: 6.018788766575172
Epoch 450, Validation Loss: 5.771227150800565
Epoch 460, Validation Loss: 8.920800344519924
Epoch 470, Validation Loss: 5.910170401789742
Epoch 480, Validation Loss: 5.741319131594721
Epoch 490, Validation Loss: 9.073599349916718
Epoch 500, Validation Loss: 5.906554103928805
Epoch 510, Validation Loss: 5.7217916864381575
Epoch 520, Validation Loss: 8.822760244992017
Epoch 530, Validation Loss: 5.8274697185373245
Epoch 540, Validation Loss: 5.907437605165963
Epoch 550, Validation Loss: 7.616253733515532
Epoch 560, Validation Loss: 7.142001324527628
Epoch 570, Validation Loss: 6.100968428521943
Epoch 580, Validation Loss: 5.776894388126846
Epoch 590, Validation Loss: 8.78716716698041
Epoch 600, Validation Loss: 5.971786755240132
Epoch 610, Validation Loss: 5.939525658127592
Epoch 620, Validation Loss: 7.447109012270112
Epoch 630, Validation Loss: 7.281578687018526
Epoch 640, Validation Loss: 6.047715616431147
Epoch 650, Validation Loss: 6.008766825172439
Epoch 660, Validation Loss: 8.793525659994732
Epoch 670, Validation Loss: 6.4017923684041165
Epoch 680, Validation Loss: 6.060442403475711
Epoch 690, Validation Loss: 6.669974321190561
Epoch 700, Validation Loss: 8.846687407747183
Epoch 710, Validation Loss: 6.159413259602928
Epoch 720, Validation Loss: 6.070361582015532
Epoch 730, Validation Loss: 6.662807789631025
Epoch 740, Validation Loss: 8.922138072482516
Epoch 750, Validation Loss: 6.394236873889854
Epoch 760, Validation Loss: 6.197124810193762
Epoch 770, Validation Loss: 6.1246541798500305
Epoch 780, Validation Loss: 8.266576432875727
Epoch 790, Validation Loss: 7.912843510203811
Epoch 800, Validation Loss: 6.215816130207137
Epoch 810, Validation Loss: 6.118839796760862
Epoch 820, Validation Loss: 6.463200168969334
Epoch 830, Validation Loss: 8.472083156830326
Epoch 840, Validation Loss: 8.144120254859228
Epoch 850, Validation Loss: 6.460347866256126
Epoch 860, Validation Loss: 6.176383916096646
Epoch 870, Validation Loss: 6.0794033349163605
Epoch 880, Validation Loss: 6.86619598330225
Epoch 890, Validation Loss: 8.255006310527264
Epoch 900, Validation Loss: 8.498479462534336
Epoch 910, Validation Loss: 7.124665892658156
Epoch 920, Validation Loss: 6.276249029905825
Epoch 930, Validation Loss: 6.1946146052263416
Epoch 940, Validation Loss: 6.129928957671336
Epoch 950, Validation Loss: 6.541447025521094
Epoch 960, Validation Loss: 7.778310108082383
Epoch 970, Validation Loss: 8.533696525775182
Epoch 980, Validation Loss: 8.084969581743891
Epoch 990, Validation Loss: 7.222999784632329
