Epoch 0, Validation Loss: 528.8538011128394
Epoch 10, Validation Loss: 414.98452667629635
Epoch 20, Validation Loss: 55.67382573195675
Epoch 30, Validation Loss: 32.67392076132413
Epoch 40, Validation Loss: 28.389556406375576
Epoch 50, Validation Loss: 25.633145295662594
Epoch 60, Validation Loss: 23.893632719647762
Epoch 70, Validation Loss: 22.734645037034053
Epoch 80, Validation Loss: 21.8928888839667
Epoch 90, Validation Loss: 21.23386228013848
Epoch 100, Validation Loss: 20.68620995565129
Epoch 110, Validation Loss: 20.207544274666738
Epoch 120, Validation Loss: 19.769543757509094
Epoch 130, Validation Loss: 19.35121689461805
Epoch 140, Validation Loss: 18.935663518341833
Epoch 150, Validation Loss: 18.508426573800836
Epoch 160, Validation Loss: 18.05650399014738
Epoch 170, Validation Loss: 17.567564842438646
Epoch 180, Validation Loss: 17.029563292483342
Epoch 190, Validation Loss: 16.431980558088764
Epoch 200, Validation Loss: 15.769911796629643
Epoch 210, Validation Loss: 15.04891287759093
Epoch 220, Validation Loss: 14.28582002902429
Epoch 230, Validation Loss: 13.50503212854371
Epoch 240, Validation Loss: 12.734626515919215
Epoch 250, Validation Loss: 12.004158661259996
Epoch 260, Validation Loss: 11.340750914787487
Epoch 270, Validation Loss: 10.760926731410605
Epoch 280, Validation Loss: 10.264134120846409
Epoch 290, Validation Loss: 9.835483901697325
Epoch 300, Validation Loss: 9.455478185587666
Epoch 310, Validation Loss: 9.109509526654485
Epoch 320, Validation Loss: 8.791967109039074
Epoch 330, Validation Loss: 8.502897622024424
Epoch 340, Validation Loss: 8.245858339547661
Epoch 350, Validation Loss: 8.03074390993353
Epoch 360, Validation Loss: 7.8613379425374825
Epoch 370, Validation Loss: 7.728293850190327
Epoch 380, Validation Loss: 7.622104559775138
Epoch 390, Validation Loss: 7.538796738115385
Epoch 400, Validation Loss: 7.4774172231083575
Epoch 410, Validation Loss: 7.437451877609297
Epoch 420, Validation Loss: 7.417781380914973
Epoch 430, Validation Loss: 7.416540397985583
Epoch 440, Validation Loss: 7.431329216413749
Epoch 450, Validation Loss: 7.459499886841256
Epoch 460, Validation Loss: 7.498400543659977
Epoch 470, Validation Loss: 7.545545883411025
Epoch 480, Validation Loss: 7.598717031891889
Epoch 490, Validation Loss: 7.656002237930828
