Epoch 0, Validation Loss: 120.71301769635288
Epoch 10, Validation Loss: 69.46325238427012
Epoch 20, Validation Loss: 69.46325066441646
Epoch 30, Validation Loss: 69.46323417288914
Epoch 40, Validation Loss: 69.46321763088
Epoch 50, Validation Loss: 69.46320101874899
Epoch 60, Validation Loss: 69.46318431671182
Epoch 70, Validation Loss: 69.46316750480304
Epoch 80, Validation Loss: 69.46315056279123
Epoch 90, Validation Loss: 69.46313347009233
Epoch 100, Validation Loss: 69.46311620568083
Epoch 110, Validation Loss: 69.4630987479979
Epoch 120, Validation Loss: 69.46308107485522
Epoch 130, Validation Loss: 69.46306316333444
Epoch 140, Validation Loss: 69.46304498968037
Epoch 150, Validation Loss: 69.46302652918733
Epoch 160, Validation Loss: 69.46300775607743
Epoch 170, Validation Loss: 69.46298864336943
Epoch 180, Validation Loss: 69.46296916273668
Epoch 190, Validation Loss: 69.4629492843527
Epoch 200, Validation Loss: 69.46292897672213
Epoch 210, Validation Loss: 69.4629082064957
Epoch 220, Validation Loss: 69.46288693826587
Epoch 230, Validation Loss: 69.46286513434151
Epoch 240, Validation Loss: 69.46284275449727
Epoch 250, Validation Loss: 69.4628197556951
Epoch 260, Validation Loss: 69.46279609177303
Epoch 270, Validation Loss: 69.46277171309656
Epoch 280, Validation Loss: 69.4627465661667
Epoch 290, Validation Loss: 69.46272059317839
Epoch 300, Validation Loss: 69.46269373152069
Epoch 310, Validation Loss: 69.46266591321017
Epoch 320, Validation Loss: 69.4626370642457
Epoch 330, Validation Loss: 69.46260710387172
Epoch 340, Validation Loss: 69.46257594373436
Epoch 350, Validation Loss: 69.46254348691093
Epoch 360, Validation Loss: 69.4625096267903
Epoch 370, Validation Loss: 69.46247424577614
Epoch 380, Validation Loss: 69.46243721377938
Epoch 390, Validation Loss: 69.46239838645826
Epoch 400, Validation Loss: 69.46235760315527
Epoch 410, Validation Loss: 69.46231468446784
Epoch 420, Validation Loss: 69.4622694293744
Epoch 430, Validation Loss: 69.46222161181753
Epoch 440, Validation Loss: 69.46217097662053
Epoch 450, Validation Loss: 69.46211723458023
Epoch 460, Validation Loss: 69.46206005653498
Epoch 470, Validation Loss: 69.4619990661492
Epoch 480, Validation Loss: 69.46193383107783
Epoch 490, Validation Loss: 69.46186385206936
Epoch 500, Validation Loss: 69.46178854942396
Epoch 510, Validation Loss: 69.46170724602534
Epoch 520, Validation Loss: 69.46161914589031
Epoch 530, Validation Loss: 69.46152330679156
Epoch 540, Validation Loss: 69.46141860495054
Epoch 550, Validation Loss: 69.4613036889857
Epoch 560, Validation Loss: 69.46117691909956
Epoch 570, Validation Loss: 69.46103628567505
Epoch 580, Validation Loss: 69.46087929866822
Epoch 590, Validation Loss: 69.46070283480712
Epoch 600, Validation Loss: 69.4605029225653
Epoch 610, Validation Loss: 69.46027443323301
Epoch 620, Validation Loss: 69.46001062656912
Epoch 630, Validation Loss: 69.4597024645275
Epoch 640, Validation Loss: 69.45933754242058
Epoch 650, Validation Loss: 69.45889836393329
Epoch 660, Validation Loss: 69.45835943808645
Epoch 670, Validation Loss: 69.45768214290156
Epoch 680, Validation Loss: 69.4568050670193
Epoch 690, Validation Loss: 69.45562441690555
Epoch 700, Validation Loss: 69.45395020852332
Epoch 710, Validation Loss: 69.45139471309305
Epoch 720, Validation Loss: 69.44703096542858
Epoch 730, Validation Loss: 69.4380009452351
Epoch 740, Validation Loss: 69.40984600621569
Epoch 750, Validation Loss: 68.94083400422366
Epoch 760, Validation Loss: 13.884644561173017
Epoch 770, Validation Loss: 12.273833962751691
Epoch 780, Validation Loss: 9.309051308029709
Epoch 790, Validation Loss: 8.580556029711365
Epoch 800, Validation Loss: 11.276538709325767
Epoch 810, Validation Loss: 11.185990270709425
Epoch 820, Validation Loss: 22.147865593004518
Epoch 830, Validation Loss: 10.105066461224496
Epoch 840, Validation Loss: 8.527940976984667
Epoch 850, Validation Loss: 8.415908529693558
Epoch 860, Validation Loss: 7.92469975523344
Epoch 870, Validation Loss: 7.653716282208874
Epoch 880, Validation Loss: 7.433489762244552
Epoch 890, Validation Loss: 7.2236378100628045
Epoch 900, Validation Loss: 7.033656711339859
Epoch 910, Validation Loss: 6.871288405570578
Epoch 920, Validation Loss: 6.763955618436446
Epoch 930, Validation Loss: 6.704921421754986
Epoch 940, Validation Loss: 6.673562420535165
Epoch 950, Validation Loss: 6.635561803001775
Epoch 960, Validation Loss: 6.531339383633041
Epoch 970, Validation Loss: 6.440776454189434
Epoch 980, Validation Loss: 6.475615922036681
Epoch 990, Validation Loss: 6.56405833386435
