Epoch 0, Validation Loss: 120.75001294995326
Epoch 10, Validation Loss: 69.46329926323806
Epoch 20, Validation Loss: 69.46331397620112
Epoch 30, Validation Loss: 69.46331394321423
Epoch 40, Validation Loss: 69.4633139101713
Epoch 50, Validation Loss: 69.46331387711923
Epoch 60, Validation Loss: 69.46331384405724
Epoch 70, Validation Loss: 69.46331381098464
Epoch 80, Validation Loss: 69.46331377790067
Epoch 90, Validation Loss: 69.46331374480461
Epoch 100, Validation Loss: 69.4633137116957
Epoch 110, Validation Loss: 69.46331367857324
Epoch 120, Validation Loss: 69.46331364543644
Epoch 130, Validation Loss: 69.46331361228458
Epoch 140, Validation Loss: 69.46331357911693
Epoch 150, Validation Loss: 69.46331354593273
Epoch 160, Validation Loss: 69.46331351273123
Epoch 170, Validation Loss: 69.4633134795117
Epoch 180, Validation Loss: 69.46331344627343
Epoch 190, Validation Loss: 69.46331341301558
Epoch 200, Validation Loss: 69.46331337973746
Epoch 210, Validation Loss: 69.46331334643834
Epoch 220, Validation Loss: 69.46331331311738
Epoch 230, Validation Loss: 69.46331327977391
Epoch 240, Validation Loss: 69.46331324640714
Epoch 250, Validation Loss: 69.46331321301632
Epoch 260, Validation Loss: 69.46331317960068
Epoch 270, Validation Loss: 69.46331314615944
Epoch 280, Validation Loss: 69.4633131126919
Epoch 290, Validation Loss: 69.46331307919722
Epoch 300, Validation Loss: 69.46331304567468
Epoch 310, Validation Loss: 69.46331301212352
Epoch 320, Validation Loss: 69.46331297854293
Epoch 330, Validation Loss: 69.46331294493216
Epoch 340, Validation Loss: 69.4633129112904
Epoch 350, Validation Loss: 69.4633128776169
Epoch 360, Validation Loss: 69.46331284391087
Epoch 370, Validation Loss: 69.46331281017157
Epoch 380, Validation Loss: 69.46331277639817
Epoch 390, Validation Loss: 69.46331274258989
Epoch 400, Validation Loss: 69.46331270874593
Epoch 410, Validation Loss: 69.4633126748655
Epoch 420, Validation Loss: 69.46331264094786
Epoch 430, Validation Loss: 69.46331260699212
Epoch 440, Validation Loss: 69.46331257299754
Epoch 450, Validation Loss: 69.46331253896328
Epoch 460, Validation Loss: 69.46331250488859
Epoch 470, Validation Loss: 69.46331247077262
Epoch 480, Validation Loss: 69.46331243661453
Epoch 490, Validation Loss: 69.46331240241356
Epoch 500, Validation Loss: 69.46331236816886
Epoch 510, Validation Loss: 69.46331233387963
Epoch 520, Validation Loss: 69.46331229954501
Epoch 530, Validation Loss: 69.46331226516419
Epoch 540, Validation Loss: 69.46331223073635
Epoch 550, Validation Loss: 69.46331219626063
Epoch 560, Validation Loss: 69.46331216173621
Epoch 570, Validation Loss: 69.46331212716227
Epoch 580, Validation Loss: 69.46331209253789
Epoch 590, Validation Loss: 69.46331205786228
Epoch 600, Validation Loss: 69.46331202313459
Epoch 610, Validation Loss: 69.46331198835394
Epoch 620, Validation Loss: 69.46331195351948
Epoch 630, Validation Loss: 69.46331191863032
Epoch 640, Validation Loss: 69.4633118836856
Epoch 650, Validation Loss: 69.46331184868448
Epoch 660, Validation Loss: 69.46331181362604
Epoch 670, Validation Loss: 69.46331177850942
Epoch 680, Validation Loss: 69.46331174333372
Epoch 690, Validation Loss: 69.46331170809806
Epoch 700, Validation Loss: 69.46331167280154
Epoch 710, Validation Loss: 69.46331163744325
Epoch 720, Validation Loss: 69.46331160202232
Epoch 730, Validation Loss: 69.4633115665378
Epoch 740, Validation Loss: 69.46331153098879
Epoch 750, Validation Loss: 69.46331149537438
Epoch 760, Validation Loss: 69.46331145969366
Epoch 770, Validation Loss: 69.46331142394565
Epoch 780, Validation Loss: 69.46331138812945
Epoch 790, Validation Loss: 69.46331135224413
Epoch 800, Validation Loss: 69.46331131628872
Epoch 810, Validation Loss: 69.46331128026232
Epoch 820, Validation Loss: 69.4633112441639
Epoch 830, Validation Loss: 69.46331120799255
Epoch 840, Validation Loss: 69.46331117174729
Epoch 850, Validation Loss: 69.46331113542715
Epoch 860, Validation Loss: 69.46331109903115
Epoch 870, Validation Loss: 69.46331106255828
Epoch 880, Validation Loss: 69.46331102600759
Epoch 890, Validation Loss: 69.46331098937807
Epoch 900, Validation Loss: 69.46331095266873
Epoch 910, Validation Loss: 69.46331091587855
Epoch 920, Validation Loss: 69.46331087900651
Epoch 930, Validation Loss: 69.46331084205158
Epoch 940, Validation Loss: 69.46331080501277
Epoch 950, Validation Loss: 69.46331076788901
Epoch 960, Validation Loss: 69.46331073067928
Epoch 970, Validation Loss: 69.46331069338252
Epoch 980, Validation Loss: 69.46331065599767
Epoch 990, Validation Loss: 69.46331061852369
