Epoch 0, Validation Loss: 72.67738109399767
Epoch 10, Validation Loss: 47.08591513142476
Epoch 20, Validation Loss: 36.66328273068589
Epoch 30, Validation Loss: 23.647164412931176
Epoch 40, Validation Loss: 14.949483664574279
Epoch 50, Validation Loss: 13.33237734809742
Epoch 60, Validation Loss: 12.578322641622107
Epoch 70, Validation Loss: 11.908838379376903
Epoch 80, Validation Loss: 11.285083246975072
Epoch 90, Validation Loss: 10.729998351739384
Epoch 100, Validation Loss: 10.256291448139939
Epoch 110, Validation Loss: 9.86761831331666
Epoch 120, Validation Loss: 9.563032634552632
Epoch 130, Validation Loss: 9.337542989863831
Epoch 140, Validation Loss: 9.181600468790817
Epoch 150, Validation Loss: 9.080392363152042
Epoch 160, Validation Loss: 9.0160088417628
Epoch 170, Validation Loss: 8.975993220943403
Epoch 180, Validation Loss: 8.955407158828057
Epoch 190, Validation Loss: 8.949226884495017
Epoch 200, Validation Loss: 8.950470241605533
Epoch 210, Validation Loss: 8.95208484591548
Epoch 220, Validation Loss: 8.94815246207653
Epoch 230, Validation Loss: 8.934746838916467
Epoch 240, Validation Loss: 8.909731517033109
Epoch 250, Validation Loss: 8.87148023313185
Epoch 260, Validation Loss: 8.818423995271305
Epoch 270, Validation Loss: 8.749075634441851
Epoch 280, Validation Loss: 8.662273570427253
Epoch 290, Validation Loss: 8.558580734553056
Epoch 300, Validation Loss: 8.441875945216406
Epoch 310, Validation Loss: 8.31933710253603
Epoch 320, Validation Loss: 8.199864062572543
Epoch 330, Validation Loss: 8.091596274262518
Epoch 340, Validation Loss: 7.99944562803451
Epoch 350, Validation Loss: 7.924310788822223
Epoch 360, Validation Loss: 7.864226383520419
Epoch 370, Validation Loss: 7.815677112823317
Epoch 380, Validation Loss: 7.774354519610289
Epoch 390, Validation Loss: 7.73650037581372
Epoch 400, Validation Loss: 7.700390395230899
Epoch 410, Validation Loss: 7.666379569633205
Epoch 420, Validation Loss: 7.635723437381411
Epoch 430, Validation Loss: 7.6093743881904325
Epoch 440, Validation Loss: 7.587420453310819
Epoch 450, Validation Loss: 7.569086528344179
Epoch 460, Validation Loss: 7.5529360618281265
Epoch 470, Validation Loss: 7.537079322587335
Epoch 480, Validation Loss: 7.519439241095492
Epoch 490, Validation Loss: 7.498177731636391
