Epoch 0, Validation Loss: 367.5090733194657
Epoch 10, Validation Loss: 69.58255203759538
Epoch 20, Validation Loss: 69.58580699306445
Epoch 30, Validation Loss: 69.55273696992089
Epoch 40, Validation Loss: 69.51736845683514
Epoch 50, Validation Loss: 69.4787420791678
Epoch 60, Validation Loss: 69.43587126243052
Epoch 70, Validation Loss: 69.38777288067554
Epoch 80, Validation Loss: 69.3334747492585
Epoch 90, Validation Loss: 69.27202651601651
Epoch 100, Validation Loss: 69.20251304804331
Epoch 110, Validation Loss: 69.12406871442474
Epoch 120, Validation Loss: 69.03589035522664
Epoch 130, Validation Loss: 68.93724630803734
Epoch 140, Validation Loss: 68.82747875283393
Epoch 150, Validation Loss: 68.70599690423695
Epoch 160, Validation Loss: 68.57225921211887
Epoch 170, Validation Loss: 68.42574360608754
Epoch 180, Validation Loss: 68.26590572141569
Epoch 190, Validation Loss: 68.09212570875651
Epoch 200, Validation Loss: 67.90364440676856
Epoch 210, Validation Loss: 67.6994891666311
Epoch 220, Validation Loss: 67.47838838062994
Epoch 230, Validation Loss: 67.23867178774182
Epoch 240, Validation Loss: 66.97815094268344
Epoch 250, Validation Loss: 66.69397083530195
Epoch 260, Validation Loss: 66.38241942103726
Epoch 270, Validation Loss: 66.03867651881747
Epoch 280, Validation Loss: 65.65647681463199
Epoch 290, Validation Loss: 65.2276534094999
Epoch 300, Validation Loss: 64.74151919374701
Epoch 310, Validation Loss: 64.18403676809722
Epoch 320, Validation Loss: 63.5367341578117
Epoch 330, Validation Loss: 62.775369886604146
Epoch 340, Validation Loss: 61.868496282310254
Epoch 350, Validation Loss: 60.77642259837901
Epoch 360, Validation Loss: 59.4517676777348
Epoch 370, Validation Loss: 57.84373719075024
Epoch 380, Validation Loss: 55.90854317030667
Epoch 390, Validation Loss: 53.62563685656246
Epoch 400, Validation Loss: 51.01194901626006
Epoch 410, Validation Loss: 48.12040008924023
Epoch 420, Validation Loss: 45.01950200911735
Epoch 430, Validation Loss: 41.774405723068114
Epoch 440, Validation Loss: 38.44801483264744
Epoch 450, Validation Loss: 35.10489720042016
Epoch 460, Validation Loss: 31.79479832270753
Epoch 470, Validation Loss: 28.53949908526355
Epoch 480, Validation Loss: 25.358569539188714
Epoch 490, Validation Loss: 22.31346175058411
Epoch 500, Validation Loss: 19.517396705674837
Epoch 510, Validation Loss: 17.096534883389694
Epoch 520, Validation Loss: 15.131053170460401
Epoch 530, Validation Loss: 13.619151564540246
Epoch 540, Validation Loss: 12.489781874604954
Epoch 550, Validation Loss: 11.646435108575174
Epoch 560, Validation Loss: 11.004259832070781
Epoch 570, Validation Loss: 10.50357183281073
Epoch 580, Validation Loss: 10.1067425006235
Epoch 590, Validation Loss: 9.790316161983304
Epoch 600, Validation Loss: 9.538616780862487
Epoch 610, Validation Loss: 9.340041065642145
Epoch 620, Validation Loss: 9.185281873852077
Epoch 630, Validation Loss: 9.066566535375506
Epoch 640, Validation Loss: 8.977330095309984
Epoch 650, Validation Loss: 8.912043401987011
Epoch 660, Validation Loss: 8.866085790376202
Epoch 670, Validation Loss: 8.835628409548866
Epoch 680, Validation Loss: 8.817522420655955
Epoch 690, Validation Loss: 8.809194148318847
Epoch 700, Validation Loss: 8.80854998854074
Epoch 710, Validation Loss: 8.813892729020361
Epoch 720, Validation Loss: 8.823849694098955
Epoch 730, Validation Loss: 8.83731223101365
Epoch 740, Validation Loss: 8.8533855241879
Epoch 750, Validation Loss: 8.871347473857899
Epoch 760, Validation Loss: 8.890615313764021
Epoch 770, Validation Loss: 8.910718697870752
Epoch 780, Validation Loss: 8.931278105949088
Epoch 790, Validation Loss: 8.95198756659628
Epoch 800, Validation Loss: 8.97260085069345
Epoch 810, Validation Loss: 8.992920434503946
Epoch 820, Validation Loss: 9.012788662259215
Epoch 830, Validation Loss: 9.03208065024456
Epoch 840, Validation Loss: 9.050698567936939
Epoch 850, Validation Loss: 9.06856700808429
Epoch 860, Validation Loss: 9.085629218923037
Epoch 870, Validation Loss: 9.101844020400709
Epoch 880, Validation Loss: 9.117183264606444
Epoch 890, Validation Loss: 9.131629730663924
Epoch 900, Validation Loss: 9.14517536784801
Epoch 910, Validation Loss: 9.157819819068061
Epoch 920, Validation Loss: 9.16956917125183
Epoch 930, Validation Loss: 9.180434890450016
Epoch 940, Validation Loss: 9.190432908350367
Epoch 950, Validation Loss: 9.199582833868831
Epoch 960, Validation Loss: 9.207907268980229
Epoch 970, Validation Loss: 9.2154312122745
Epoch 980, Validation Loss: 9.222181537120164
Epoch 990, Validation Loss: 9.228186533975583
