Epoch 0, Validation Loss: 528.8822510425716
Epoch 10, Validation Loss: 418.05064876490894
Epoch 20, Validation Loss: 15.671505595293091
Epoch 30, Validation Loss: 9.179136716335597
Epoch 40, Validation Loss: 8.575365306332358
Epoch 50, Validation Loss: 8.309260281838933
Epoch 60, Validation Loss: 7.987285656906452
Epoch 70, Validation Loss: 7.672222599013299
Epoch 80, Validation Loss: 7.429322334903145
Epoch 90, Validation Loss: 7.239281906141962
Epoch 100, Validation Loss: 7.088175354263803
Epoch 110, Validation Loss: 6.9580434615833635
Epoch 120, Validation Loss: 6.869456130762175
Epoch 130, Validation Loss: 6.8039746384307485
Epoch 140, Validation Loss: 6.757655213215024
Epoch 150, Validation Loss: 6.715715112028948
Epoch 160, Validation Loss: 6.689028454365322
Epoch 170, Validation Loss: 6.66987844465539
Epoch 180, Validation Loss: 6.653306015551443
Epoch 190, Validation Loss: 6.680380010516273
Epoch 200, Validation Loss: 6.677169085495906
Epoch 210, Validation Loss: 6.6690739295829164
Epoch 220, Validation Loss: 6.6738881004219675
Epoch 230, Validation Loss: 6.704880619739624
Epoch 240, Validation Loss: 6.716250474964193
Epoch 250, Validation Loss: 6.738292966363623
Epoch 260, Validation Loss: 6.733243067375446
Epoch 270, Validation Loss: 6.747361114610732
Epoch 280, Validation Loss: 6.756988600629781
Epoch 290, Validation Loss: 6.7612556404036885
Epoch 300, Validation Loss: 6.775692689309811
Epoch 310, Validation Loss: 6.784526519214196
Epoch 320, Validation Loss: 6.792583192718767
Epoch 330, Validation Loss: 6.808736628932724
Epoch 340, Validation Loss: 6.81730664012355
Epoch 350, Validation Loss: 6.82807863022799
Epoch 360, Validation Loss: 6.840037941038503
Epoch 370, Validation Loss: 6.851820429427209
Epoch 380, Validation Loss: 6.84894832547393
Epoch 390, Validation Loss: 6.854309214640989
Epoch 400, Validation Loss: 6.850239487613154
Epoch 410, Validation Loss: 6.865854486346227
Epoch 420, Validation Loss: 6.870814626982224
Epoch 430, Validation Loss: 6.872269105635493
Epoch 440, Validation Loss: 6.873576597149961
Epoch 450, Validation Loss: 6.884628866024616
Epoch 460, Validation Loss: 6.894450263747156
Epoch 470, Validation Loss: 6.887003657794786
Epoch 480, Validation Loss: 6.879146158688759
Epoch 490, Validation Loss: 6.868011082243489
