Epoch 0, Validation Loss: 430.9647971674232
Epoch 10, Validation Loss: 22.5754680207374
Epoch 20, Validation Loss: 15.751488400516411
Epoch 30, Validation Loss: 16.604989978053894
Epoch 40, Validation Loss: 16.439748151365297
Epoch 50, Validation Loss: 12.451260332774105
Epoch 60, Validation Loss: 9.985148015794316
Epoch 70, Validation Loss: 8.171245292911058
Epoch 80, Validation Loss: 7.777532043666068
Epoch 90, Validation Loss: 7.663157380406421
Epoch 100, Validation Loss: 7.3909842117424835
Epoch 110, Validation Loss: 7.02351712304938
Epoch 120, Validation Loss: 6.940913028544455
Epoch 130, Validation Loss: 6.978876201145418
Epoch 140, Validation Loss: 7.0350228641833565
Epoch 150, Validation Loss: 7.08169992600616
Epoch 160, Validation Loss: 7.113661320736708
Epoch 170, Validation Loss: 7.135134933718756
Epoch 180, Validation Loss: 7.153402463326967
Epoch 190, Validation Loss: 7.163132393101195
Epoch 200, Validation Loss: 7.13809866900999
Epoch 210, Validation Loss: 7.051516802502907
Epoch 220, Validation Loss: 6.9018176356665295
Epoch 230, Validation Loss: 6.725156310207474
Epoch 240, Validation Loss: 6.558406074011692
Epoch 250, Validation Loss: 6.400173565838542
Epoch 260, Validation Loss: 6.247306834137819
Epoch 270, Validation Loss: 6.110121568726516
Epoch 280, Validation Loss: 5.999035731244089
Epoch 290, Validation Loss: 5.9222979600676835
Epoch 300, Validation Loss: 16.30023311553779
Epoch 310, Validation Loss: 5.786279622108258
Epoch 320, Validation Loss: 5.774982318248686
Epoch 330, Validation Loss: 5.789008895214038
Epoch 340, Validation Loss: 5.804898291439832
Epoch 350, Validation Loss: 5.825987307702324
Epoch 360, Validation Loss: 5.855589210024975
Epoch 370, Validation Loss: 5.8960897301183275
Epoch 380, Validation Loss: 5.9471483616567085
Epoch 390, Validation Loss: 6.0020808855665635
Epoch 400, Validation Loss: 7.795472893539411
Epoch 410, Validation Loss: 5.899255854764828
Epoch 420, Validation Loss: 6.102989619397205
Epoch 430, Validation Loss: 6.238878561686169
Epoch 440, Validation Loss: 6.340745961983874
Epoch 450, Validation Loss: 6.423016562681045
Epoch 460, Validation Loss: 6.49364398300626
Epoch 470, Validation Loss: 6.5583876469369775
Epoch 480, Validation Loss: 6.621541953143088
Epoch 490, Validation Loss: 6.685679901100425
Epoch 500, Validation Loss: 6.7453643264337
Epoch 510, Validation Loss: 6.668523070266153
Epoch 520, Validation Loss: 13.110973785776995
Epoch 530, Validation Loss: 6.658457500080348
Epoch 540, Validation Loss: 6.965643830011454
Epoch 550, Validation Loss: 7.138385604781261
Epoch 560, Validation Loss: 7.273199974387033
Epoch 570, Validation Loss: 7.393907033854198
Epoch 580, Validation Loss: 7.508766568850355
Epoch 590, Validation Loss: 7.6211992918478915
Epoch 600, Validation Loss: 7.729158363300401
Epoch 610, Validation Loss: 7.808705802719572
Epoch 620, Validation Loss: 7.704238355296978
Epoch 630, Validation Loss: 8.061891224780211
Epoch 640, Validation Loss: 9.968779274648476
Epoch 650, Validation Loss: 7.654224284017623
Epoch 660, Validation Loss: 8.205279444690762
Epoch 670, Validation Loss: 8.434638045946224
Epoch 680, Validation Loss: 8.58955855956839
Epoch 690, Validation Loss: 8.71734637727148
Epoch 700, Validation Loss: 8.830097231735808
Epoch 710, Validation Loss: 8.932652296770373
Epoch 720, Validation Loss: 9.027354308914738
Epoch 730, Validation Loss: 9.115287811933348
Epoch 740, Validation Loss: 9.196297885305029
