Epoch 0, Validation Loss: 127.03092259290007
Epoch 10, Validation Loss: 51.63185965054502
Epoch 20, Validation Loss: 43.55534081766864
Epoch 30, Validation Loss: 38.41278994520192
Epoch 40, Validation Loss: 33.929648426598575
Epoch 50, Validation Loss: 29.494096161544682
Epoch 60, Validation Loss: 25.11250987625629
Epoch 70, Validation Loss: 21.279902398411625
Epoch 80, Validation Loss: 18.40697454247685
Epoch 90, Validation Loss: 16.324799645513462
Epoch 100, Validation Loss: 14.81033141674594
Epoch 110, Validation Loss: 13.723484347207965
Epoch 120, Validation Loss: 12.922649544757137
Epoch 130, Validation Loss: 12.273676414316048
Epoch 140, Validation Loss: 11.687765755243888
Epoch 150, Validation Loss: 11.134927839830764
Epoch 160, Validation Loss: 10.623692418007455
Epoch 170, Validation Loss: 10.167745171869889
Epoch 180, Validation Loss: 9.77074036530513
Epoch 190, Validation Loss: 9.428764283671072
Epoch 200, Validation Loss: 9.134760546136299
Epoch 210, Validation Loss: 8.880636780804691
Epoch 220, Validation Loss: 8.659081761209938
Epoch 230, Validation Loss: 8.46610774880832
Epoch 240, Validation Loss: 8.302599082773606
Epoch 250, Validation Loss: 8.171926703620324
Epoch 260, Validation Loss: 8.074820851446347
Epoch 270, Validation Loss: 8.007038370802531
Epoch 280, Validation Loss: 7.96127292003592
Epoch 290, Validation Loss: 7.929921253339689
Epoch 300, Validation Loss: 7.9065200740083155
Epoch 310, Validation Loss: 7.886011863173134
Epoch 320, Validation Loss: 7.864555812427293
Epoch 330, Validation Loss: 7.83933975173968
Epoch 340, Validation Loss: 7.8085697949775605
Epoch 350, Validation Loss: 7.771574726710325
Epoch 360, Validation Loss: 7.728762589237183
Epoch 370, Validation Loss: 7.6812006414272656
Epoch 380, Validation Loss: 7.630355990014472
Epoch 390, Validation Loss: 7.579260497945715
Epoch 400, Validation Loss: 7.532172899004901
Epoch 410, Validation Loss: 7.491171101705957
Epoch 420, Validation Loss: 7.4555862621478735
Epoch 430, Validation Loss: 7.4233790387325085
Epoch 440, Validation Loss: 7.392347098949843
Epoch 450, Validation Loss: 7.360813755419376
Epoch 460, Validation Loss: 7.32783419132019
Epoch 470, Validation Loss: 7.293116316681953
Epoch 480, Validation Loss: 7.256835305571826
Epoch 490, Validation Loss: 7.219444807526178
Epoch 500, Validation Loss: 7.181529108740982
Epoch 510, Validation Loss: 7.1437070019557725
Epoch 520, Validation Loss: 7.106581492670789
Epoch 530, Validation Loss: 7.070722877189599
Epoch 540, Validation Loss: 7.036671988741106
Epoch 550, Validation Loss: 7.004952574220563
Epoch 560, Validation Loss: 6.976084190302798
Epoch 570, Validation Loss: 6.95058721342512
Epoch 580, Validation Loss: 6.9289682961391135
Epoch 590, Validation Loss: 6.9116701644953
Epoch 600, Validation Loss: 6.8989718942359515
Epoch 610, Validation Loss: 6.890846439546692
Epoch 620, Validation Loss: 6.886825591743483
Epoch 630, Validation Loss: 6.885963363169702
Epoch 640, Validation Loss: 6.886968305129736
Epoch 650, Validation Loss: 6.888470133015692
Epoch 660, Validation Loss: 6.88928662517987
Epoch 670, Validation Loss: 6.888575480714722
Epoch 680, Validation Loss: 6.88585921551449
Epoch 690, Validation Loss: 6.880977854169273
Epoch 700, Validation Loss: 6.874017601223384
Epoch 710, Validation Loss: 6.865233835774164
Epoch 720, Validation Loss: 6.8549736023655745
Epoch 730, Validation Loss: 6.843605311231772
Epoch 740, Validation Loss: 6.831465937865608
