Epoch 0, Validation Loss: 216.45501671452334
Epoch 10, Validation Loss: 73.4030832437895
Epoch 20, Validation Loss: 103.08583569565006
Epoch 30, Validation Loss: 38.88131926371201
Epoch 40, Validation Loss: 39.36757905757375
Epoch 50, Validation Loss: 31.635320062920886
Epoch 60, Validation Loss: 33.62755627163538
Epoch 70, Validation Loss: 42.40909383111049
Epoch 80, Validation Loss: 35.62938063466297
Epoch 90, Validation Loss: 38.988032879069785
Epoch 100, Validation Loss: 44.232892659158566
Epoch 110, Validation Loss: 43.22709032794522
Epoch 120, Validation Loss: 38.368256524843325
Epoch 130, Validation Loss: 39.086207138520265
Epoch 140, Validation Loss: 38.35413078443346
Epoch 150, Validation Loss: 49.20301042255617
Epoch 160, Validation Loss: 32.98740964748486
Epoch 170, Validation Loss: 41.81113892188104
Epoch 180, Validation Loss: 33.70174312022757
Epoch 190, Validation Loss: 38.27113032161229
Epoch 200, Validation Loss: 41.83797287591561
Epoch 210, Validation Loss: 30.594561376449818
Epoch 220, Validation Loss: 35.95517147041833
Epoch 230, Validation Loss: 37.60743472850273
Epoch 240, Validation Loss: 33.04810526770407
Epoch 250, Validation Loss: 33.0657520441342
Epoch 260, Validation Loss: 28.288749973394182
Epoch 270, Validation Loss: 36.2520248064364
Epoch 280, Validation Loss: 31.295592122836364
Epoch 290, Validation Loss: 31.790549519355775
Epoch 300, Validation Loss: 31.984041399959647
Epoch 310, Validation Loss: 26.919255281764627
Epoch 320, Validation Loss: 29.344141106239004
Epoch 330, Validation Loss: 24.969784182053665
Epoch 340, Validation Loss: 25.781744472894644
Epoch 350, Validation Loss: 26.60796533679636
Epoch 360, Validation Loss: 26.506066968204994
Epoch 370, Validation Loss: 26.93646845476755
Epoch 380, Validation Loss: 28.099260016260406
Epoch 390, Validation Loss: 27.234348431576066
Epoch 400, Validation Loss: 25.03637670020823
Epoch 410, Validation Loss: 26.493276828428154
Epoch 420, Validation Loss: 31.11762913481114
Epoch 430, Validation Loss: 30.23401034565009
Epoch 440, Validation Loss: 32.549574319645046
Epoch 450, Validation Loss: 32.82743196067532
Epoch 460, Validation Loss: 31.98171763206997
Epoch 470, Validation Loss: 31.68755908594262
Epoch 480, Validation Loss: 32.88424134449676
Epoch 490, Validation Loss: 31.726671174492953
