Epoch 0, Validation Loss: 534.5098310228974
Epoch 10, Validation Loss: 478.08329342612274
Epoch 20, Validation Loss: 419.7803350506521
Epoch 30, Validation Loss: 249.26810969641556
Epoch 40, Validation Loss: 14.54815896706155
Epoch 50, Validation Loss: 10.526316032839903
Epoch 60, Validation Loss: 9.193938099226768
Epoch 70, Validation Loss: 8.66114861491179
Epoch 80, Validation Loss: 8.390528386622742
Epoch 90, Validation Loss: 8.146654784249835
Epoch 100, Validation Loss: 7.921373744047521
Epoch 110, Validation Loss: 7.7270548629845885
Epoch 120, Validation Loss: 7.568837833418043
Epoch 130, Validation Loss: 7.445275441744992
Epoch 140, Validation Loss: 7.338499629010417
Epoch 150, Validation Loss: 7.241075152712534
Epoch 160, Validation Loss: 7.162959975890136
Epoch 170, Validation Loss: 7.127558628659159
Epoch 180, Validation Loss: 7.101420639309442
Epoch 190, Validation Loss: 7.073387223660522
Epoch 200, Validation Loss: 7.049295674692285
Epoch 210, Validation Loss: 7.024820722022165
Epoch 220, Validation Loss: 6.999844164134647
Epoch 230, Validation Loss: 6.96868602016435
Epoch 240, Validation Loss: 6.930683833541155
Epoch 250, Validation Loss: 6.880857518410877
Epoch 260, Validation Loss: 6.840486700362566
Epoch 270, Validation Loss: 6.804487430582434
Epoch 280, Validation Loss: 6.763941058350845
Epoch 290, Validation Loss: 6.729074031735149
Epoch 300, Validation Loss: 6.6906747070381485
Epoch 310, Validation Loss: 6.653010709549849
Epoch 320, Validation Loss: 6.611775675457212
Epoch 330, Validation Loss: 6.572403103240489
Epoch 340, Validation Loss: 6.544217826713878
Epoch 350, Validation Loss: 6.530536925990326
Epoch 360, Validation Loss: 6.512266785519388
Epoch 370, Validation Loss: 6.498224019612512
Epoch 380, Validation Loss: 6.480925560835552
Epoch 390, Validation Loss: 6.47548266512663
Epoch 400, Validation Loss: 6.47827038007572
Epoch 410, Validation Loss: 6.46479562904107
Epoch 420, Validation Loss: 6.458063275010443
Epoch 430, Validation Loss: 6.446372305689614
Epoch 440, Validation Loss: 6.431932391614349
Epoch 450, Validation Loss: 6.408636185072672
Epoch 460, Validation Loss: 6.390932249302389
Epoch 470, Validation Loss: 6.375509210632564
Epoch 480, Validation Loss: 6.358630300484616
Epoch 490, Validation Loss: 6.352626269158522
Epoch 500, Validation Loss: 6.330727191515298
Epoch 510, Validation Loss: 6.320009015631051
Epoch 520, Validation Loss: 6.319111094312419
Epoch 530, Validation Loss: 6.3181133830165574
Epoch 540, Validation Loss: 6.3146875025852385
Epoch 550, Validation Loss: 6.314600704443842
Epoch 560, Validation Loss: 6.311590687949539
Epoch 570, Validation Loss: 6.313276386757959
Epoch 580, Validation Loss: 6.31944535785879
Epoch 590, Validation Loss: 6.326111378975992
Epoch 600, Validation Loss: 6.330746207470838
Epoch 610, Validation Loss: 6.325658877308765
Epoch 620, Validation Loss: 6.324072156217329
Epoch 630, Validation Loss: 6.325105682581131
Epoch 640, Validation Loss: 6.331537271677355
Epoch 650, Validation Loss: 6.33286165184154
Epoch 660, Validation Loss: 6.337860008679793
Epoch 670, Validation Loss: 6.347903626766825
Epoch 680, Validation Loss: 6.359651677955196
Epoch 690, Validation Loss: 6.371649154463447
Epoch 700, Validation Loss: 6.379840207718397
Epoch 710, Validation Loss: 6.397570710332746
Epoch 720, Validation Loss: 6.409362145423797
Epoch 730, Validation Loss: 6.423417238347489
Epoch 740, Validation Loss: 6.43849457307287
