Epoch 0, Validation Loss: 443.7374792041554
Epoch 10, Validation Loss: 69.38840974163956
Epoch 20, Validation Loss: 69.63678769699695
Epoch 30, Validation Loss: 69.57128637069228
Epoch 40, Validation Loss: 69.48478643539973
Epoch 50, Validation Loss: 69.3919209922074
Epoch 60, Validation Loss: 69.29138111606456
Epoch 70, Validation Loss: 69.18179061496097
Epoch 80, Validation Loss: 69.06198742019615
Epoch 90, Validation Loss: 68.93102399372223
Epoch 100, Validation Loss: 68.78814688247535
Epoch 110, Validation Loss: 68.63276368450671
Epoch 120, Validation Loss: 68.46440382043603
Epoch 130, Validation Loss: 68.28268065067134
Epoch 140, Validation Loss: 68.08726209585191
Epoch 150, Validation Loss: 67.87785488790018
Epoch 160, Validation Loss: 67.65420420717538
Epoch 170, Validation Loss: 67.41610628859632
Epoch 180, Validation Loss: 67.16342728606647
Epoch 190, Validation Loss: 66.89611806886408
Epoch 200, Validation Loss: 66.61421259929357
Epoch 210, Validation Loss: 66.31779800077182
Epoch 220, Validation Loss: 66.00694786337621
Epoch 230, Validation Loss: 65.68161630866747
Epoch 240, Validation Loss: 65.34149714036124
Epoch 250, Validation Loss: 64.98585739387875
Epoch 260, Validation Loss: 64.61335526358162
Epoch 270, Validation Loss: 64.22184767767222
Epoch 280, Validation Loss: 63.80818370843662
Epoch 290, Validation Loss: 63.367969047480756
Epoch 300, Validation Loss: 62.89527671548065
Epoch 310, Validation Loss: 62.38227229038306
Epoch 320, Validation Loss: 61.818720562329204
Epoch 330, Validation Loss: 61.19134922681533
Epoch 340, Validation Loss: 60.483074717066245
Epoch 350, Validation Loss: 59.67216845758545
Epoch 360, Validation Loss: 58.731601883811415
Epoch 370, Validation Loss: 57.629122394059635
Epoch 380, Validation Loss: 56.329134156216575
Epoch 390, Validation Loss: 54.79804308787238
Epoch 400, Validation Loss: 53.014541495575635
Epoch 410, Validation Loss: 50.98342606585591
Epoch 420, Validation Loss: 48.74489645760958
Epoch 430, Validation Loss: 46.36673517670782
Epoch 440, Validation Loss: 43.9164461164934
Epoch 450, Validation Loss: 41.4310189202663
Epoch 460, Validation Loss: 38.906832122415366
Epoch 470, Validation Loss: 36.31266692486457
Epoch 480, Validation Loss: 33.612629670107495
Epoch 490, Validation Loss: 30.791980108865136
Epoch 500, Validation Loss: 27.88643038169158
Epoch 510, Validation Loss: 25.00036971765676
Epoch 520, Validation Loss: 22.28743790102719
Epoch 530, Validation Loss: 19.89332004528882
Epoch 540, Validation Loss: 17.898612628407125
Epoch 550, Validation Loss: 16.301417572324453
Epoch 560, Validation Loss: 15.043432149478392
Epoch 570, Validation Loss: 14.049840308125003
Epoch 580, Validation Loss: 13.255775940828125
Epoch 590, Validation Loss: 12.614179068158922
Epoch 600, Validation Loss: 12.092958035866388
Epoch 610, Validation Loss: 11.669564578785169
Epoch 620, Validation Loss: 11.326820924636888
Epoch 630, Validation Loss: 11.050636292780075
Epoch 640, Validation Loss: 10.829025298020154
Epoch 650, Validation Loss: 10.651752047353986
Epoch 660, Validation Loss: 10.51017894481712
Epoch 670, Validation Loss: 10.39713586614431
Epoch 680, Validation Loss: 10.306760568872587
Epoch 690, Validation Loss: 10.234316626958114
Epoch 700, Validation Loss: 10.176008231743879
Epoch 710, Validation Loss: 10.12880775632935
Epoch 720, Validation Loss: 10.090304914630279
Epoch 730, Validation Loss: 10.058580445904584
Epoch 740, Validation Loss: 10.032103519704705
