2024-10-11 12:02:13,150 INFO    Thread-27 :229423 [wandb_setup.py:_flush():79] Current SDK version is 0.18.2
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_setup.py:_flush():79] Configure stats pid to 229423
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_setup.py:_flush():79] Loading settings from /home/mananchichra/.config/wandb/settings
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_setup.py:_flush():79] Loading settings from /home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/settings
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'Q3.3-Tuning', 'entity': 'manan-chichra-iiit-hyderabad', 'root_dir': '/home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3', 'run_id': 'n4nrzqka', 'sweep_param_path': '/home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/sweep-bt561ccr/config-n4nrzqka.yaml', 'sweep_id': 'bt561ccr'}
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'assignments/3/q3.py', 'program_abspath': '/home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/q3.py', 'program': 'q3.py'}
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_init.py:_log_setup():532] Logging user logs to /home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/run-20241011_120213-n4nrzqka/logs/debug.log
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_init.py:_log_setup():533] Logging internal logs to /home/mananchichra/Downloads/SMAI_ASSIGNMENT/assignments/3/wandb/run-20241011_120213-n4nrzqka/logs/debug-internal.log
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_init.py:init():616] calling init triggers
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_init.py:init():623] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 32, 'epochs': 100, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.01}
config: {}
2024-10-11 12:02:13,151 INFO    Thread-27 :229423 [wandb_init.py:init():666] starting backend
2024-10-11 12:02:13,152 INFO    Thread-27 :229423 [wandb_init.py:init():670] sending inform_init request
2024-10-11 12:02:13,161 INFO    Thread-27 :229423 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-11 12:02:13,161 INFO    Thread-27 :229423 [wandb_init.py:init():683] backend started and connected
2024-10-11 12:02:13,177 INFO    Thread-27 :229423 [wandb_run.py:_config_callback():1393] config_cb None None {'activation': 'tanh', 'batch_size': 32, 'epochs': 100, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.01}
2024-10-11 12:02:13,181 INFO    Thread-27 :229423 [wandb_init.py:init():778] updated telemetry
2024-10-11 12:02:13,208 INFO    Thread-27 :229423 [wandb_init.py:init():811] communicating run to backend with 90.0 second timeout
2024-10-11 12:02:13,757 INFO    Thread-27 :229423 [wandb_init.py:init():862] starting run threads in backend
2024-10-11 12:02:14,001 INFO    Thread-27 :229423 [wandb_run.py:_console_start():2464] atexit reg
2024-10-11 12:02:14,002 INFO    Thread-27 :229423 [wandb_run.py:_redirect():2312] redirect: wrap_raw
2024-10-11 12:02:14,002 INFO    Thread-27 :229423 [wandb_run.py:_redirect():2377] Wrapping output streams.
2024-10-11 12:02:14,002 INFO    Thread-27 :229423 [wandb_run.py:_redirect():2402] Redirects installed.
2024-10-11 12:02:14,003 INFO    Thread-27 :229423 [wandb_init.py:init():906] run started, returning control to user process
2024-10-11 12:02:15,555 INFO    Thread-27 :229423 [wandb_run.py:_finish():2163] finishing run manan-chichra-iiit-hyderabad/Q3.3-Tuning/n4nrzqka
2024-10-11 12:02:15,555 INFO    Thread-27 :229423 [wandb_run.py:_atexit_cleanup():2427] got exitcode: 0
2024-10-11 12:02:15,556 INFO    Thread-27 :229423 [wandb_run.py:_restore():2409] restore
2024-10-11 12:02:15,556 INFO    Thread-27 :229423 [wandb_run.py:_restore():2415] restore done
2024-10-11 12:02:18,128 INFO    Thread-27 :229423 [wandb_run.py:_footer_history_summary_info():4042] rendering history
2024-10-11 12:02:18,128 INFO    Thread-27 :229423 [wandb_run.py:_footer_history_summary_info():4074] rendering summary
2024-10-11 12:02:18,142 INFO    Thread-27 :229423 [wandb_run.py:_footer_sync_info():4001] logging synced files
