Epoch 0, Validation Loss: 483.60001945229124
Epoch 10, Validation Loss: 11.263478609943732
Epoch 20, Validation Loss: 10.215388577097022
Epoch 30, Validation Loss: 9.201016902977145
Epoch 40, Validation Loss: 8.53380892379784
Epoch 50, Validation Loss: 7.999719924878141
Epoch 60, Validation Loss: 7.608004785050855
Epoch 70, Validation Loss: 7.402775799709485
Epoch 80, Validation Loss: 7.288388533449036
Epoch 90, Validation Loss: 7.219086214540025
Epoch 100, Validation Loss: 7.082616087586974
Epoch 110, Validation Loss: 7.020942110742959
Epoch 120, Validation Loss: 6.9329835097223995
Epoch 130, Validation Loss: 6.837306436737394
Epoch 140, Validation Loss: 6.749229823867652
Epoch 150, Validation Loss: 6.693010851750047
Epoch 160, Validation Loss: 6.667346308227147
Epoch 170, Validation Loss: 6.591689163843495
Epoch 180, Validation Loss: 6.561109466639772
Epoch 190, Validation Loss: 6.567390334272851
Epoch 200, Validation Loss: 6.550275665320034
Epoch 210, Validation Loss: 6.602343077918579
Epoch 220, Validation Loss: 6.604643744006875
Epoch 230, Validation Loss: 6.598895122630135
Epoch 240, Validation Loss: 6.583289577845759
Epoch 250, Validation Loss: 6.5870020093011385
Epoch 260, Validation Loss: 6.5115302979903875
Epoch 270, Validation Loss: 6.50745565954253
Epoch 280, Validation Loss: 6.528731520806115
Epoch 290, Validation Loss: 6.56434250105379
Epoch 300, Validation Loss: 6.527849701748538
Epoch 310, Validation Loss: 6.548428991419451
Epoch 320, Validation Loss: 6.498582791944682
Epoch 330, Validation Loss: 6.492611808173746
Epoch 340, Validation Loss: 6.529056383085466
Epoch 350, Validation Loss: 6.51044570727954
Epoch 360, Validation Loss: 6.587236116747877
Epoch 370, Validation Loss: 6.618111279256873
Epoch 380, Validation Loss: 6.5777049089774655
Epoch 390, Validation Loss: 6.629947556069456
Epoch 400, Validation Loss: 6.638350954355191
Epoch 410, Validation Loss: 6.6619364109068755
Epoch 420, Validation Loss: 6.731577870370228
Epoch 430, Validation Loss: 6.730298398557263
Epoch 440, Validation Loss: 6.721358744431474
Epoch 450, Validation Loss: 6.642068794923294
Epoch 460, Validation Loss: 6.480008564395575
Epoch 470, Validation Loss: 6.349441671259227
Epoch 480, Validation Loss: 6.25283931374172
Epoch 490, Validation Loss: 6.189882516368519
Epoch 500, Validation Loss: 6.31435075395273
Epoch 510, Validation Loss: 6.557275760746066
Epoch 520, Validation Loss: 6.920631199014082
Epoch 530, Validation Loss: 6.973484746366278
Epoch 540, Validation Loss: 6.718639949874064
Epoch 550, Validation Loss: 6.416481160008271
Epoch 560, Validation Loss: 6.265198645019164
Epoch 570, Validation Loss: 6.23422971514389
Epoch 580, Validation Loss: 6.282461796650428
Epoch 590, Validation Loss: 6.490744391586418
Epoch 600, Validation Loss: 6.712071883096518
Epoch 610, Validation Loss: 7.151937919938783
Epoch 620, Validation Loss: 7.283415918039496
Epoch 630, Validation Loss: 7.17639590815463
Epoch 640, Validation Loss: 7.623157748964792
Epoch 650, Validation Loss: 7.590720864643371
Epoch 660, Validation Loss: 7.688320159665324
Epoch 670, Validation Loss: 7.248092914358057
Epoch 680, Validation Loss: 7.61081576733098
Epoch 690, Validation Loss: 7.720554830364974
Epoch 700, Validation Loss: 6.3179549607219485
Epoch 710, Validation Loss: 7.844876627295732
Epoch 720, Validation Loss: 7.892773971230024
Epoch 730, Validation Loss: 7.024547188663365
Epoch 740, Validation Loss: 6.200422023525497
