Epoch 0, Validation Loss: 73.16432145238605
Epoch 10, Validation Loss: 69.67174042937764
Epoch 20, Validation Loss: 67.61981957767385
Epoch 30, Validation Loss: 63.91011120477214
Epoch 40, Validation Loss: 50.51290847017208
Epoch 50, Validation Loss: 27.094098540034153
Epoch 60, Validation Loss: 12.322181969782902
Epoch 70, Validation Loss: 10.226724043380647
Epoch 80, Validation Loss: 9.993438567844589
Epoch 90, Validation Loss: 9.891082639760231
Epoch 100, Validation Loss: 9.697636676860322
Epoch 110, Validation Loss: 9.436206439738722
Epoch 120, Validation Loss: 9.189850817125668
Epoch 130, Validation Loss: 9.047598692825167
Epoch 140, Validation Loss: 9.029005124481197
Epoch 150, Validation Loss: 9.105959027678868
Epoch 160, Validation Loss: 9.241920413991881
Epoch 170, Validation Loss: 9.403089465417752
Epoch 180, Validation Loss: 9.563264278721114
Epoch 190, Validation Loss: 9.708340971574044
Epoch 200, Validation Loss: 9.833804400554456
Epoch 210, Validation Loss: 9.938968541130969
Epoch 220, Validation Loss: 10.023959016402502
Epoch 230, Validation Loss: 10.089241028434824
Epoch 240, Validation Loss: 10.135785489964206
Epoch 250, Validation Loss: 10.164965453496436
Epoch 260, Validation Loss: 10.178211743450207
Epoch 270, Validation Loss: 10.176513784869433
Epoch 280, Validation Loss: 10.159731152318884
Epoch 290, Validation Loss: 10.126517333807714
Epoch 300, Validation Loss: 10.077301339974138
Epoch 310, Validation Loss: 10.018650270189458
Epoch 320, Validation Loss: 9.960165521232602
Epoch 330, Validation Loss: 9.90771729592834
Epoch 340, Validation Loss: 9.862741918477859
Epoch 350, Validation Loss: 9.824791759719758
Epoch 360, Validation Loss: 9.793124582985621
Epoch 370, Validation Loss: 9.767064679840852
Epoch 380, Validation Loss: 9.745917213057671
Epoch 390, Validation Loss: 9.72887328974004
Epoch 400, Validation Loss: 9.71499476607006
Epoch 410, Validation Loss: 9.703235096577524
Epoch 420, Validation Loss: 9.69245677671519
Epoch 430, Validation Loss: 9.68144640675618
Epoch 440, Validation Loss: 9.668948568643316
Epoch 450, Validation Loss: 9.653732038391405
Epoch 460, Validation Loss: 9.634687658386653
Epoch 470, Validation Loss: 9.610957609140346
Epoch 480, Validation Loss: 9.582083928066265
Epoch 490, Validation Loss: 9.548064849830924
