Epoch 0, Validation Loss: 490.90923639722666
Epoch 10, Validation Loss: 109.19401662705503
Epoch 20, Validation Loss: 66.37462259996896
Epoch 30, Validation Loss: 64.98375748323153
Epoch 40, Validation Loss: 63.07950885890498
Epoch 50, Validation Loss: 61.02183055097273
Epoch 60, Validation Loss: 59.090516871632204
Epoch 70, Validation Loss: 57.32969049680168
Epoch 80, Validation Loss: 55.73633185115822
Epoch 90, Validation Loss: 54.296743623522424
Epoch 100, Validation Loss: 52.994245232997606
Epoch 110, Validation Loss: 51.81182988674531
Epoch 120, Validation Loss: 50.73346176938248
Epoch 130, Validation Loss: 49.74469106285338
Epoch 140, Validation Loss: 48.832853568564836
Epoch 150, Validation Loss: 47.987033018613815
Epoch 160, Validation Loss: 47.19790627927626
Epoch 170, Validation Loss: 46.45754484286217
Epoch 180, Validation Loss: 45.759212833657166
Epoch 190, Validation Loss: 45.09718090744083
Epoch 200, Validation Loss: 44.4665634947501
Epoch 210, Validation Loss: 43.863180583009026
Epoch 220, Validation Loss: 43.28344229311599
Epoch 230, Validation Loss: 42.724253374813976
Epoch 240, Validation Loss: 42.18293453220023
Epoch 250, Validation Loss: 41.657157700360855
Epoch 260, Validation Loss: 41.144892764613914
Epoch 270, Validation Loss: 40.64436361537471
Epoch 280, Validation Loss: 40.15401180560089
Epoch 290, Validation Loss: 39.67246640227604
Epoch 300, Validation Loss: 39.198518894500566
Epoch 310, Validation Loss: 38.731102242469035
Epoch 320, Validation Loss: 38.26927333078338
Epoch 330, Validation Loss: 37.81219823348963
Epoch 340, Validation Loss: 37.35913981361527
Epoch 350, Validation Loss: 36.90944727252329
Epoch 360, Validation Loss: 36.462547338740706
Epoch 370, Validation Loss: 36.01793684576794
Epoch 380, Validation Loss: 35.57517649662333
Epoch 390, Validation Loss: 35.133885651742546
Epoch 400, Validation Loss: 34.693738008011834
Epoch 410, Validation Loss: 34.25445806140623
Epoch 420, Validation Loss: 33.81581826482973
Epoch 430, Validation Loss: 33.37763680694428
Epoch 440, Validation Loss: 32.93977594746257
Epoch 450, Validation Loss: 32.50214084985944
Epoch 460, Validation Loss: 32.064678853937956
Epoch 470, Validation Loss: 31.62737912835628
Epoch 480, Validation Loss: 31.19027263730129
Epoch 490, Validation Loss: 30.753432346309925
Epoch 500, Validation Loss: 30.31697358028149
Epoch 510, Validation Loss: 29.881054432728128
Epoch 520, Validation Loss: 29.445876110302247
Epoch 530, Validation Loss: 29.01168308198733
Epoch 540, Validation Loss: 28.578762889751147
Epoch 550, Validation Loss: 28.147445468951517
Epoch 560, Validation Loss: 27.718101824560748
Epoch 570, Validation Loss: 27.291141915557684
Epoch 580, Validation Loss: 26.86701161660099
Epoch 590, Validation Loss: 26.446188654762107
Epoch 600, Validation Loss: 26.029177460170505
Epoch 610, Validation Loss: 25.616502922199846
Epoch 620, Validation Loss: 25.20870310514624
Epoch 630, Validation Loss: 24.806321045564236
Epoch 640, Validation Loss: 24.40989582254023
Epoch 650, Validation Loss: 24.019953156278813
Epoch 660, Validation Loss: 23.63699584324982
Epoch 670, Validation Loss: 23.261494372082133
Epoch 680, Validation Loss: 22.89387807898329
Epoch 690, Validation Loss: 22.534527192281207
Epoch 700, Validation Loss: 22.183766082689225
Epoch 710, Validation Loss: 21.841857981506575
Epoch 720, Validation Loss: 21.50900135774249
Epoch 730, Validation Loss: 21.185328063170797
Epoch 740, Validation Loss: 20.87090326835949
