Epoch 0, Validation Loss: 70.81116357407198
Epoch 10, Validation Loss: 41.92143559587083
Epoch 20, Validation Loss: 34.01230262961998
Epoch 30, Validation Loss: 26.833233654242665
Epoch 40, Validation Loss: 20.353234461089603
Epoch 50, Validation Loss: 16.12205096039479
Epoch 60, Validation Loss: 13.79335285596532
Epoch 70, Validation Loss: 12.56084416541744
Epoch 80, Validation Loss: 11.67655921792309
Epoch 90, Validation Loss: 10.839842699585951
Epoch 100, Validation Loss: 10.0827119174421
Epoch 110, Validation Loss: 9.470609725444852
Epoch 120, Validation Loss: 8.977364943960763
Epoch 130, Validation Loss: 8.555891766113911
Epoch 140, Validation Loss: 8.190951044887884
Epoch 150, Validation Loss: 7.919832820827832
Epoch 160, Validation Loss: 7.756898248203063
Epoch 170, Validation Loss: 7.660246625864518
Epoch 180, Validation Loss: 7.59043951806427
Epoch 190, Validation Loss: 7.5307861266693426
Epoch 200, Validation Loss: 7.473270376772394
Epoch 210, Validation Loss: 7.4067140051821925
Epoch 220, Validation Loss: 7.32156174486348
Epoch 230, Validation Loss: 7.221216565805203
Epoch 240, Validation Loss: 7.121695594853101
Epoch 250, Validation Loss: 7.039455176367426
Epoch 260, Validation Loss: 6.9830635451767895
Epoch 270, Validation Loss: 6.953287073975861
Epoch 280, Validation Loss: 6.94654128976303
Epoch 290, Validation Loss: 6.957969656092882
Epoch 300, Validation Loss: 6.98332817569684
Epoch 310, Validation Loss: 7.019834525778656
Epoch 320, Validation Loss: 7.065833662096655
Epoch 330, Validation Loss: 7.119470529252138
Epoch 340, Validation Loss: 7.177715240552811
Epoch 350, Validation Loss: 7.2366268505748526
Epoch 360, Validation Loss: 7.292275137876456
Epoch 370, Validation Loss: 7.341559724652633
Epoch 380, Validation Loss: 7.38259455491485
Epoch 390, Validation Loss: 7.414598628015628
Epoch 400, Validation Loss: 7.43757614167626
Epoch 410, Validation Loss: 7.452251059927645
Epoch 420, Validation Loss: 7.460295696904323
Epoch 430, Validation Loss: 7.463923688448236
Epoch 440, Validation Loss: 7.464643190863973
Epoch 450, Validation Loss: 7.4627588996757
Epoch 460, Validation Loss: 7.457876934707665
Epoch 470, Validation Loss: 7.449489390382806
Epoch 480, Validation Loss: 7.437255579562556
Epoch 490, Validation Loss: 7.421053787624469
Epoch 500, Validation Loss: 7.400932597703631
Epoch 510, Validation Loss: 7.37704018232158
Epoch 520, Validation Loss: 7.3495675888147325
Epoch 530, Validation Loss: 7.318717210195764
Epoch 540, Validation Loss: 7.28469447136615
Epoch 550, Validation Loss: 7.2477151731281575
Epoch 560, Validation Loss: 7.208019699752365
Epoch 570, Validation Loss: 7.165886202091807
Epoch 580, Validation Loss: 7.1216371387075394
Epoch 590, Validation Loss: 7.075636783259584
Epoch 600, Validation Loss: 7.028280517090855
Epoch 610, Validation Loss: 6.9799788159862235
Epoch 620, Validation Loss: 6.931139396786199
Epoch 630, Validation Loss: 6.882150405826344
Epoch 640, Validation Loss: 6.833366506036631
Epoch 650, Validation Loss: 6.78509878353886
Epoch 660, Validation Loss: 6.7376087635397255
Epoch 670, Validation Loss: 6.691106487992464
Epoch 680, Validation Loss: 6.6457524603338864
Epoch 690, Validation Loss: 6.601663189659518
Epoch 700, Validation Loss: 6.558919951517623
Epoch 710, Validation Loss: 6.517580079965813
Epoch 720, Validation Loss: 6.47768942272203
Epoch 730, Validation Loss: 6.439293364551934
Epoch 740, Validation Loss: 6.402442230379981
