Epoch 0, Validation Loss: 442.9375816915958
Epoch 10, Validation Loss: 66.35053303581888
Epoch 20, Validation Loss: 61.75355232447174
Epoch 30, Validation Loss: 57.75752006614429
Epoch 40, Validation Loss: 54.48593967911739
Epoch 50, Validation Loss: 51.860756233001894
Epoch 60, Validation Loss: 49.73319702861949
Epoch 70, Validation Loss: 47.97137386175164
Epoch 80, Validation Loss: 46.47536376862902
Epoch 90, Validation Loss: 45.173337734686605
Epoch 100, Validation Loss: 44.01411826100209
Epoch 110, Validation Loss: 42.96089021818471
Epoch 120, Validation Loss: 41.986730439930746
Epoch 130, Validation Loss: 41.07159191265434
Epoch 140, Validation Loss: 40.20029062476993
Epoch 150, Validation Loss: 39.36115380880459
Epoch 160, Validation Loss: 38.54510099638053
Epoch 170, Validation Loss: 37.74501000999292
Epoch 180, Validation Loss: 36.95527271171471
Epoch 190, Validation Loss: 36.17147895136824
Epoch 200, Validation Loss: 35.39018871314883
Epoch 210, Validation Loss: 34.608766525006345
Epoch 220, Validation Loss: 33.825261557842715
Epoch 230, Validation Loss: 33.03832312612129
Epoch 240, Validation Loss: 32.247145397237006
Epoch 250, Validation Loss: 31.451437455741114
Epoch 260, Validation Loss: 30.651415611999518
Epoch 270, Validation Loss: 29.847814035054068
Epoch 280, Validation Loss: 29.041907502891306
Epoch 290, Validation Loss: 28.235536595353864
Epoch 300, Validation Loss: 27.43112172364066
Epoch 310, Validation Loss: 26.63164928357899
Epoch 320, Validation Loss: 25.840612728741085
Epoch 330, Validation Loss: 25.06189531600556
Epoch 340, Validation Loss: 24.299590647051513
Epoch 350, Validation Loss: 23.557770964794873
Epoch 360, Validation Loss: 22.840228096656134
Epoch 370, Validation Loss: 22.150222961427183
Epoch 380, Validation Loss: 21.49028215092703
Epoch 390, Validation Loss: 20.862072641858777
Epoch 400, Validation Loss: 20.266370571649748
Epoch 410, Validation Loss: 19.70312250638053
Epoch 420, Validation Loss: 19.171583277415213
Epoch 430, Validation Loss: 18.670506522397257
Epoch 440, Validation Loss: 18.198362238334056
Epoch 450, Validation Loss: 17.75355612135948
Epoch 460, Validation Loss: 17.33462230823041
Epoch 470, Validation Loss: 16.940351457443608
Epoch 480, Validation Loss: 16.569811331893995
Epoch 490, Validation Loss: 16.22224644509808
Epoch 500, Validation Loss: 15.89691436613668
Epoch 510, Validation Loss: 15.592962688708369
Epoch 520, Validation Loss: 15.309403353777258
Epoch 530, Validation Loss: 15.04515376251015
Epoch 540, Validation Loss: 14.799086020697946
Epoch 550, Validation Loss: 14.570056057095464
Epoch 560, Validation Loss: 14.356915345941896
Epoch 570, Validation Loss: 14.158516187070413
Epoch 580, Validation Loss: 13.973717252702434
Epoch 590, Validation Loss: 13.801391076410578
Epoch 600, Validation Loss: 13.640432753889199
Epoch 610, Validation Loss: 13.489768643974445
Epoch 620, Validation Loss: 13.348364171266148
Epoch 630, Validation Loss: 13.21523031780184
Epoch 640, Validation Loss: 13.089428800138256
Epoch 650, Validation Loss: 12.970076175475869
Epoch 660, Validation Loss: 12.85634719535991
Epoch 670, Validation Loss: 12.747477657521324
Epoch 680, Validation Loss: 12.642766850066826
Epoch 690, Validation Loss: 12.541579505163634
Epoch 700, Validation Loss: 12.443347046870642
Epoch 710, Validation Loss: 12.347567873645843
Epoch 720, Validation Loss: 12.253806469029628
Epoch 730, Validation Loss: 12.161691258468945
Epoch 740, Validation Loss: 12.070911281226417
