Epoch 0, Validation Loss: 528.890734245673
Epoch 10, Validation Loss: 421.6084334846981
Epoch 20, Validation Loss: 194.88606346299687
Epoch 30, Validation Loss: 42.988379528169084
Epoch 40, Validation Loss: 36.83512875538691
Epoch 50, Validation Loss: 31.135880502171805
Epoch 60, Validation Loss: 27.27940435533707
Epoch 70, Validation Loss: 24.48205342065698
Epoch 80, Validation Loss: 22.376378387204117
Epoch 90, Validation Loss: 20.633378683178393
Epoch 100, Validation Loss: 19.06932436408183
Epoch 110, Validation Loss: 17.610501682303084
Epoch 120, Validation Loss: 16.24613866586155
Epoch 130, Validation Loss: 14.996990543486193
Epoch 140, Validation Loss: 13.885075817390272
Epoch 150, Validation Loss: 12.912912887582785
Epoch 160, Validation Loss: 12.07255659294632
Epoch 170, Validation Loss: 11.38677991729188
Epoch 180, Validation Loss: 10.915492244059942
Epoch 190, Validation Loss: 10.672153374198315
Epoch 200, Validation Loss: 10.584789614670651
Epoch 210, Validation Loss: 10.569948897722302
Epoch 220, Validation Loss: 10.580434446072102
Epoch 230, Validation Loss: 10.593916941751825
Epoch 240, Validation Loss: 10.598087121583372
Epoch 250, Validation Loss: 10.583517026312688
Epoch 260, Validation Loss: 10.540482164240384
Epoch 270, Validation Loss: 10.45718159380677
Epoch 280, Validation Loss: 10.31709966298547
Epoch 290, Validation Loss: 10.09570919682819
Epoch 300, Validation Loss: 9.77078913173004
Epoch 310, Validation Loss: 9.357535335719733
Epoch 320, Validation Loss: 8.917529543832734
Epoch 330, Validation Loss: 8.509262509680156
Epoch 340, Validation Loss: 8.160814394619052
Epoch 350, Validation Loss: 7.882735725757674
Epoch 360, Validation Loss: 7.685587860742163
Epoch 370, Validation Loss: 7.597405141772856
Epoch 380, Validation Loss: 7.550710240436452
Epoch 390, Validation Loss: 7.464154461239972
Epoch 400, Validation Loss: 7.3763056009498635
Epoch 410, Validation Loss: 7.304494464326745
Epoch 420, Validation Loss: 7.248232957579927
Epoch 430, Validation Loss: 7.20251155546061
Epoch 440, Validation Loss: 7.162596829048606
Epoch 450, Validation Loss: 7.125459478886024
Epoch 460, Validation Loss: 7.089745141551617
Epoch 470, Validation Loss: 7.055041672739158
Epoch 480, Validation Loss: 7.021225186569163
Epoch 490, Validation Loss: 6.988175193045835
Epoch 500, Validation Loss: 6.955730428293721
Epoch 510, Validation Loss: 6.923723821408587
Epoch 520, Validation Loss: 6.892020773362007
Epoch 530, Validation Loss: 6.860541387876735
Epoch 540, Validation Loss: 6.8292674917263785
Epoch 550, Validation Loss: 6.798238974593071
Epoch 560, Validation Loss: 6.767543008060548
Epoch 570, Validation Loss: 6.737298407927297
Epoch 580, Validation Loss: 6.707636862856447
Epoch 590, Validation Loss: 6.67868295495762
Epoch 600, Validation Loss: 6.6505354431506705
Epoch 610, Validation Loss: 6.623252609669209
Epoch 620, Validation Loss: 6.5968441185201225
Epoch 630, Validation Loss: 6.571270696035829
Epoch 640, Validation Loss: 6.546451343214637
Epoch 650, Validation Loss: 6.522276282991321
Epoch 660, Validation Loss: 6.498622904673025
Epoch 670, Validation Loss: 6.475371779717425
Epoch 680, Validation Loss: 6.4524202899189405
Epoch 690, Validation Loss: 6.429692272401343
Epoch 700, Validation Loss: 6.40714306009162
Epoch 710, Validation Loss: 6.384760152841601
Epoch 720, Validation Loss: 6.362560355274594
Epoch 730, Validation Loss: 6.340584518063206
Epoch 740, Validation Loss: 6.318891050244159
