Epoch 0, Validation Loss: 124.52880424208374
Epoch 10, Validation Loss: 51.58741577377479
Epoch 20, Validation Loss: 43.5224676199193
Epoch 30, Validation Loss: 38.36642633780781
Epoch 40, Validation Loss: 33.85274760396512
Epoch 50, Validation Loss: 29.359019191016937
Epoch 60, Validation Loss: 24.867563988687337
Epoch 70, Validation Loss: 20.821533166734042
Epoch 80, Validation Loss: 17.769869088705416
Epoch 90, Validation Loss: 15.751034227241666
Epoch 100, Validation Loss: 14.38057674592882
Epoch 110, Validation Loss: 13.438252163985767
Epoch 120, Validation Loss: 12.757499312353024
Epoch 130, Validation Loss: 12.21077405789224
Epoch 140, Validation Loss: 11.7235787936248
Epoch 150, Validation Loss: 11.260114620366863
Epoch 160, Validation Loss: 10.812627098901237
Epoch 170, Validation Loss: 10.393159627917703
Epoch 180, Validation Loss: 10.017041773038352
Epoch 190, Validation Loss: 9.682406067913687
Epoch 200, Validation Loss: 9.367616537648809
Epoch 210, Validation Loss: 9.059133544408684
Epoch 220, Validation Loss: 8.769384443149269
Epoch 230, Validation Loss: 8.524503731198658
Epoch 240, Validation Loss: 8.334712255371745
Epoch 250, Validation Loss: 8.191133147918888
Epoch 260, Validation Loss: 8.07899950397847
Epoch 270, Validation Loss: 7.985477992712538
Epoch 280, Validation Loss: 7.90280139821565
Epoch 290, Validation Loss: 7.828836143840424
Epoch 300, Validation Loss: 7.764931183763311
Epoch 310, Validation Loss: 7.712408748222362
Epoch 320, Validation Loss: 7.670828751717455
Epoch 330, Validation Loss: 7.638676426481536
Epoch 340, Validation Loss: 7.6145175206887625
Epoch 350, Validation Loss: 7.5973647152897925
Epoch 360, Validation Loss: 7.586367042970894
Epoch 370, Validation Loss: 7.580357515188223
Epoch 380, Validation Loss: 7.577678847805565
Epoch 390, Validation Loss: 7.576417419967708
Epoch 400, Validation Loss: 7.57487738803915
Epoch 410, Validation Loss: 7.572002352030616
Epoch 420, Validation Loss: 7.567549503532658
Epoch 430, Validation Loss: 7.562001811224981
Epoch 440, Validation Loss: 7.556318835427211
Epoch 450, Validation Loss: 7.551645286748604
Epoch 460, Validation Loss: 7.549064052013527
Epoch 470, Validation Loss: 7.549437884713723
Epoch 480, Validation Loss: 7.553345839692143
Epoch 490, Validation Loss: 7.561092424730502
