Epoch 0, Validation Loss: 488.93752517792575
Epoch 10, Validation Loss: 103.58427124033473
Epoch 20, Validation Loss: 69.39746827968546
Epoch 30, Validation Loss: 70.55725717066377
Epoch 40, Validation Loss: 70.78097533845664
Epoch 50, Validation Loss: 70.77495725006179
Epoch 60, Validation Loss: 70.73699954696569
Epoch 70, Validation Loss: 70.69398552471426
Epoch 80, Validation Loss: 70.64920408318861
Epoch 90, Validation Loss: 70.60290999590411
Epoch 100, Validation Loss: 70.55497960493507
Epoch 110, Validation Loss: 70.50525103524659
Epoch 120, Validation Loss: 70.45356809115124
Epoch 130, Validation Loss: 70.39978612821905
Epoch 140, Validation Loss: 70.34377287046695
Epoch 150, Validation Loss: 70.28540838132089
Epoch 160, Validation Loss: 70.224584735479
Epoch 170, Validation Loss: 70.16120547983832
Epoch 180, Validation Loss: 70.09518492059317
Epoch 190, Validation Loss: 70.02644727369007
Epoch 200, Validation Loss: 69.95492572111823
Epoch 210, Validation Loss: 69.8805614198025
Epoch 220, Validation Loss: 69.8033025120564
Epoch 230, Validation Loss: 69.72310318634798
Epoch 240, Validation Loss: 69.639922834435
Epoch 250, Validation Loss: 69.55372534579779
Epoch 260, Validation Loss: 69.4644785729119
Epoch 270, Validation Loss: 69.37215399152505
Epoch 280, Validation Loss: 69.27672656907004
Epoch 290, Validation Loss: 69.1781748420411
Epoch 300, Validation Loss: 69.0764811900143
Epoch 310, Validation Loss: 68.97163228045629
Epoch 320, Validation Loss: 68.86361964505677
Epoch 330, Validation Loss: 68.75244033560197
Epoch 340, Validation Loss: 68.63809759602458
Epoch 350, Validation Loss: 68.52060147794475
Epoch 360, Validation Loss: 68.39996932053909
Epoch 370, Validation Loss: 68.27622601274925
Epoch 380, Validation Loss: 68.1494039574239
Epoch 390, Validation Loss: 68.01954266356661
Epoch 400, Validation Loss: 67.88668790474965
Epoch 410, Validation Loss: 67.75089039882783
Epoch 420, Validation Loss: 67.61220398570059
Epoch 430, Validation Loss: 67.47068330477394
Epoch 440, Validation Loss: 67.32638100014675
Epoch 450, Validation Loss: 67.17934450710868
Epoch 460, Validation Loss: 67.02961249578243
Epoch 470, Validation Loss: 66.87721106423061
Epoch 480, Validation Loss: 66.7221497820527
Epoch 490, Validation Loss: 66.56441768510759
