Epoch 0, Validation Loss: 111.17633912588587
Epoch 10, Validation Loss: 70.41209425478293
Epoch 20, Validation Loss: 70.85540039048732
Epoch 30, Validation Loss: 70.85626790074582
Epoch 40, Validation Loss: 70.85627033587238
Epoch 50, Validation Loss: 70.85627135113012
Epoch 60, Validation Loss: 70.85627237448482
Epoch 70, Validation Loss: 70.85627364851777
Epoch 80, Validation Loss: 70.8562747342853
Epoch 90, Validation Loss: 70.85627583706349
Epoch 100, Validation Loss: 70.85627734706004
Epoch 110, Validation Loss: 70.85627853217598
Epoch 120, Validation Loss: 70.85627974067238
Epoch 130, Validation Loss: 70.8562809789087
Epoch 140, Validation Loss: 70.85628289645702
Epoch 150, Validation Loss: 70.8562842554758
Epoch 160, Validation Loss: 70.8562856377801
Epoch 170, Validation Loss: 70.85628707516693
Epoch 180, Validation Loss: 70.85628955070298
Epoch 190, Validation Loss: 70.85629115075908
Epoch 200, Validation Loss: 70.8562927826091
Epoch 210, Validation Loss: 70.85629449450323
Epoch 220, Validation Loss: 70.85629770400327
Epoch 230, Validation Loss: 70.8562996275967
Epoch 240, Validation Loss: 70.85630162709785
Epoch 250, Validation Loss: 70.85630371766737
Epoch 260, Validation Loss: 70.85630790728445
Epoch 270, Validation Loss: 70.8563102811906
Epoch 280, Validation Loss: 70.85631274076192
Epoch 290, Validation Loss: 70.85631532558891
Epoch 300, Validation Loss: 70.85631804788034
Epoch 310, Validation Loss: 70.85632082940853
Epoch 320, Validation Loss: 70.85632700286989
Epoch 330, Validation Loss: 70.85633026542166
Epoch 340, Validation Loss: 70.8563337258664
Epoch 350, Validation Loss: 70.85633731782718
Epoch 360, Validation Loss: 70.85634118938003
Epoch 370, Validation Loss: 70.85634516730418
Epoch 380, Validation Loss: 70.85635434808962
Epoch 390, Validation Loss: 70.85635914275427
Epoch 400, Validation Loss: 70.85636418137369
Epoch 410, Validation Loss: 70.85636957773711
Epoch 420, Validation Loss: 70.85637553542365
Epoch 430, Validation Loss: 70.85638176762279
Epoch 440, Validation Loss: 70.85638855837946
Epoch 450, Validation Loss: 70.85639592352021
Epoch 460, Validation Loss: 70.85640387641982
Epoch 470, Validation Loss: 70.85642200406845
Epoch 480, Validation Loss: 70.85643164125567
Epoch 490, Validation Loss: 70.85644182431554
Epoch 500, Validation Loss: 70.8564526928
Epoch 510, Validation Loss: 70.85646414052746
Epoch 520, Validation Loss: 70.85647647336589
Epoch 530, Validation Loss: 70.8565041266553
Epoch 540, Validation Loss: 70.85651885214985
Epoch 550, Validation Loss: 70.85653454461578
Epoch 560, Validation Loss: 70.8565510407448
Epoch 570, Validation Loss: 70.8565688210237
Epoch 580, Validation Loss: 70.85660855721878
Epoch 590, Validation Loss: 70.85662989445231
Epoch 600, Validation Loss: 70.85665269539516
Epoch 610, Validation Loss: 70.85670291171793
Epoch 620, Validation Loss: 70.85673025304008
Epoch 630, Validation Loss: 70.85675968504047
Epoch 640, Validation Loss: 70.85682337478333
Epoch 650, Validation Loss: 70.8568649967784
Epoch 660, Validation Loss: 70.85691718645862
Epoch 670, Validation Loss: 70.85703189505102
Epoch 680, Validation Loss: 70.85688250233781
Epoch 690, Validation Loss: 70.85712099523725
Epoch 700, Validation Loss: 70.85693504750834
Epoch 710, Validation Loss: 70.85726937060576
Epoch 720, Validation Loss: 70.856968526087
Epoch 730, Validation Loss: 70.85686020128821
Epoch 740, Validation Loss: 70.85713181602598
