Epoch 0, Validation Loss: 9001.562404271355
Epoch 10, Validation Loss: 6.412354281493252e+31
Epoch 20, Validation Loss: 7.594503997902147e+60
Epoch 30, Validation Loss: 8.994588898552945e+89
Epoch 40, Validation Loss: 1.0652786472470035e+119
Epoch 50, Validation Loss: 1.2616681085479956e+148
Epoch 60, Validation Loss: 1.4942629519898568e+177
Epoch 70, Validation Loss: 1.7697378213507382e+206
Epoch 80, Validation Loss: 2.0959978644645584e+235
Epoch 90, Validation Loss: 2.4824055828150546e+264
Epoch 100, Validation Loss: 2.9400495019900864e+293
/home/mananchichra/Downloads/SMAI_ASSIGNMENT/models/MLP/MLPReg.py:84: RuntimeWarning: invalid value encountered in multiply
  dz = np.dot(dz, self.weights[i+1].T) * self._activation_derivative(self.z[i])
