Epoch 0, Validation Loss: 528.8560429271485
Epoch 10, Validation Loss: 415.3486997039898
Epoch 20, Validation Loss: 109.78978148409523
Epoch 30, Validation Loss: 39.63958076912463
Epoch 40, Validation Loss: 34.207740129719056
Epoch 50, Validation Loss: 29.9764750875665
Epoch 60, Validation Loss: 27.083656695804272
Epoch 70, Validation Loss: 25.07028979767617
Epoch 80, Validation Loss: 23.58755941136786
Epoch 90, Validation Loss: 22.38060180869166
Epoch 100, Validation Loss: 21.312276031475548
Epoch 110, Validation Loss: 20.317065109545883
Epoch 120, Validation Loss: 19.36713532071288
Epoch 130, Validation Loss: 18.453241507270825
Epoch 140, Validation Loss: 17.573413568767023
Epoch 150, Validation Loss: 16.72682090102317
Epoch 160, Validation Loss: 15.910123517669486
Epoch 170, Validation Loss: 15.114954496748524
Epoch 180, Validation Loss: 14.328207361528017
Epoch 190, Validation Loss: 13.537325143819666
Epoch 200, Validation Loss: 12.739429795071525
Epoch 210, Validation Loss: 11.948754386312595
Epoch 220, Validation Loss: 11.19538363831911
Epoch 230, Validation Loss: 10.513637159188857
Epoch 240, Validation Loss: 9.927651500098301
Epoch 250, Validation Loss: 9.444301217611093
Epoch 260, Validation Loss: 9.056221941271138
Epoch 270, Validation Loss: 8.749350332605463
Epoch 280, Validation Loss: 8.508578074592384
Epoch 290, Validation Loss: 8.319694394175077
Epoch 300, Validation Loss: 8.169445725342134
Epoch 310, Validation Loss: 8.045570397465154
Epoch 320, Validation Loss: 7.937114025584617
Epoch 330, Validation Loss: 7.8351526109470235
Epoch 340, Validation Loss: 7.734115136507775
Epoch 350, Validation Loss: 7.632321470846134
Epoch 360, Validation Loss: 7.530878399059254
Epoch 370, Validation Loss: 7.4321760463186095
Epoch 380, Validation Loss: 7.3385034387140795
Epoch 390, Validation Loss: 7.251212150829269
Epoch 400, Validation Loss: 7.170741375754915
Epoch 410, Validation Loss: 7.096890143791239
Epoch 420, Validation Loss: 7.029087339800683
Epoch 430, Validation Loss: 6.966691643831834
Epoch 440, Validation Loss: 6.909240707615385
Epoch 450, Validation Loss: 6.856569820830491
Epoch 460, Validation Loss: 6.8088025167111015
Epoch 470, Validation Loss: 6.766270480527471
Epoch 480, Validation Loss: 6.7294209463249475
Epoch 490, Validation Loss: 6.698735933845997
Epoch 500, Validation Loss: 6.674652459647682
Epoch 510, Validation Loss: 6.657457890873446
Epoch 520, Validation Loss: 6.647147019977173
Epoch 530, Validation Loss: 6.643271019339726
Epoch 540, Validation Loss: 6.644868410960613
Epoch 550, Validation Loss: 6.650575949424308
Epoch 560, Validation Loss: 6.658908637714937
Epoch 570, Validation Loss: 6.668557113819942
Epoch 580, Validation Loss: 6.678547084097175
Epoch 590, Validation Loss: 6.68823687097892
Epoch 600, Validation Loss: 6.697232549291548
Epoch 610, Validation Loss: 6.705300270536216
Epoch 620, Validation Loss: 6.712308182618545
Epoch 630, Validation Loss: 6.718195849968863
Epoch 640, Validation Loss: 6.722958781197878
Epoch 650, Validation Loss: 6.726638207871346
Epoch 660, Validation Loss: 6.7293114070178595
Epoch 670, Validation Loss: 6.731081467154562
Epoch 680, Validation Loss: 6.732066956425384
Epoch 690, Validation Loss: 6.732392191847389
Epoch 700, Validation Loss: 6.732178548486853
Epoch 710, Validation Loss: 6.73153701685344
Epoch 720, Validation Loss: 6.730562203055882
Epoch 730, Validation Loss: 6.729328088525522
Epoch 740, Validation Loss: 6.7278859239886994
