Epoch 0, Validation Loss: 455.5327200216746
Epoch 10, Validation Loss: 21.94063014535689
Epoch 20, Validation Loss: 27.905149968989647
Epoch 30, Validation Loss: 21.688175087318257
Epoch 40, Validation Loss: 17.099705012879745
Epoch 50, Validation Loss: 24.321555401312374
Epoch 60, Validation Loss: 24.528127518845594
Epoch 70, Validation Loss: 25.53686912939138
Epoch 80, Validation Loss: 17.18340757508277
Epoch 90, Validation Loss: 15.2163691384862
Epoch 100, Validation Loss: 25.282027456624455
Epoch 110, Validation Loss: 22.905165203519434
Epoch 120, Validation Loss: 20.110110290764954
Epoch 130, Validation Loss: 22.556976364983807
Epoch 140, Validation Loss: 21.912481271688293
Epoch 150, Validation Loss: 22.110232890577805
Epoch 160, Validation Loss: 20.21662741820535
Epoch 170, Validation Loss: 21.099987479223408
Epoch 180, Validation Loss: 23.296705823609823
Epoch 190, Validation Loss: 22.887345003995836
Epoch 200, Validation Loss: 22.71367401813598
Epoch 210, Validation Loss: 24.590623952737918
Epoch 220, Validation Loss: 21.338129337611374
Epoch 230, Validation Loss: 25.86340045754108
Epoch 240, Validation Loss: 21.362814015964307
Epoch 250, Validation Loss: 19.90532367462402
Epoch 260, Validation Loss: 30.356889421083643
Epoch 270, Validation Loss: 18.08719287959507
Epoch 280, Validation Loss: 14.312427679927021
Epoch 290, Validation Loss: 15.563619823140288
Epoch 300, Validation Loss: 15.27255076155316
Epoch 310, Validation Loss: 16.18693714398812
Epoch 320, Validation Loss: 20.30535682274053
Epoch 330, Validation Loss: 17.06535997420588
Epoch 340, Validation Loss: 18.100462953399038
Epoch 350, Validation Loss: 18.0622536070491
Epoch 360, Validation Loss: 19.230638375425507
Epoch 370, Validation Loss: 20.255547138419896
Epoch 380, Validation Loss: 18.719346444563605
Epoch 390, Validation Loss: 18.968483213816178
Epoch 400, Validation Loss: 20.168634981471165
Epoch 410, Validation Loss: 19.890320987670094
Epoch 420, Validation Loss: 19.614900906727353
Epoch 430, Validation Loss: 20.8226208462474
Epoch 440, Validation Loss: 21.863371242445584
Epoch 450, Validation Loss: 20.769774262491904
Epoch 460, Validation Loss: 20.83169681973794
Epoch 470, Validation Loss: 24.663992094042143
Epoch 480, Validation Loss: 21.55216349370164
Epoch 490, Validation Loss: 19.836586432933345
