Epoch 0, Validation Loss: 138.99478559195316
Epoch 10, Validation Loss: 69.4632968920102
Epoch 20, Validation Loss: 69.46331395200518
Epoch 30, Validation Loss: 69.46472437910356
Epoch 40, Validation Loss: 69.4634408536302
Epoch 50, Validation Loss: 69.47667105995835
Epoch 60, Validation Loss: 69.4633139998864
Epoch 70, Validation Loss: 69.46331395819485
Epoch 80, Validation Loss: 69.4633139581947
Epoch 90, Validation Loss: 69.4633139581947
Epoch 100, Validation Loss: 69.4633139581947
Epoch 110, Validation Loss: 69.4633139581947
Epoch 120, Validation Loss: 69.4633139581947
Epoch 130, Validation Loss: 69.4633139581947
Epoch 140, Validation Loss: 69.4633139581947
Epoch 150, Validation Loss: 69.4633139581947
Epoch 160, Validation Loss: 69.4633139581947
Epoch 170, Validation Loss: 69.4633139581947
Epoch 180, Validation Loss: 69.4633139581947
Epoch 190, Validation Loss: 69.4633139581947
Epoch 200, Validation Loss: 69.4633139581947
Epoch 210, Validation Loss: 69.4633139581947
Epoch 220, Validation Loss: 69.4633139581947
Epoch 230, Validation Loss: 69.4633139581947
Epoch 240, Validation Loss: 69.4633139581947
Epoch 250, Validation Loss: 69.4633139581947
Epoch 260, Validation Loss: 69.4633139581947
Epoch 270, Validation Loss: 69.4633139581947
Epoch 280, Validation Loss: 69.4633139581947
Epoch 290, Validation Loss: 69.4633139581947
Epoch 300, Validation Loss: 69.4633139581947
Epoch 310, Validation Loss: 69.4633139581947
Epoch 320, Validation Loss: 69.4633139581947
Epoch 330, Validation Loss: 69.4633139581947
Epoch 340, Validation Loss: 69.4633139581947
Epoch 350, Validation Loss: 69.4633139581947
Epoch 360, Validation Loss: 69.4633139581947
Epoch 370, Validation Loss: 69.4633139581947
Epoch 380, Validation Loss: 69.4633139581947
Epoch 390, Validation Loss: 69.4633139581947
Epoch 400, Validation Loss: 69.4633139581947
Epoch 410, Validation Loss: 69.4633139581947
Epoch 420, Validation Loss: 69.4633139581947
Epoch 430, Validation Loss: 69.4633139581947
Epoch 440, Validation Loss: 69.4633139581947
Epoch 450, Validation Loss: 69.4633139581947
Epoch 460, Validation Loss: 69.4633139581947
Epoch 470, Validation Loss: 69.4633139581947
Epoch 480, Validation Loss: 69.4633139581947
Epoch 490, Validation Loss: 69.4633139581947
Epoch 500, Validation Loss: 69.4633139581947
Epoch 510, Validation Loss: 69.4633139581947
Epoch 520, Validation Loss: 69.4633139581947
Epoch 530, Validation Loss: 69.4633139581947
Epoch 540, Validation Loss: 69.4633139581947
Epoch 550, Validation Loss: 69.4633139581947
Epoch 560, Validation Loss: 69.4633139581947
Epoch 570, Validation Loss: 69.4633139581947
Epoch 580, Validation Loss: 69.4633139581947
Epoch 590, Validation Loss: 69.4633139581947
Epoch 600, Validation Loss: 69.4633139581947
Epoch 610, Validation Loss: 69.4633139581947
Epoch 620, Validation Loss: 69.4633139581947
Epoch 630, Validation Loss: 69.4633139581947
Epoch 640, Validation Loss: 69.4633139581947
Epoch 650, Validation Loss: 69.4633139581947
Epoch 660, Validation Loss: 69.4633139581947
Epoch 670, Validation Loss: 69.4633139581947
Epoch 680, Validation Loss: 69.4633139581947
Epoch 690, Validation Loss: 69.4633139581947
Epoch 700, Validation Loss: 69.4633139581947
Epoch 710, Validation Loss: 69.4633139581947
Epoch 720, Validation Loss: 69.4633139581947
Epoch 730, Validation Loss: 69.4633139581947
Epoch 740, Validation Loss: 69.4633139581947
Epoch 750, Validation Loss: 69.4633139581947
Epoch 760, Validation Loss: 69.4633139581947
Epoch 770, Validation Loss: 69.4633139581947
Epoch 780, Validation Loss: 69.4633139581947
Epoch 790, Validation Loss: 69.4633139581947
Epoch 800, Validation Loss: 69.4633139581947
Epoch 810, Validation Loss: 69.4633139581947
Epoch 820, Validation Loss: 69.4633139581947
Epoch 830, Validation Loss: 69.4633139581947
Epoch 840, Validation Loss: 69.4633139581947
Epoch 850, Validation Loss: 69.4633139581947
Epoch 860, Validation Loss: 69.4633139581947
Epoch 870, Validation Loss: 69.4633139581947
Epoch 880, Validation Loss: 69.4633139581947
Epoch 890, Validation Loss: 69.4633139581947
Epoch 900, Validation Loss: 69.4633139581947
Epoch 910, Validation Loss: 69.4633139581947
Epoch 920, Validation Loss: 69.4633139581947
Epoch 930, Validation Loss: 69.4633139581947
Epoch 940, Validation Loss: 69.4633139581947
Epoch 950, Validation Loss: 69.4633139581947
Epoch 960, Validation Loss: 69.4633139581947
Epoch 970, Validation Loss: 69.4633139581947
Epoch 980, Validation Loss: 69.4633139581947
Epoch 990, Validation Loss: 69.4633139581947
