Epoch 0, Validation Loss: 483.44366746076173
Epoch 10, Validation Loss: 10.831760642812739
Epoch 20, Validation Loss: 9.510873480929016
Epoch 30, Validation Loss: 9.020942399941934
Epoch 40, Validation Loss: 8.299989586979848
Epoch 50, Validation Loss: 7.70440907255371
Epoch 60, Validation Loss: 7.359120705903035
Epoch 70, Validation Loss: 7.079474252390104
Epoch 80, Validation Loss: 6.813850054863023
Epoch 90, Validation Loss: 6.683352186054072
Epoch 100, Validation Loss: 6.585682319320705
Epoch 110, Validation Loss: 6.486867147965737
Epoch 120, Validation Loss: 6.429176689416377
Epoch 130, Validation Loss: 6.352673121413718
Epoch 140, Validation Loss: 6.316574152601885
Epoch 150, Validation Loss: 6.297036644443487
Epoch 160, Validation Loss: 6.230899999987455
Epoch 170, Validation Loss: 6.17957599872286
Epoch 180, Validation Loss: 6.193359463840341
Epoch 190, Validation Loss: 6.1869355504723185
Epoch 200, Validation Loss: 6.163432079666154
Epoch 210, Validation Loss: 6.134916950203042
Epoch 220, Validation Loss: 6.163357343492311
Epoch 230, Validation Loss: 6.1904483696213735
Epoch 240, Validation Loss: 6.18238407691073
Epoch 250, Validation Loss: 6.164600905601871
Epoch 260, Validation Loss: 6.14899094704192
Epoch 270, Validation Loss: 6.139298413361371
Epoch 280, Validation Loss: 6.181554770962838
Epoch 290, Validation Loss: 6.159759477863109
Epoch 300, Validation Loss: 6.2141647248306136
Epoch 310, Validation Loss: 6.300967552756279
Epoch 320, Validation Loss: 6.277842147853792
Epoch 330, Validation Loss: 6.365004908955127
Epoch 340, Validation Loss: 6.407411446012631
Epoch 350, Validation Loss: 6.417707516912156
Epoch 360, Validation Loss: 6.756003097983923
Epoch 370, Validation Loss: 6.355625682459578
Epoch 380, Validation Loss: 6.686777954737361
Epoch 390, Validation Loss: 6.537161572467297
Epoch 400, Validation Loss: 6.2379166599084
Epoch 410, Validation Loss: 6.540307740308905
Epoch 420, Validation Loss: 6.900041270655567
Epoch 430, Validation Loss: 6.626743702500883
Epoch 440, Validation Loss: 6.2469641612733
Epoch 450, Validation Loss: 6.16550481353635
Epoch 460, Validation Loss: 6.989601041349977
Epoch 470, Validation Loss: 6.735625970902481
Epoch 480, Validation Loss: 6.2256900060682625
Epoch 490, Validation Loss: 6.030218069445277
