Epoch 0, Validation Loss: 121.20073187474459
Epoch 10, Validation Loss: 69.46331324225464
Epoch 20, Validation Loss: 69.46332555736929
Epoch 30, Validation Loss: 69.46332307067968
Epoch 40, Validation Loss: 69.46332058941678
Epoch 50, Validation Loss: 69.4633181130781
Epoch 60, Validation Loss: 69.46331564111986
Epoch 70, Validation Loss: 69.463313173004
Epoch 80, Validation Loss: 69.46331070819801
Epoch 90, Validation Loss: 69.46330824617431
Epoch 100, Validation Loss: 69.46330578640988
Epoch 110, Validation Loss: 69.46330332838586
Epoch 120, Validation Loss: 69.46330087158702
Epoch 130, Validation Loss: 69.46329841550147
Epoch 140, Validation Loss: 69.46329595962018
Epoch 150, Validation Loss: 69.46329350343663
Epoch 160, Validation Loss: 69.46329104644643
Epoch 170, Validation Loss: 69.46328858814682
Epoch 180, Validation Loss: 69.4632861280364
Epoch 190, Validation Loss: 69.46328366561478
Epoch 200, Validation Loss: 69.4632812003821
Epoch 210, Validation Loss: 69.46327873183868
Epoch 220, Validation Loss: 69.46327625948477
Epoch 230, Validation Loss: 69.46327378282001
Epoch 240, Validation Loss: 69.46327130134317
Epoch 250, Validation Loss: 69.4632688145518
Epoch 260, Validation Loss: 69.46326632194172
Epoch 270, Validation Loss: 69.46326382300687
Epoch 280, Validation Loss: 69.46326131723876
Epoch 290, Validation Loss: 69.4632588041262
Epoch 300, Validation Loss: 69.46325628315482
Epoch 310, Validation Loss: 69.46325375380688
Epoch 320, Validation Loss: 69.46325121556069
Epoch 330, Validation Loss: 69.46324866789031
Epoch 340, Validation Loss: 69.46324611026525
Epoch 350, Validation Loss: 69.4632435421499
Epoch 360, Validation Loss: 69.46324096300322
Epoch 370, Validation Loss: 69.46323837227837
Epoch 380, Validation Loss: 69.46323576942223
Epoch 390, Validation Loss: 69.46323315387504
Epoch 400, Validation Loss: 69.46323052506983
Epoch 410, Validation Loss: 69.46322788243224
Epoch 420, Validation Loss: 69.46322522537967
Epoch 430, Validation Loss: 69.46322255332132
Epoch 440, Validation Loss: 69.46321986565722
Epoch 450, Validation Loss: 69.46321716177812
Epoch 460, Validation Loss: 69.4632144410648
Epoch 470, Validation Loss: 69.4632117028875
Epoch 480, Validation Loss: 69.46320894660565
Epoch 490, Validation Loss: 69.463206171567
Epoch 500, Validation Loss: 69.4632033771073
Epoch 510, Validation Loss: 69.4632005625496
Epoch 520, Validation Loss: 69.46319772720369
Epoch 530, Validation Loss: 69.46319487036543
Epoch 540, Validation Loss: 69.46319199131621
Epoch 550, Validation Loss: 69.46318908932216
Epoch 560, Validation Loss: 69.46318616363345
Epoch 570, Validation Loss: 69.46318321348376
Epoch 580, Validation Loss: 69.46318023808934
Epoch 590, Validation Loss: 69.46317723664826
Epoch 600, Validation Loss: 69.46317420833971
Epoch 610, Validation Loss: 69.46317115232307
Epoch 620, Validation Loss: 69.46316806773706
Epoch 630, Validation Loss: 69.46316495369881
Epoch 640, Validation Loss: 69.46316180930303
Epoch 650, Validation Loss: 69.46315863362082
Epoch 660, Validation Loss: 69.4631554256988
Epoch 670, Validation Loss: 69.463152184558
Epoch 680, Validation Loss: 69.4631489091927
Epoch 690, Validation Loss: 69.46314559856923
Epoch 700, Validation Loss: 69.46314225162486
Epoch 710, Validation Loss: 69.46313886726638
Epoch 720, Validation Loss: 69.46313544436882
Epoch 730, Validation Loss: 69.46313198177404
Epoch 740, Validation Loss: 69.46312847828926
Epoch 750, Validation Loss: 69.4631249326854
Epoch 760, Validation Loss: 69.46312134369563
Epoch 770, Validation Loss: 69.46311771001349
Epoch 780, Validation Loss: 69.46311403029127
Epoch 790, Validation Loss: 69.46311030313788
Epoch 800, Validation Loss: 69.46310652711712
Epoch 810, Validation Loss: 69.46310270074542
Epoch 820, Validation Loss: 69.46309882248974
Epoch 830, Validation Loss: 69.46309489076518
Epoch 840, Validation Loss: 69.46309090393254
Epoch 850, Validation Loss: 69.46308686029583
Epoch 860, Validation Loss: 69.46308275809947
Epoch 870, Validation Loss: 69.46307859552543
Epoch 880, Validation Loss: 69.46307437069025
Epoch 890, Validation Loss: 69.46307008164182
Epoch 900, Validation Loss: 69.46306572635592
Epoch 910, Validation Loss: 69.46306130273275
Epoch 920, Validation Loss: 69.46305680859308
Epoch 930, Validation Loss: 69.46305224167425
Epoch 940, Validation Loss: 69.46304759962587
Epoch 950, Validation Loss: 69.46304288000533
Epoch 960, Validation Loss: 69.46303808027314
Epoch 970, Validation Loss: 69.46303319778754
Epoch 980, Validation Loss: 69.46302822979933
Epoch 990, Validation Loss: 69.46302317344609
