Epoch 0, Validation Loss: 483.6740959038927
Epoch 10, Validation Loss: 29.025818351047022
Epoch 20, Validation Loss: 23.17763073538356
Epoch 30, Validation Loss: 19.561575746378487
Epoch 40, Validation Loss: 21.8256480195158
Epoch 50, Validation Loss: 19.27909161671978
Epoch 60, Validation Loss: 17.2709292370314
Epoch 70, Validation Loss: 16.090826309132826
Epoch 80, Validation Loss: 14.811845043551429
Epoch 90, Validation Loss: 13.33135469954378
Epoch 100, Validation Loss: 11.648855136941568
Epoch 110, Validation Loss: 10.233396174195489
Epoch 120, Validation Loss: 9.349567901941827
Epoch 130, Validation Loss: 8.627139904314964
Epoch 140, Validation Loss: 7.9789035138747035
Epoch 150, Validation Loss: 7.443004554744744
Epoch 160, Validation Loss: 7.076558636563732
Epoch 170, Validation Loss: 6.826941844216422
Epoch 180, Validation Loss: 6.647038576609114
Epoch 190, Validation Loss: 6.515039361753319
Epoch 200, Validation Loss: 6.410340548768626
Epoch 210, Validation Loss: 6.329622983991804
Epoch 220, Validation Loss: 6.269806446373276
Epoch 230, Validation Loss: 6.2242247781427125
Epoch 240, Validation Loss: 6.186755917200679
Epoch 250, Validation Loss: 6.153389978665629
Epoch 260, Validation Loss: 6.121150934408358
Epoch 270, Validation Loss: 6.086849771190778
Epoch 280, Validation Loss: 6.046577749358683
Epoch 290, Validation Loss: 5.996569584200744
Epoch 300, Validation Loss: 5.936458044708359
Epoch 310, Validation Loss: 5.8718326732043
Epoch 320, Validation Loss: 5.810713132142732
Epoch 330, Validation Loss: 5.758969166887212
Epoch 340, Validation Loss: 5.718969704470955
Epoch 350, Validation Loss: 5.689628724103601
Epoch 360, Validation Loss: 5.667660477852647
Epoch 370, Validation Loss: 5.649404398489659
Epoch 380, Validation Loss: 5.632007829005227
Epoch 390, Validation Loss: 5.613743285806682
Epoch 400, Validation Loss: 5.593859940008851
Epoch 410, Validation Loss: 5.5723127512567165
Epoch 420, Validation Loss: 5.549485208669111
Epoch 430, Validation Loss: 5.525871452878898
Epoch 440, Validation Loss: 5.501691421379711
Epoch 450, Validation Loss: 5.476594879482155
Epoch 460, Validation Loss: 5.4498173212662815
Epoch 470, Validation Loss: 5.421040359706455
Epoch 480, Validation Loss: 5.391537822257985
Epoch 490, Validation Loss: 5.364510279339581
