Epoch 0, Validation Loss: 137.0218066650144
Epoch 10, Validation Loss: 14.660573068093282
Epoch 20, Validation Loss: 13.84426776084374
Epoch 30, Validation Loss: 17.191172071880267
Epoch 40, Validation Loss: 10.057446802512587
Epoch 50, Validation Loss: 8.990614945049453
Epoch 60, Validation Loss: 8.14008510326207
Epoch 70, Validation Loss: 7.8982757594398665
Epoch 80, Validation Loss: 7.8530932972903145
Epoch 90, Validation Loss: 7.727451637531931
Epoch 100, Validation Loss: 7.500783270190845
Epoch 110, Validation Loss: 7.187836759084082
Epoch 120, Validation Loss: 6.8694704824545365
Epoch 130, Validation Loss: 6.614125933312707
Epoch 140, Validation Loss: 6.4145884576075956
Epoch 150, Validation Loss: 6.252972070724755
Epoch 160, Validation Loss: 6.1379279058810665
Epoch 170, Validation Loss: 6.089738282038606
Epoch 180, Validation Loss: 6.091707709471209
Epoch 190, Validation Loss: 6.098919310733485
Epoch 200, Validation Loss: 6.098475170709678
Epoch 210, Validation Loss: 6.098225891133873
Epoch 220, Validation Loss: 6.104603227766601
Epoch 230, Validation Loss: 6.122609330725791
Epoch 240, Validation Loss: 6.153213848581825
Epoch 250, Validation Loss: 6.187751252673462
Epoch 260, Validation Loss: 6.209958182637454
Epoch 270, Validation Loss: 6.205364477809345
Epoch 280, Validation Loss: 6.174761706582014
Epoch 290, Validation Loss: 6.131161503577779
Epoch 300, Validation Loss: 6.087286243487348
Epoch 310, Validation Loss: 6.051476972184471
Epoch 320, Validation Loss: 6.029100116193419
Epoch 330, Validation Loss: 6.023864868113437
Epoch 340, Validation Loss: 6.0374050135421315
Epoch 350, Validation Loss: 6.068311364872682
Epoch 360, Validation Loss: 6.112522063725519
Epoch 370, Validation Loss: 6.16462869704959
Epoch 380, Validation Loss: 6.21959356959182
Epoch 390, Validation Loss: 6.274431856558132
Epoch 400, Validation Loss: 6.328500814119397
Epoch 410, Validation Loss: 6.382475233650581
Epoch 420, Validation Loss: 6.436845088223675
Epoch 430, Validation Loss: 6.4913342115764925
Epoch 440, Validation Loss: 6.547032071244263
Epoch 450, Validation Loss: 6.608470777902974
Epoch 460, Validation Loss: 6.676731138793561
Epoch 470, Validation Loss: 6.743497753444658
Epoch 480, Validation Loss: 6.8038383697538425
Epoch 490, Validation Loss: 6.859278223197986
Epoch 500, Validation Loss: 6.912614356976755
Epoch 510, Validation Loss: 6.965220567889571
Epoch 520, Validation Loss: 7.017093277751376
Epoch 530, Validation Loss: 7.068062204284611
Epoch 540, Validation Loss: 7.118272614012993
Epoch 550, Validation Loss: 7.167950385731015
Epoch 560, Validation Loss: 7.217182360902115
Epoch 570, Validation Loss: 7.265939620034791
Epoch 580, Validation Loss: 7.31424638239366
Epoch 590, Validation Loss: 7.362363250108998
Epoch 600, Validation Loss: 7.410894500183305
Epoch 610, Validation Loss: 7.460768209501269
Epoch 620, Validation Loss: 7.513065128376513
Epoch 630, Validation Loss: 7.568652050250593
Epoch 640, Validation Loss: 7.627491991009422
Epoch 650, Validation Loss: 7.687768711367144
Epoch 660, Validation Loss: 7.746208834778508
Epoch 670, Validation Loss: 7.8004623123740675
Epoch 680, Validation Loss: 7.8506384545423025
Epoch 690, Validation Loss: 7.897738864866413
Epoch 700, Validation Loss: 7.89794930333161
Epoch 710, Validation Loss: 7.706518249008896
Epoch 720, Validation Loss: 7.831270059640953
Epoch 730, Validation Loss: 8.051976967980574
Epoch 740, Validation Loss: 8.141646866598586
Epoch 750, Validation Loss: 8.20304711159794
Epoch 760, Validation Loss: 8.259568226340932
Epoch 770, Validation Loss: 8.31595933126703
Epoch 780, Validation Loss: 8.372458066199062
Epoch 790, Validation Loss: 8.42800820378237
Epoch 800, Validation Loss: 8.481377268945261
Epoch 810, Validation Loss: 8.53346098438892
Epoch 820, Validation Loss: 8.590608990471686
Epoch 830, Validation Loss: 8.660160230879859
Epoch 840, Validation Loss: 8.744773742677689
Epoch 850, Validation Loss: 8.846956214279418
Epoch 860, Validation Loss: 8.95802794712698
Epoch 870, Validation Loss: 8.965627919199585
Epoch 880, Validation Loss: 9.023202016847653
Epoch 890, Validation Loss: 9.444470797505437
Epoch 900, Validation Loss: 8.982826774688721
Epoch 910, Validation Loss: 9.296644392441962
Epoch 920, Validation Loss: 9.34623315249793
Epoch 930, Validation Loss: 9.360343804236992
Epoch 940, Validation Loss: 9.595759764480642
Epoch 950, Validation Loss: 9.429519735426759
Epoch 960, Validation Loss: 9.683398333874681
Epoch 970, Validation Loss: 9.602924219203285
Epoch 980, Validation Loss: 9.766014189488407
Epoch 990, Validation Loss: 9.705323857501208
