Epoch 0, Validation Loss: 483.60431285226196
Epoch 10, Validation Loss: 11.04832568015312
Epoch 20, Validation Loss: 10.147861182091253
Epoch 30, Validation Loss: 9.357583354476319
Epoch 40, Validation Loss: 8.695840746176955
Epoch 50, Validation Loss: 8.08009354055256
Epoch 60, Validation Loss: 7.748622044286835
Epoch 70, Validation Loss: 7.518095581371162
Epoch 80, Validation Loss: 7.341617335135692
Epoch 90, Validation Loss: 7.210103739258362
Epoch 100, Validation Loss: 7.048494911882811
Epoch 110, Validation Loss: 6.940381804679093
Epoch 120, Validation Loss: 6.808788206589246
Epoch 130, Validation Loss: 6.741312887168697
Epoch 140, Validation Loss: 6.715953058839153
Epoch 150, Validation Loss: 6.6107987018378
Epoch 160, Validation Loss: 6.523791678309551
Epoch 170, Validation Loss: 6.475147371050137
Epoch 180, Validation Loss: 6.367796832255948
Epoch 190, Validation Loss: 6.337987076733643
Epoch 200, Validation Loss: 6.29602798529873
Epoch 210, Validation Loss: 6.285291578591769
Epoch 220, Validation Loss: 6.226795308804348
Epoch 230, Validation Loss: 6.22987260813502
Epoch 240, Validation Loss: 6.207831558275833
Epoch 250, Validation Loss: 6.197229271914819
Epoch 260, Validation Loss: 6.143433985359788
Epoch 270, Validation Loss: 6.131206421670233
Epoch 280, Validation Loss: 6.0972647420893615
Epoch 290, Validation Loss: 6.033165064207583
Epoch 300, Validation Loss: 6.087791971416766
Epoch 310, Validation Loss: 5.957304175105423
Epoch 320, Validation Loss: 5.949988932387714
Epoch 330, Validation Loss: 5.91743489470664
Epoch 340, Validation Loss: 5.912113998466941
Epoch 350, Validation Loss: 6.1119753242242005
Epoch 360, Validation Loss: 5.878693046905672
Epoch 370, Validation Loss: 5.809406812321983
Epoch 380, Validation Loss: 5.683650197847134
Epoch 390, Validation Loss: 5.763334084904317
Epoch 400, Validation Loss: 5.644436356990189
Epoch 410, Validation Loss: 6.1953300381299
Epoch 420, Validation Loss: 5.4905102925577935
Epoch 430, Validation Loss: 5.904761848135164
Epoch 440, Validation Loss: 5.597709987032566
Epoch 450, Validation Loss: 5.7164802757661395
Epoch 460, Validation Loss: 5.593179632552283
Epoch 470, Validation Loss: 5.494702075235512
Epoch 480, Validation Loss: 5.435918288402608
Epoch 490, Validation Loss: 5.5496406807906284
Epoch 500, Validation Loss: 5.556246719808521
Epoch 510, Validation Loss: 5.760792129884432
Epoch 520, Validation Loss: 5.5444985022381506
Epoch 530, Validation Loss: 5.381185606864534
Epoch 540, Validation Loss: 5.804279880381028
Epoch 550, Validation Loss: 5.463613244148373
Epoch 560, Validation Loss: 5.4867943498097524
Epoch 570, Validation Loss: 5.460269323102677
Epoch 580, Validation Loss: 5.661289237230794
Epoch 590, Validation Loss: 5.29634139440198
Epoch 600, Validation Loss: 5.29808826033067
Epoch 610, Validation Loss: 6.301291151902785
Epoch 620, Validation Loss: 5.423927343788702
Epoch 630, Validation Loss: 5.299272050381392
Epoch 640, Validation Loss: 5.377171173756714
Epoch 650, Validation Loss: 5.677726450300225
Epoch 660, Validation Loss: 6.344530557681741
Epoch 670, Validation Loss: 5.301926965602417
Epoch 680, Validation Loss: 5.4380547774748225
Epoch 690, Validation Loss: 5.831951193341989
Epoch 700, Validation Loss: 6.16397256581756
Epoch 710, Validation Loss: 5.665235198722775
Epoch 720, Validation Loss: 5.435196500204955
Epoch 730, Validation Loss: 5.895322500855099
Epoch 740, Validation Loss: 6.479646284337297
Epoch 750, Validation Loss: 5.608476754353005
Epoch 760, Validation Loss: 5.58857859722517
Epoch 770, Validation Loss: 5.925074674175904
Epoch 780, Validation Loss: 6.202091283607021
Epoch 790, Validation Loss: 6.103809224933245
Epoch 800, Validation Loss: 5.819791077770037
Epoch 810, Validation Loss: 6.038567783404451
Epoch 820, Validation Loss: 6.1684506550717835
Epoch 830, Validation Loss: 6.040171328407961
Epoch 840, Validation Loss: 6.0347375387016875
Epoch 850, Validation Loss: 5.889146998736542
Epoch 860, Validation Loss: 6.215338319309
Epoch 870, Validation Loss: 6.136684574396182
Epoch 880, Validation Loss: 5.5685900863386095
Epoch 890, Validation Loss: 6.206531554861667
Epoch 900, Validation Loss: 6.313792777363924
Epoch 910, Validation Loss: 5.833054404966089
Epoch 920, Validation Loss: 6.378365897260832
Epoch 930, Validation Loss: 5.986763671582115
Epoch 940, Validation Loss: 6.457439129516432
Epoch 950, Validation Loss: 6.431305767135398
Epoch 960, Validation Loss: 5.802424200079883
Epoch 970, Validation Loss: 6.584613608517153
Epoch 980, Validation Loss: 6.486936108907012
Epoch 990, Validation Loss: 6.255195732340517
