Epoch 0, Validation Loss: 72.79469460123364
Epoch 10, Validation Loss: 46.96720550486665
Epoch 20, Validation Loss: 35.417026522410104
Epoch 30, Validation Loss: 20.82172341291144
Epoch 40, Validation Loss: 14.260052207152736
Epoch 50, Validation Loss: 12.978978322141648
Epoch 60, Validation Loss: 12.230908654770928
Epoch 70, Validation Loss: 11.529833307639104
Epoch 80, Validation Loss: 10.891346154215942
Epoch 90, Validation Loss: 10.353628459005671
Epoch 100, Validation Loss: 9.931806468343112
Epoch 110, Validation Loss: 9.622121657251082
Epoch 120, Validation Loss: 9.410838747442083
Epoch 130, Validation Loss: 9.280271427366918
Epoch 140, Validation Loss: 9.210632939610042
Epoch 150, Validation Loss: 9.17930950948493
Epoch 160, Validation Loss: 9.162568986534001
Epoch 170, Validation Loss: 9.143772009566122
Epoch 180, Validation Loss: 9.118936155301222
Epoch 190, Validation Loss: 9.092577313932903
Epoch 200, Validation Loss: 9.070663735010578
Epoch 210, Validation Loss: 9.055656712469002
Epoch 220, Validation Loss: 9.044554482871309
Epoch 230, Validation Loss: 9.029666762052903
Epoch 240, Validation Loss: 9.001684757401893
Epoch 250, Validation Loss: 8.95301097009371
Epoch 260, Validation Loss: 8.879483868200722
Epoch 270, Validation Loss: 8.781428858311104
Epoch 280, Validation Loss: 8.665456465013557
Epoch 290, Validation Loss: 8.545251578963278
Epoch 300, Validation Loss: 8.436878426336673
Epoch 310, Validation Loss: 8.35098719373169
Epoch 320, Validation Loss: 8.290043907923504
Epoch 330, Validation Loss: 8.248711067811142
Epoch 340, Validation Loss: 8.21553549607552
Epoch 350, Validation Loss: 8.180017299707776
Epoch 360, Validation Loss: 8.13818969651222
Epoch 370, Validation Loss: 8.091426753902837
Epoch 380, Validation Loss: 8.042636788832322
Epoch 390, Validation Loss: 7.993927505836111
Epoch 400, Validation Loss: 7.946090166465922
Epoch 410, Validation Loss: 7.898791386017343
Epoch 420, Validation Loss: 7.850904601032863
Epoch 430, Validation Loss: 7.800928409976963
Epoch 440, Validation Loss: 7.747350847287572
Epoch 450, Validation Loss: 7.688905561985393
Epoch 460, Validation Loss: 7.624963250116423
Epoch 470, Validation Loss: 7.5560883522985005
Epoch 480, Validation Loss: 7.484308111177676
Epoch 490, Validation Loss: 7.412721195345367
Epoch 500, Validation Loss: 7.344658562915238
Epoch 510, Validation Loss: 7.282907809009242
Epoch 520, Validation Loss: 7.229302012958114
Epoch 530, Validation Loss: 7.1846680213567735
Epoch 540, Validation Loss: 7.1489950840726495
Epoch 550, Validation Loss: 7.121688828830097
Epoch 560, Validation Loss: 7.10182283310055
Epoch 570, Validation Loss: 7.0883438988614405
Epoch 580, Validation Loss: 7.080216861305064
Epoch 590, Validation Loss: 7.076511843725101
Epoch 600, Validation Loss: 7.076444987022273
Epoch 610, Validation Loss: 7.079386148499321
Epoch 620, Validation Loss: 7.084846340816114
Epoch 630, Validation Loss: 7.092455384590299
Epoch 640, Validation Loss: 7.1019373720407835
Epoch 650, Validation Loss: 7.1130887056112195
Epoch 660, Validation Loss: 7.125761063023265
Epoch 670, Validation Loss: 7.139849808950973
Epoch 680, Validation Loss: 7.155287087479738
Epoch 690, Validation Loss: 7.172037944735634
Epoch 700, Validation Loss: 7.190097245230388
Epoch 710, Validation Loss: 7.2094849414034
Epoch 720, Validation Loss: 7.230237711669642
Epoch 730, Validation Loss: 7.2523963239511735
Epoch 740, Validation Loss: 7.275990061062445
Epoch 750, Validation Loss: 7.301021266663893
Epoch 760, Validation Loss: 7.3274534798599165
Epoch 770, Validation Loss: 7.355205387563816
Epoch 780, Validation Loss: 7.384150712865378
Epoch 790, Validation Loss: 7.41412247317314
Epoch 800, Validation Loss: 7.444919599698256
Epoch 810, Validation Loss: 7.4763145671870985
Epoch 820, Validation Loss: 7.50806167339941
Epoch 830, Validation Loss: 7.539906208342465
Epoch 840, Validation Loss: 7.571594700427791
Epoch 850, Validation Loss: 7.6028859005003
Epoch 860, Validation Loss: 7.633561522589609
Epoch 870, Validation Loss: 7.663435288788522
Epoch 880, Validation Loss: 7.692358648353694
Epoch 890, Validation Loss: 7.720221677315878
Epoch 900, Validation Loss: 7.746948166747811
Epoch 910, Validation Loss: 7.772484947884823
Epoch 920, Validation Loss: 7.7967872012445545
Epoch 930, Validation Loss: 7.819803436036175
Epoch 940, Validation Loss: 7.841464813503541
Epoch 950, Validation Loss: 7.861682371584535
Epoch 960, Validation Loss: 7.880352723974035
Epoch 970, Validation Loss: 7.897369695171551
Epoch 980, Validation Loss: 7.912637848652712
Epoch 990, Validation Loss: 7.926084333348657
