Epoch 0, Validation Loss: 528.9115859526861
Epoch 10, Validation Loss: 424.2534506745965
Epoch 20, Validation Loss: 119.1669514084451
Epoch 30, Validation Loss: 9.77314051891024
Epoch 40, Validation Loss: 8.586169421422502
Epoch 50, Validation Loss: 8.51254918375449
Epoch 60, Validation Loss: 8.365270703109758
Epoch 70, Validation Loss: 8.131519685369284
Epoch 80, Validation Loss: 7.895108985722688
Epoch 90, Validation Loss: 7.712261681572115
Epoch 100, Validation Loss: 7.5901398784361005
Epoch 110, Validation Loss: 7.4506813270804395
Epoch 120, Validation Loss: 7.289111695241782
Epoch 130, Validation Loss: 7.108316084642041
Epoch 140, Validation Loss: 6.948912072372372
Epoch 150, Validation Loss: 6.823896596089313
Epoch 160, Validation Loss: 6.718535543261674
Epoch 170, Validation Loss: 6.632943832161651
Epoch 180, Validation Loss: 6.573621075140049
Epoch 190, Validation Loss: 6.509698036565482
Epoch 200, Validation Loss: 6.470708507939125
Epoch 210, Validation Loss: 6.450205791138972
Epoch 220, Validation Loss: 6.417947392878447
Epoch 230, Validation Loss: 6.354504992519346
Epoch 240, Validation Loss: 6.3297518253109715
Epoch 250, Validation Loss: 6.302722701798873
Epoch 260, Validation Loss: 6.294007137819583
Epoch 270, Validation Loss: 6.2902319354297695
Epoch 280, Validation Loss: 6.281543977642191
Epoch 290, Validation Loss: 6.277001433669684
Epoch 300, Validation Loss: 6.272031164559088
Epoch 310, Validation Loss: 6.254625874862035
Epoch 320, Validation Loss: 6.1895149650280725
Epoch 330, Validation Loss: 6.162940601966974
Epoch 340, Validation Loss: 6.15794117301887
Epoch 350, Validation Loss: 6.158974283534186
Epoch 360, Validation Loss: 6.160244826682299
Epoch 370, Validation Loss: 6.1491485637984615
Epoch 380, Validation Loss: 6.1484538478742525
Epoch 390, Validation Loss: 6.142210622237803
Epoch 400, Validation Loss: 6.1397709369965865
Epoch 410, Validation Loss: 6.132465706811021
Epoch 420, Validation Loss: 6.099525586696208
Epoch 430, Validation Loss: 6.077892784636318
Epoch 440, Validation Loss: 6.109468068708559
Epoch 450, Validation Loss: 6.111518668275053
Epoch 460, Validation Loss: 6.125403299504583
Epoch 470, Validation Loss: 6.138536332382721
Epoch 480, Validation Loss: 6.141690276418259
Epoch 490, Validation Loss: 6.132219821210173
Epoch 500, Validation Loss: 6.130304660459829
Epoch 510, Validation Loss: 6.1425732070393275
Epoch 520, Validation Loss: 6.137839585634185
Epoch 530, Validation Loss: 6.136529577692273
Epoch 540, Validation Loss: 6.118497297659489
Epoch 550, Validation Loss: 6.108784904547569
Epoch 560, Validation Loss: 6.122546300554577
Epoch 570, Validation Loss: 6.120312619379561
Epoch 580, Validation Loss: 6.118424248817704
Epoch 590, Validation Loss: 6.12960473465463
Epoch 600, Validation Loss: 6.146066569410283
Epoch 610, Validation Loss: 6.155357449612937
Epoch 620, Validation Loss: 6.166560551382831
Epoch 630, Validation Loss: 6.196488070623737
Epoch 640, Validation Loss: 6.2158348239106935
Epoch 650, Validation Loss: 6.232550804968227
Epoch 660, Validation Loss: 6.259747800553254
Epoch 670, Validation Loss: 6.265891124061055
Epoch 680, Validation Loss: 6.272837063503623
Epoch 690, Validation Loss: 6.304911466563568
Epoch 700, Validation Loss: 6.306502527375232
Epoch 710, Validation Loss: 6.307049281568326
Epoch 720, Validation Loss: 6.32995410895538
Epoch 730, Validation Loss: 6.35848914732344
Epoch 740, Validation Loss: 6.3756154406158
Epoch 750, Validation Loss: 6.405237579734465
Epoch 760, Validation Loss: 6.401985114639537
Epoch 770, Validation Loss: 6.4161757943287325
Epoch 780, Validation Loss: 6.409912399033148
Epoch 790, Validation Loss: 6.421367094876337
Epoch 800, Validation Loss: 6.438299767452628
Epoch 810, Validation Loss: 6.428436427908403
Epoch 820, Validation Loss: 6.424159155807183
Epoch 830, Validation Loss: 6.448458387348551
Epoch 840, Validation Loss: 6.45088022161016
Epoch 850, Validation Loss: 6.453587908797824
Epoch 860, Validation Loss: 6.458656757201797
Epoch 870, Validation Loss: 6.453050818153943
Epoch 880, Validation Loss: 6.458067464485885
Epoch 890, Validation Loss: 6.450113499678748
Epoch 900, Validation Loss: 6.463212162432593
Epoch 910, Validation Loss: 6.457075567551588
Epoch 920, Validation Loss: 6.461708854166428
Epoch 930, Validation Loss: 6.4207165175660945
Epoch 940, Validation Loss: 6.4419401407405354
Epoch 950, Validation Loss: 6.424989040050957
Epoch 960, Validation Loss: 6.399877335981623
Epoch 970, Validation Loss: 6.385685773024445
Epoch 980, Validation Loss: 6.3553305669684805
Epoch 990, Validation Loss: 6.340669840152068
