Epoch 0, Validation Loss: 435.76513467667917
Epoch 10, Validation Loss: 11.293172045982093
Epoch 20, Validation Loss: 8.563366542073076
Epoch 30, Validation Loss: 8.3444086195335
Epoch 40, Validation Loss: 7.57184095512368
Epoch 50, Validation Loss: 6.6877146676104955
Epoch 60, Validation Loss: 8.093901511012206
Epoch 70, Validation Loss: 7.4529715952516
Epoch 80, Validation Loss: 7.221629469560281
Epoch 90, Validation Loss: 6.954860812279323
Epoch 100, Validation Loss: 6.718428214010569
Epoch 110, Validation Loss: 6.7872606568050635
Epoch 120, Validation Loss: 6.772098785257839
Epoch 130, Validation Loss: 6.475916181642723
Epoch 140, Validation Loss: 6.572240404694634
Epoch 150, Validation Loss: 6.678979662639045
Epoch 160, Validation Loss: 6.528461116793557
Epoch 170, Validation Loss: 6.352856944335224
Epoch 180, Validation Loss: 6.544619162975789
Epoch 190, Validation Loss: 6.582931293793312
Epoch 200, Validation Loss: 6.366188612356038
Epoch 210, Validation Loss: 6.693180225005495
Epoch 220, Validation Loss: 6.277903286183244
Epoch 230, Validation Loss: 6.315204130982589
Epoch 240, Validation Loss: 6.1130160923989205
Epoch 250, Validation Loss: 6.128139557255348
Epoch 260, Validation Loss: 6.011219705819412
Epoch 270, Validation Loss: 5.980055425775444
Epoch 280, Validation Loss: 6.000880705022575
Epoch 290, Validation Loss: 6.1370162847674905
Epoch 300, Validation Loss: 5.993995127241363
Epoch 310, Validation Loss: 6.198908503343785
Epoch 320, Validation Loss: 5.935894152177053
Epoch 330, Validation Loss: 5.947024356287116
Epoch 340, Validation Loss: 6.012896767886235
Epoch 350, Validation Loss: 6.084053460276801
Epoch 360, Validation Loss: 6.151519760695454
Epoch 370, Validation Loss: 6.079742843531907
Epoch 380, Validation Loss: 6.170446724812955
Epoch 390, Validation Loss: 6.205499078843268
Epoch 400, Validation Loss: 6.432085128410715
Epoch 410, Validation Loss: 6.247912620773936
Epoch 420, Validation Loss: 6.263374706236433
Epoch 430, Validation Loss: 6.264572917565452
Epoch 440, Validation Loss: 6.437931747423286
Epoch 450, Validation Loss: 6.393447985029135
Epoch 460, Validation Loss: 6.62375092231035
Epoch 470, Validation Loss: 6.612162215831911
Epoch 480, Validation Loss: 6.667349346081701
Epoch 490, Validation Loss: 6.602850325675888
Epoch 500, Validation Loss: 6.518543038404612
Epoch 510, Validation Loss: 6.63387874417688
Epoch 520, Validation Loss: 6.744950511117032
Epoch 530, Validation Loss: 6.701104468410384
Epoch 540, Validation Loss: 6.937969876180115
Epoch 550, Validation Loss: 6.848054305540973
Epoch 560, Validation Loss: 6.902712130048627
Epoch 570, Validation Loss: 6.94877643082805
Epoch 580, Validation Loss: 6.957804974242639
Epoch 590, Validation Loss: 6.9814660902511605
Epoch 600, Validation Loss: 6.946301605523382
Epoch 610, Validation Loss: 6.97878552333245
Epoch 620, Validation Loss: 7.0418582415540465
Epoch 630, Validation Loss: 6.9258841368859345
Epoch 640, Validation Loss: 7.033428780347527
Epoch 650, Validation Loss: 6.945925734864903
Epoch 660, Validation Loss: 6.990280863542625
Epoch 670, Validation Loss: 6.983746553388683
Epoch 680, Validation Loss: 6.99898851193379
Epoch 690, Validation Loss: 7.001473244089998
Epoch 700, Validation Loss: 6.989272548950691
Epoch 710, Validation Loss: 6.961008748125905
Epoch 720, Validation Loss: 7.064167138345607
Epoch 730, Validation Loss: 7.071276995130286
Epoch 740, Validation Loss: 7.0055054878085015
Epoch 750, Validation Loss: 7.096122627014139
Epoch 760, Validation Loss: 6.976239595170538
Epoch 770, Validation Loss: 7.129035355152102
Epoch 780, Validation Loss: 7.044455654782885
Epoch 790, Validation Loss: 7.344278381032401
Epoch 800, Validation Loss: 7.108639035131736
Epoch 810, Validation Loss: 7.444298292485568
Epoch 820, Validation Loss: 7.221777960654258
Epoch 830, Validation Loss: 7.307839963251713
Epoch 840, Validation Loss: 7.07353194078662
Epoch 850, Validation Loss: 7.33804240162195
Epoch 860, Validation Loss: 7.070353971007581
Epoch 870, Validation Loss: 7.368166701990366
Epoch 880, Validation Loss: 7.889761105794695
Epoch 890, Validation Loss: 7.992268901985945
Epoch 900, Validation Loss: 7.871565674551317
Epoch 910, Validation Loss: 7.5904376022589855
Epoch 920, Validation Loss: 7.577920797081197
Epoch 930, Validation Loss: 7.7291114861728545
Epoch 940, Validation Loss: 7.198709492837462
Epoch 950, Validation Loss: 7.502420637689074
Epoch 960, Validation Loss: 7.512918915689846
Epoch 970, Validation Loss: 7.66442255070096
Epoch 980, Validation Loss: 7.934715245925035
Epoch 990, Validation Loss: 7.360755025393421
