Epoch 0, Validation Loss: 534.520678100202
Epoch 10, Validation Loss: 478.356251274676
Epoch 20, Validation Loss: 423.5478847601844
Epoch 30, Validation Loss: 333.58059126770087
Epoch 40, Validation Loss: 124.03656122272301
Epoch 50, Validation Loss: 43.0651684089947
Epoch 60, Validation Loss: 39.28260461653768
Epoch 70, Validation Loss: 36.80383324797098
Epoch 80, Validation Loss: 34.15646097395079
Epoch 90, Validation Loss: 31.92055770103948
Epoch 100, Validation Loss: 30.105324961982774
Epoch 110, Validation Loss: 28.612219929622107
Epoch 120, Validation Loss: 27.367755088613205
Epoch 130, Validation Loss: 26.32552345479296
Epoch 140, Validation Loss: 25.448652330559234
Epoch 150, Validation Loss: 24.700664101527643
Epoch 160, Validation Loss: 24.047579388866435
Epoch 170, Validation Loss: 23.46199204519477
Epoch 180, Validation Loss: 22.923749135220124
Epoch 190, Validation Loss: 22.418400630391776
Epoch 200, Validation Loss: 21.935406332973262
Epoch 210, Validation Loss: 21.466823465980394
Epoch 220, Validation Loss: 21.006455893802286
Epoch 230, Validation Loss: 20.549284128373007
Epoch 240, Validation Loss: 20.091048708195256
Epoch 250, Validation Loss: 19.627950112630177
Epoch 260, Validation Loss: 19.156497479241533
Epoch 270, Validation Loss: 18.673561398158306
Epoch 280, Validation Loss: 18.176648408465933
Epoch 290, Validation Loss: 17.66432088795776
Epoch 300, Validation Loss: 17.136579310052458
Epoch 310, Validation Loss: 16.59498604065473
Epoch 320, Validation Loss: 16.04240349595137
Epoch 330, Validation Loss: 15.48241339028126
Epoch 340, Validation Loss: 14.918668372243985
Epoch 350, Validation Loss: 14.354517059609611
Epoch 360, Validation Loss: 13.793216979227207
Epoch 370, Validation Loss: 13.238860871716046
Epoch 380, Validation Loss: 12.697643428029949
Epoch 390, Validation Loss: 12.178389579254452
Epoch 400, Validation Loss: 11.691341189986602
Epoch 410, Validation Loss: 11.245708590229766
Epoch 420, Validation Loss: 10.847668013957223
Epoch 430, Validation Loss: 10.49976401177622
Epoch 440, Validation Loss: 10.20140765665386
Epoch 450, Validation Loss: 9.949771379277784
Epoch 460, Validation Loss: 9.740625207494139
Epoch 470, Validation Loss: 9.568951995572156
Epoch 480, Validation Loss: 9.429348569705377
Epoch 490, Validation Loss: 9.316295207106082
