Epoch 0, Validation Loss: 319.54689119214834
Epoch 10, Validation Loss: 22.251632815922857
Epoch 20, Validation Loss: 14.654405803184288
Epoch 30, Validation Loss: 14.005624730196494
Epoch 40, Validation Loss: 12.714154663920212
Epoch 50, Validation Loss: 11.307436259363131
Epoch 60, Validation Loss: 10.406851789200722
Epoch 70, Validation Loss: 10.140141708240247
Epoch 80, Validation Loss: 10.003233866539569
Epoch 90, Validation Loss: 9.453102546883636
Epoch 100, Validation Loss: 8.93885894528335
Epoch 110, Validation Loss: 8.504364762962588
Epoch 120, Validation Loss: 8.138209387912028
Epoch 130, Validation Loss: 7.836466316538588
Epoch 140, Validation Loss: 7.601879963414041
Epoch 150, Validation Loss: 7.444990807705962
Epoch 160, Validation Loss: 7.366720379680188
Epoch 170, Validation Loss: 7.329135612690644
Epoch 180, Validation Loss: 7.263653575239044
Epoch 190, Validation Loss: 7.136986234359308
Epoch 200, Validation Loss: 7.818648203062588
Epoch 210, Validation Loss: 7.075082081679142
Epoch 220, Validation Loss: 6.939099811911048
Epoch 230, Validation Loss: 6.929505401844551
Epoch 240, Validation Loss: 7.289350759365968
Epoch 250, Validation Loss: 7.153900721908629
Epoch 260, Validation Loss: 6.91687524075799
Epoch 270, Validation Loss: 7.084972558411326
Epoch 280, Validation Loss: 7.618891333996198
Epoch 290, Validation Loss: 7.512458214228233
Epoch 300, Validation Loss: 7.160827692018607
Epoch 310, Validation Loss: 7.026540490092801
Epoch 320, Validation Loss: 7.0007413541250045
Epoch 330, Validation Loss: 7.012305179604849
Epoch 340, Validation Loss: 7.063672474000164
Epoch 350, Validation Loss: 7.203441868251988
Epoch 360, Validation Loss: 7.453387965571201
Epoch 370, Validation Loss: 7.664620882592233
Epoch 380, Validation Loss: 7.522504787711206
Epoch 390, Validation Loss: 7.112365369768651
Epoch 400, Validation Loss: 6.931837168965175
Epoch 410, Validation Loss: 7.054722357138029
Epoch 420, Validation Loss: 7.005929666620589
Epoch 430, Validation Loss: 7.02970790036614
Epoch 440, Validation Loss: 7.505293869910323
Epoch 450, Validation Loss: 6.979697455940233
Epoch 460, Validation Loss: 7.130100854398695
Epoch 470, Validation Loss: 7.016408210370822
Epoch 480, Validation Loss: 7.469940950796506
Epoch 490, Validation Loss: 7.0008305056151565
