Epoch 0, Validation Loss: 534.5216192188907
Epoch 10, Validation Loss: 478.4067810799093
Epoch 20, Validation Loss: 424.1382047628661
Epoch 30, Validation Loss: 338.98975903825976
Epoch 40, Validation Loss: 146.32802353558915
Epoch 50, Validation Loss: 45.86398682633056
Epoch 60, Validation Loss: 39.53866956520949
Epoch 70, Validation Loss: 37.12394568913587
Epoch 80, Validation Loss: 34.35643299172053
Epoch 90, Validation Loss: 31.968745746860098
Epoch 100, Validation Loss: 30.03222153882514
Epoch 110, Validation Loss: 28.444919050740012
Epoch 120, Validation Loss: 27.12303753321912
Epoch 130, Validation Loss: 26.014210986857687
Epoch 140, Validation Loss: 25.078711380943282
Epoch 150, Validation Loss: 24.277663612373715
Epoch 160, Validation Loss: 23.57446103202914
Epoch 170, Validation Loss: 22.939634502131856
Epoch 180, Validation Loss: 22.351985322389993
Epoch 190, Validation Loss: 21.796861359536013
Epoch 200, Validation Loss: 21.26397533211112
Epoch 210, Validation Loss: 20.74574004355587
Epoch 220, Validation Loss: 20.236181074098397
Epoch 230, Validation Loss: 19.730268291092415
Epoch 240, Validation Loss: 19.223533233672594
Epoch 250, Validation Loss: 18.711892161685565
Epoch 260, Validation Loss: 18.191621003207747
Epoch 270, Validation Loss: 17.659432535641873
Epoch 280, Validation Loss: 17.112612019992227
Epoch 290, Validation Loss: 16.549200053592443
Epoch 300, Validation Loss: 15.968267956340824
Epoch 310, Validation Loss: 15.37036199024668
Epoch 320, Validation Loss: 14.75812940764497
Epoch 330, Validation Loss: 14.136974065271707
Epoch 340, Validation Loss: 13.515426846448118
Epoch 350, Validation Loss: 12.904893310141011
Epoch 360, Validation Loss: 12.318599995610345
Epoch 370, Validation Loss: 11.769853149728634
Epoch 380, Validation Loss: 11.270046091310535
Epoch 390, Validation Loss: 10.827023107414272
Epoch 400, Validation Loss: 10.444280053286812
Epoch 410, Validation Loss: 10.121115592171753
Epoch 420, Validation Loss: 9.853476835082688
Epoch 430, Validation Loss: 9.6350730033735
Epoch 440, Validation Loss: 9.458396678508196
Epoch 450, Validation Loss: 9.315485697298891
Epoch 460, Validation Loss: 9.198440278100591
Epoch 470, Validation Loss: 9.0997966814343
Epoch 480, Validation Loss: 9.012844463246253
Epoch 490, Validation Loss: 8.931907626584811
