Epoch 0, Validation Loss: 120.23426228819912
Epoch 10, Validation Loss: 69.46296856287174
Epoch 20, Validation Loss: 69.46289063680531
Epoch 30, Validation Loss: 69.46279606375334
Epoch 40, Validation Loss: 69.46269893278786
Epoch 50, Validation Loss: 69.4625986155699
Epoch 60, Validation Loss: 69.46249442669011
Epoch 70, Validation Loss: 69.46238560674414
Epoch 80, Validation Loss: 69.46227130203901
Epoch 90, Validation Loss: 69.46215053978932
Epoch 100, Validation Loss: 69.46202219721869
Epoch 110, Validation Loss: 69.46188496240747
Epoch 120, Validation Loss: 69.46173728388752
Epoch 130, Validation Loss: 69.461577304739
Epoch 140, Validation Loss: 69.46140277507145
Epoch 150, Validation Loss: 69.46121093389839
Epoch 160, Validation Loss: 69.46099834692164
Epoch 170, Validation Loss: 69.46076067954061
Epoch 180, Validation Loss: 69.46049237256184
Epoch 190, Validation Loss: 69.46018616802382
Epoch 200, Validation Loss: 69.45983239741739
Epoch 210, Validation Loss: 69.45941788064368
Epoch 220, Validation Loss: 69.45892416249039
Epoch 230, Validation Loss: 69.45832457017404
Epoch 240, Validation Loss: 69.45757905862283
Epoch 250, Validation Loss: 69.45662462953678
Epoch 260, Validation Loss: 69.45535616407042
Epoch 270, Validation Loss: 69.45358429126999
Epoch 280, Validation Loss: 69.45093040721174
Epoch 290, Validation Loss: 69.44651450515654
Epoch 300, Validation Loss: 69.43773544176538
Epoch 310, Validation Loss: 69.41238334518546
Epoch 320, Validation Loss: 69.02988992550122
Epoch 330, Validation Loss: 11.60920197933618
Epoch 340, Validation Loss: 7.257707420833852
Epoch 350, Validation Loss: 7.1387109211157584
Epoch 360, Validation Loss: 10.459624583932097
Epoch 370, Validation Loss: 11.44249146957002
Epoch 380, Validation Loss: 10.274623434552833
Epoch 390, Validation Loss: 23.859546198273875
Epoch 400, Validation Loss: 7.083570276003208
Epoch 410, Validation Loss: 6.88670013809826
Epoch 420, Validation Loss: 7.299427202108961
Epoch 430, Validation Loss: 7.697827793769825
Epoch 440, Validation Loss: 7.30640303662905
Epoch 450, Validation Loss: 7.1929321999094995
Epoch 460, Validation Loss: 7.065858307771328
Epoch 470, Validation Loss: 7.097131010813794
Epoch 480, Validation Loss: 7.2282217103459985
Epoch 490, Validation Loss: 7.3583512952832395
