Epoch 0, Validation Loss: 528.9090286165402
Epoch 10, Validation Loss: 424.96824471694333
Epoch 20, Validation Loss: 216.38837995417524
Epoch 30, Validation Loss: 16.271274098288597
Epoch 40, Validation Loss: 7.826659787262912
Epoch 50, Validation Loss: 7.274428054321648
Epoch 60, Validation Loss: 7.098269871960372
Epoch 70, Validation Loss: 6.92166073767243
Epoch 80, Validation Loss: 6.737391632075862
Epoch 90, Validation Loss: 6.548253086128685
Epoch 100, Validation Loss: 6.421767966400833
Epoch 110, Validation Loss: 6.35148010349575
Epoch 120, Validation Loss: 6.318955141914558
Epoch 130, Validation Loss: 6.29786941943958
Epoch 140, Validation Loss: 6.263127278661895
Epoch 150, Validation Loss: 6.241001450911879
Epoch 160, Validation Loss: 6.221600140828033
Epoch 170, Validation Loss: 6.16777889956798
Epoch 180, Validation Loss: 6.036319669843005
Epoch 190, Validation Loss: 5.932714953852344
Epoch 200, Validation Loss: 5.849055254465506
Epoch 210, Validation Loss: 5.7632699712431785
Epoch 220, Validation Loss: 5.691157434816226
Epoch 230, Validation Loss: 5.641464835185567
Epoch 240, Validation Loss: 5.621214325272171
Epoch 250, Validation Loss: 5.573588778916294
Epoch 260, Validation Loss: 5.507483413903134
Epoch 270, Validation Loss: 5.464818257315161
Epoch 280, Validation Loss: 5.43282214552593
Epoch 290, Validation Loss: 5.389596551333525
Epoch 300, Validation Loss: 5.3665049684017
Epoch 310, Validation Loss: 5.347087604049196
Epoch 320, Validation Loss: 5.28021561205463
Epoch 330, Validation Loss: 5.273983081345068
Epoch 340, Validation Loss: 5.276569172073695
Epoch 350, Validation Loss: 5.284801451270646
Epoch 360, Validation Loss: 5.297566503498007
Epoch 370, Validation Loss: 5.303215012801092
Epoch 380, Validation Loss: 5.323744151744565
Epoch 390, Validation Loss: 5.320283828133019
Epoch 400, Validation Loss: 5.345395870266332
Epoch 410, Validation Loss: 5.344014217458393
Epoch 420, Validation Loss: 5.374265751598521
Epoch 430, Validation Loss: 5.417590846963
Epoch 440, Validation Loss: 5.435286691255222
Epoch 450, Validation Loss: 5.475090036309545
Epoch 460, Validation Loss: 5.502132056380635
Epoch 470, Validation Loss: 5.559034258604079
Epoch 480, Validation Loss: 5.617315380634339
Epoch 490, Validation Loss: 5.660561552578834
Epoch 500, Validation Loss: 5.759464970495332
Epoch 510, Validation Loss: 5.824736277983099
Epoch 520, Validation Loss: 5.872016985863982
Epoch 530, Validation Loss: 5.9045779429115575
Epoch 540, Validation Loss: 5.9481288433316815
Epoch 550, Validation Loss: 5.986876155038354
Epoch 560, Validation Loss: 6.009989707996831
Epoch 570, Validation Loss: 6.0197342457299
Epoch 580, Validation Loss: 6.062917510899436
Epoch 590, Validation Loss: 6.113532601750795
Epoch 600, Validation Loss: 6.1706846380632205
Epoch 610, Validation Loss: 6.217435832778702
Epoch 620, Validation Loss: 6.251231168339153
Epoch 630, Validation Loss: 6.27376002582191
Epoch 640, Validation Loss: 6.315204342157576
Epoch 650, Validation Loss: 6.345460727283019
Epoch 660, Validation Loss: 6.3686539033442555
Epoch 670, Validation Loss: 6.370337161929326
Epoch 680, Validation Loss: 6.419333117539066
Epoch 690, Validation Loss: 6.4986788845010395
Epoch 700, Validation Loss: 6.546104004882367
Epoch 710, Validation Loss: 6.573108601389788
Epoch 720, Validation Loss: 6.6121640048008885
Epoch 730, Validation Loss: 6.668646390375207
Epoch 740, Validation Loss: 6.690936483906705
Epoch 750, Validation Loss: 6.729396859336514
Epoch 760, Validation Loss: 6.773097333954143
Epoch 770, Validation Loss: 6.755298516019505
Epoch 780, Validation Loss: 6.764343388298036
Epoch 790, Validation Loss: 6.771821399781052
Epoch 800, Validation Loss: 6.793957256241142
Epoch 810, Validation Loss: 6.8341428446190875
Epoch 820, Validation Loss: 6.8277746748977854
Epoch 830, Validation Loss: 6.826855082457902
Epoch 840, Validation Loss: 6.844963821747661
Epoch 850, Validation Loss: 6.844054304737529
Epoch 860, Validation Loss: 6.833833106497425
Epoch 870, Validation Loss: 6.821129379345055
Epoch 880, Validation Loss: 6.834458184096832
Epoch 890, Validation Loss: 6.83037887107319
Epoch 900, Validation Loss: 6.826682817947467
Epoch 910, Validation Loss: 6.850866280396413
Epoch 920, Validation Loss: 6.869213883214039
Epoch 930, Validation Loss: 6.896171442603228
Epoch 940, Validation Loss: 6.910587213254255
Epoch 950, Validation Loss: 6.932143069438553
Epoch 960, Validation Loss: 6.944530332010082
Epoch 970, Validation Loss: 6.92204501298954
Epoch 980, Validation Loss: 6.945271079186267
Epoch 990, Validation Loss: 6.937130019688836
